document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response,multiple_answers,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
29,what is the role in the agreement of the company associated with nixon peabody llp,borrower,2,0,0.0,Nixon Peabody LLP is the counsel for the Loan Parties.,,0.0,0.9056603773584906,0.0,1
29,"what is the role in the agreement of the company associated with oasis outsourcing contract iii, inc.",guarantors,2,0,0.0,"Oasis Outsourcing Contract III, Inc. is a Subsidiary and Guarantor.",,0.0,0.875,0.0,5
29,"what is the role in the agreement of the company associated with paychex peo iv, llc",guarantors,2,0,0.0,Guarantor,,0.0,0.1,0.0,4
29,"what is the role in the agreement of the company associated with paychex peo vii, llc",guarantors,2,0,0.0,Guarantor,,0.0,0.1,0.0,4
29,"what is the role in the agreement of the company associated with pbs of central florida, llc",guarantors,2,0,0.0,Guarantor,,0.0,0.1,0.0,4
29,"what is the role in the agreement of the company associated with paychex peo viii, llc",guarantors,2,0,0.0,Guarantor,,0.0,0.1,0.0,4
29,what is the role in the agreement of the company associated with paychex management llc,guarantors,2,0,0.0,"Paychex Management LLC is a Subsidiary of Paychex, Inc.",,0.0,0.9056603773584906,0.0,1
37,what position does judith a. huckins hold,vice president,1,0,,Vice President,,1.0,0.0,1.0000000000000002,5
37,"what is the role in the agreement of the company associated with cwi acquisition, llc",borrowers,2,0,0.0,Borrower,,0.0,0.1111111111111111,0.0,4
37,what position does sandra cortes hold,director,1,0,,Director,,1.0,0.0,1.0,5
37,what position does worthing jackman hold,authorized signatory,1,0,,Executive Vice President and Chief Financial Officer,,0.0,0.7884615384615384,0.0,1
37,"what is the role in the agreement of the company associated with austin landfill holdings, inc.",borrowers,2,0,0.0,Borrower,,0.0,0.1111111111111111,0.0,4
37,"what is the role in the agreement of the company associated with cri holdings, llc",borrowers,2,0,0.0,Borrower,,0.0,0.1111111111111111,0.0,4
37,"what is the role in the agreement of the company associated with alaska waste interior, llc",borrowers,2,0,0.0,Borrower,,0.0,0.1111111111111111,0.0,4
107,"who is the vice president of gxs international, inc.",paul mcfeeters,2,0,0.0,Paul McFeeters,,1.0,0.0,1.0000000000000002,5
107,what role do both barclays bank plc and j.p. morgan securities inc. have in the agreement,,1,1,0.0,joint lead arrangers and joint bookrunners,,0.0,0.0,0.0,1
107,what company is both the administrative agent and the agent in the agreement,global markets inc.,1,1,0.0,BARCLAYS BANK PLC,,0.0,0.7777777777777778,0.0,1
107,who is the chief executive officer of open text ulc,paul mcfeeters,2,0,0.0,Paul McFeeters,,1.0,0.0,1.0000000000000002,5
107,what role do both citigroup global markets inc. and global markets inc. have in the agreement,,1,1,0.0,"Citigroup Global Markets Inc. is joint lead arrangers and joint bookrunners, and documentation agent. Global Markets Inc. is not mentioned in the agreement.",,0.0,0.0,0.0,1
107,what company is both the  bookrunner and the bookrunner in the agreement,j.p. morgan securities inc.,1,1,0.0,BARCLAYS BANK PLC,,0.0,0.8333333333333334,0.0,1
29,who is the chief financial officer of the company which is both the parent and the borrower in the agreement,efrain rivera,3,1,0.0,Efrain Rivera,,1.0,0.0,1.0000000000000002,5
107,who is the assistant treasurer of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0.0,Paul McFeeters,,1.0,0.0,1.0000000000000002,5
107,who is the chief administrative officer of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0.0,Paul McFeeters,,1.0,0.0,1.0000000000000002,5
107,who is the chief executive officer of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0.0,Paul McFeeters,,1.0,0.0,1.0000000000000002,5
107,who is the chief financial officer of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0.0,Paul McFeeters,,1.0,0.0,1.0000000000000002,5
107,who is the president of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0.0,Paul McFeeters,,1.0,0.0,1.0000000000000002,5
107,who is the treasurer of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0.0,Paul McFeeters,,1.0,0.0,1.0000000000000002,5
107,who is the vice president of the company which is both the guarantor and the domestic in the agreement,paul mcfeeters,3,1,0.0,Not found,,0.0,0.8571428571428571,0.0,1
37,who is the director of the company which is both the lender and the swing line in the agreement,sandra cortes,3,1,0.0,Not found,,0.0,0.7692307692307693,0.0,1
29,"who is the chief financial officer of the company associated with 911 panorama trail south, rochester, new york 14625",efrain rivera,3,0,,Efrain Rivera,0.0,1.0,0.0,1.0000000000000002,5
29,who is the chief financial officer of the company which is the parent borrower in the agreement,efrain rivera,3,0,,Efrain Rivera,0.0,1.0,0.0,1.0000000000000002,5
29,"what are the roles in the agreement of the company associated with pnc bank, national association","agent, lender, issuing bank",2,0,,"Administrative Agent, Lender and Issuing Bank",1.0,0.8,0.4318181818181818,0.7092972666062738,4
29,which companies are both the administrative borrower and the borrower in the agreement,"pnc bank, national association",1,1,,"PNC Bank, National Association and Paychex Advance LLC",1.0,0.6666666666666666,0.4528301886792453,0.5797386715376658,3
29,what are the roles in the agreement of the company where lisa christian is employed,"agent, administrative borrower",2,0,,"PNC Bank, National Association is individually a Lender, an Issuing Bank and as Administrative Agent",1.0,0.23529411764705882,0.8367346938775511,0.18420307674838182,3
29,which companies are both the administrative agent and the agent in the agreement,"pnc bank, national association",1,1,,"PNC BANK, NATIONAL ASSOCIATION, PNC Bank, National Association",1.0,1.0,0.5084745762711864,1.0,5
29,"what are the roles in the agreement of the company associated with pnc bank, national association",agent,2,0,,"Administrative Agent, Lender and Issuing Bank",1.0,0.2857142857142857,0.8863636363636364,0.3032160644503863,1
37,what are the roles in the agreement of the company where maria f. maia is employed,"lender, l c issuer",2,0,,"BANK OF AMERICA, N.A., as Administrative Agent, a Lender, L/C Issuer and Swing Line Lender, Other Notices as Administrative Agent (also copy)",1.0,0.1818181818181818,0.8805970149253731,0.29871044296168053,4
37,"who is the executive vice president of the company associated with 3 waterway square place, suite 110the woodlands, tx 77380",worthing f. jackman,3,0,,Worthing F. Jackman,0.0,1.0,0.0,1.0000000000000002,5
