document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
9,0.8292410714285714,0.19392962294231658,0.8223487396396095,4.21875,32
17,0.43477058526078133,0.5799023522442893,0.4198343742496874,2.888888888888889,27
25,0.7301587301587301,0.15021749084249084,0.7233828235567711,4.214285714285714,14
43,0.18181818181818182,0.08181818181818182,0.18181818181818182,4.181818181818182,11
45,0.8475793650793652,0.1571798517200027,0.8502600428254169,4.5,20
47,0.5654571843251088,0.19325209643605867,0.557972053051512,4.132075471698113,53
51,0.8015735587164159,0.3200401517309909,0.7989786151991956,4.428571428571429,21
60,0.7981421356421357,0.23573084700609145,0.78961188601874,3.840909090909091,44
65,0.19155844155844154,0.6943187350468483,0.187257379627585,1.7142857142857142,28
66,0.15714285714285714,0.730181142183691,0.15485785850421457,1.575,40
