document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
16,Who is the Senior Managing Directo of the company which is both the Lender and the Term Agent in the agreement?,Christopher A. Arnold,3,1,0
16,Who is the Senior Managing Director of the company which is both the Lender and the Term Agent in the agreement?,Christopher A. Arnold,3,1,0
129,Who is the Authorized Officer of the company which is both the Agent and the Issuing Bank in the agreement?,Elizabeth A. Jordan,3,1,0
101,Who is the CEO of the company which is both the BORROWER and the Borrower in the agreement?,Stanton M. Nelson,3,1,0
100,Who is the Vice President of the company which is both the Agent and the Lender in the agreement?,Min Park,3,1,0
100,Who is the VP%2FRelationship Manager of the company which is both the Agent and the Lender in the agreement?,Ray Aguilar,3,1,0
100,Who is the Vice President%2FRelationship Manager of the company which is both the Agent and the Lender in the agreement?,Ray Aguilar,3,1,0
39,Who is the Senior Vice President of the company which is both the Agent and the Lender in the agreement?,James Foley,3,1,0
39,Who is the Vice President of the company which is both the Agent and the Lender in the agreement?,David B. Thayer,3,1,0
110,Who is the Executive Director of the company which is both the Bookrunners and the Arrangers in the agreement?,Dave Katz,3,1,0
10,"Who is the Manager, Agency of the company which is both the Administrative Agent and the Issuing Bank in the agreement?",Susan Khokher,3,1,0
10,Who is the Authorized Signatory of the company which is both the Administrative Agent and the Issuing Bank in the agreement?,Alex Figueroa,3,1,0
38,Who is the Executive Director of the company which is both the Agent and the Lender in the agreement?,Dave Katz,3,1,0
107,Who is the Assistant Treasurer of the company which is both the Guarantor and the Grantor in the agreement?,Paul McFeeters,3,1,0
107,Who is the Chief Administrative Officer of the company which is both the Guarantor and the Grantor in the agreement?,Paul McFeeters,3,1,0
107,Who is the Chief Executive Officer of the company which is both the Guarantor and the Grantor in the agreement?,Paul McFeeters,3,1,0
107,Who is the Chief Financial Officer of the company which is both the Guarantor and the Grantor in the agreement?,Paul McFeeters,3,1,0
107,Who is the President of the company which is both the Guarantor and the Grantor in the agreement?,Paul McFeeters,3,1,0
107,Who is the Treasurer of the company which is both the Guarantor and the Grantor in the agreement?,Paul McFeeters,3,1,0
107,Who is the Vice President of the company which is both the Guarantor and the Grantor in the agreement?,Paul McFeeters,3,1,0
113,Who is the Manager of the company which is both the Borrowers and the BORROWERS in the agreement?,Sonja K. McClelland,3,1,0
113,Who is the Managing Director A and Authorized Representative of the company which is both the Borrowers and the BORROWERS in the agreement?,Sonja K. McClelland,3,1,0
113,Who is the Secretary%2FTreasurer of the company which is both the Borrowers and the BORROWERS in the agreement?,Sonja K. McClelland,3,1,0
113,Who is the Chief Executive Officer of the company which is both the Borrowers and the BORROWERS in the agreement?,Michael Doar,3,1,0
112,Who is the Senior Vice President of the company which is both the Agent and the Lender in the agreement?,Robert C. Megan,3,1,0
106,Who is the Executive Vice President of the company which is both the Intermediate Holdings and the Holdings in the agreement?,Clint C. Freeland,3,1,0
106,Who is the Chief Financial Officer of the company which is both the Intermediate Holdings and the Holdings in the agreement?,Clint C. Freeland,3,1,0
106,"Who is the Manager, Agency of the company which is both the Agent and the Lender in the agreement?",Ann Hurley,3,1,0
60,Who is the Executive Director of the company which is both the documentation agent and the agents in the agreement?,Anthony Galea,3,1,0
60,Who is the Assistant Vice President of the company which is both the documentation agent and the agents in the agreement?,Stephanie Herndon,3,1,0
74,Who is the Senior Vice President of the company which is both the LC Issuer and the Administrative Agent in the agreement?,Jeff Kalinowski,3,1,0
160,Who is the Authorized Officer of the company which is both the Joint Lead Arrangers and the Issuing Bank in the agreement?,Helen D. Davis,3,1,0
61,Who is the Director of the company which is both the Agent and the Lender in the agreement?,Jim Cahow,3,1,0
77,Who is the Authorized Signatory of the company which is both the Lender and the Co-Documentation Agent in the agreement?,Rebecca Kratz,3,1,0
62,Who is the Managing Director of the company which is both the Arranger and the Bookrunner in the agreement?,Pradeep Mehra,3,1,0
72,Who is the Managing Director of the company which is both the Arrangers and the Book Runners in the agreement?,Kay Reedy,3,1,0
72,Who is the Assistant Vice President of the company which is both the Arrangers and the Book Runners in the agreement?,John Summers,3,1,0
66,Who is the Authorized Signer of the company which is both the Lender and the Revolver in the agreement?,James Riley,3,1,0
99,Who is the Authorized Signatory of the company which is both the Agent and the Lender in the agreement?,Christine Howatt,3,1,0
166,Who is the Assistant Vice Presiden of the company which is both the Lender and the Bookrunners in the agreement?,Mark Pope,3,1,0
166,Who is the SVP %28Credit Administration%29 of the company which is both the Lender and the Bookrunners in the agreement?,R. Srinivasa Sekaran,3,1,0
166,Who is the General Manager of the company which is both the Lender and the Bookrunners in the agreement?,Suguru Hattori,3,1,0
166,Who is the Joint Managing Director of the company which is both the Lender and the Bookrunners in the agreement?,Dipak Gupta,3,1,0
166,Who is the Senior Executive Vice President of the company which is both the Lender and the Bookrunners in the agreement?,Rajeev Mohan,3,1,0
67,Who is the President of the company which is both the additional credit party and the Credit Party in the agreement?,Michael Fleming,3,1,0
67,Who is the CEO of the company which is both the Credit Party and the Borrower in the agreement?,Dennis M. Lanfear,3,1,0
73,Who is the Assistant Vice President of the company which is both the Joint Lead Arrangers and the Joint Bookrunners in the agreement?,Christopher M. Aitkin,3,1,0
73,Who is the Director of the company which is both the Joint Lead Arrangers and the Joint Bookrunners in the agreement?,Lindsey McGraw,3,1,0
9,Who is the Executive Director of the company which is both the Agent and the Lender in the agreement?,Peter Predun,3,1,0
71,Who is the Sr. Vice President of the company which is both the Arranger and the Bookrunner in the agreement?,Ryan Maples,3,1,0
164,Who is the Officer of the company which is both the Lender and the SYNDICATION AGENTS in the agreement?,Tyler Tirpak,3,1,0
170,Who is the Assistant Vice President of the company which is both the Agent and the Lender in the agreement?,Mark D. Rodgers,3,1,0
159,Who is the Authorized Signatory of the company which is both the Lender and the Administrative Agent in the agreement?,James Greenfield,3,1,0
165,Who is the Executive Director of the company which is both the Lender and the Syndication Agent in the agreement?,Tony Young,3,1,0
165,Who is the Corporate Secretary of the company which is both the Lenders and the Company in the agreement?,Colleen Batcheler,3,1,0
165,Who is the General Counsel of the company which is both the Lenders and the Company in the agreement?,Colleen Batcheler,3,1,0
165,Who is the Investor Relations Officer of the company which is both the Lenders and the Company in the agreement?,Johan Nystedt,3,1,0
165,Who is the Treasurer of the company which is both the Lenders and the Company in the agreement?,Johan Nystedt,3,1,0
165,Who is the Vice President of the company which is both the Lenders and the Company in the agreement?,Johan Nystedt,3,1,0
168,Who is the Director of the company which is both the LENDER and the Syndication Agent in the agreement?,Michael Contreras,3,1,0
168,Who is the Vice President of the company which is both the Agent and the Lender in the agreement?,Carolyn A. Kee,3,1,0
96,Who is the SVP of the company which is both the Agent and the LENDERS in the agreement?,John M. Valentine,3,1,0
155,Who is the Authorized Signatory of the company which is both the Lenders and the LENDERS in the agreement?,Harry Chung,3,1,0
83,Who is the General Counsel of the company which is both the US Borrower and the Cayman Borrower%3A in the agreement?,Michael Ray,3,1,0
83,Who is the Secretary of the company which is both the US Borrower and the Cayman Borrower%3A in the agreement?,Michael Ray,3,1,0
40,Who is the First Vice President of the company which is both the Agent and the Lender in the agreement?,David Reading,3,1,0
142,"Who is the Director, Resources %26 Energy Group of the company which is both the Documentation Agents and the Lender in the agreement?",Jason Lang,3,1,0
142,Who is the Executive Director of the company which is both the Agent and the Lender in the agreement?,Juan J. Javellana,3,1,0
156,Who is the Executive Director of the company which is both the Lende and the Issuing Bank in the agreement?,Timothy Lee,3,1,0
156,Who is the Senior Vice President of the company which is both the Lender and the Issuing Bank in the agreement?,Carmela Massari,3,1,0
94,Who is the Managing Director of the company which is both the Agent and the Lender in the agreement?,Edward T. Crook,3,1,0
94,Who is the Vice President of the company which is both the Agent and the Lender in the agreement?,J. St%C3%A9phane Lautner,3,1,0
57,Who is the Treasurer of the company which is both the Company and the Borrower in the agreement?,Chuck B. Kyrish,3,1,0
57,Who is the Vice President of the company which is both the Company and the Borrower in the agreement?,Chuck B. Kyrish,3,1,0
5,Who is the Vice President of the company which is both the Documentation Agents and the Lead Arrangers in the agreement?,Roy E. Alexander,3,1,0
47,Who is the Vice President of the company which is both the Lender and the co-Syndication Agents in the agreement?,Bremmer Kneib,3,1,0
47,"Who is the Managing Director of the company which is both the Lender and the Administrative Agent, in the agreement?",Kirk Tesch,3,1,0
85,Who is the Senior Vice President of the company which is both the Agent and the Lender in the agreement?,Kenneth Butler,3,1,0
91,Who is the Senior Vice President of the company which is both the LENDER and the Lender in the agreement?,Thomas M. Foncannon,3,1,0
147,Who is the Authorized Signatory of the company which is both the Lender and the L%2FC Issuer in the agreement?,Thomas Manning,3,1,0
147,Who is the Managing Director of the company which is both the Lender and the L%2FC Issuer in the agreement?,Raymond Ventura,3,1,0
46,Who is the Senior Vice President of the company which is both the Agent and the Lender in the agreement?,Gregory R. Russano,3,1,0
50,Who is the Managing Director of the company which is both the Agents and the Lender in the agreement?,Derek R. Brunelle,3,1,0
150,Who is the Vice President of the company which is both the Administrative Agent and the Collateral Agent in the agreement?,Raye Goldsborough,3,1,0
3,Who is the Managing Director of the company which is both the Lender and the Syndication Agent in the agreement?,Anand J. Jobanputra,3,1,0
3,Who is the AVP of the company which is both the Lender and the Administrative Agent in the agreement?,Cindy Jordan,3,1,0
3,Who is the Vice President of the company which is both the Lender and the Administrative Agent in the agreement?,Kyle Pearson,3,1,0
37,Who is the Managing Director of the company which is both the Lender and the L%2FC Issuer in the agreement?,Maria F. Maia,3,1,0
135,Who is the Authorized Officer of the company which is both the Agent and the Lender in the agreement?,Stephanie Balette,3,1,0
20,Who is the Director of the company which is both the Lender and the Administrative Agent in the agreement?,Benjamin Mlot,3,1,0
130,Who is the SVP%2FCommercial Credit Officer of the company which is both the LENDER and the Issuing Bank in the agreement?,Kevin Couch,3,1,0
130,Who is the Authorized Officer of the company which is both the Agent and the Issuing Bank in the agreement?,Stephanie Balette,3,1,0
130,"Who is the Authorized Signatory of the company which is both the Issuing Bank, and the Agent in the agreement?",John Flores,3,1,0
130,"Who is the Manager, Agency Services of the company which is both the Issuing Bank, and the Agent in the agreement?",Yvonne Brazier,3,1,0
133,Who is the SVP of the company which is both the Agent and the Lender in the agreement?,William Allen,3,1,0
127,Who is the Executive Director of the company which is both the Agents and the Lender in the agreement?,Tracy Rahn,3,1,0
