Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,f1_score,edit_distance,cosine_similarity
981,60,"who is the senior vice president and treasurer of leidos holdings, inc.",marc h. crown,2,1,0,Marc H. Crown,1.0,1.0,1.0000000000000002
982,60,who is the assistant vice president of the company where harry yergey is employed,caroline smith,3,0,0,Caroline Smith,1.0,1.0,1.0000000000000002
983,60,who is the assistant vice president of the company where michael maguire is employed,caroline smith,3,0,0,Caroline Smith,1.0,1.0,1.0000000000000002
984,60,who is the assistant vice president of the company where patrick hartweger is employed,caroline smith,3,0,0,Not found,0.0,0.1428571428571429,0.0
985,60,who is the executive director of the company which is the documentation agents in the agreement,anthony galea,3,0,0,Not found,0.0,0.23076923076923073,0.0
986,60,who is the executive director of the company which is the managing agents in the agreement,anthony galea,3,0,0,Not found,0.0,0.23076923076923073,0.0
987,60,who is the senior vice president of the company which is the holdings in the agreement,marc h. crown,3,0,0,Marc H. Crown,1.0,1.0,1.0000000000000002
988,60,who is the treasurer of the company which is the holdings in the agreement,marc h. crown,3,0,0,Marc H. Crown,1.0,1.0,1.0000000000000002
989,60,who is the assistant vice president of the company which is the documentation agents in the agreement,stephanie herndon,3,0,0,Caroline Smith,0.0,0.17647058823529416,0.0
990,60,who is the assistant vice president of the company which is the managing agents in the agreement,stephanie herndon,3,0,0,Stephanie Herndon,1.0,1.0,1.0000000000000002
991,60,"what role does bank of montreal have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Documentation Agents,0.0,0.25,0.0
992,60,"what role does bofa securities, inc. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Not found,0.0,0.18181818181818177,0.0
993,60,"what role does citibank, n.a. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Administrative Agent,0.0,0.09999999999999998,0.0
994,60,"what role does jpmorgan chase bank, n.a. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Documentation Agents,0.0,0.25,0.0
995,60,"what role does mufg bank, ltd. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Syndication Agent,0.0,0.11764705882352944,0.0
996,60,"what role does u.s. bank national association have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Documentation Agents,0.0,0.25,0.0
997,60,"what role does wells fargo securities llc have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Joint Lead Arrangers and Joint Bookrunners,0.33333333333333337,0.26190476190476186,0.2596979932401625
998,60,what company is the lead arrangers but not the bookrunners in the agreement,"ltd., mizuho bank",2,1,0,Not found,0.0,0.19999999999999996,0.0
1149,66,"who is the director and svp of bank of america, n.a.",ronnie glenn,2,1,0,Ronnie Glenn,1.0,1.0,1.0000000000000002
1150,66,"who is the cfo and treasurer of icu medical, inc.",brian m. bonnell,2,1,0,Brian M. Bonnell,1.0,1.0,1.0000000000000002
1151,66,"who is the cfo and treasurer of exc holding corp.tangent medical technologies, inc.excelsior medical corporationicu world, inc.",brian m. bonnell,2,1,0,Brian M. Bonnell,1.0,1.0,1.0000000000000002
