document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.656441970727685,0.6616874123125744,0.6407164225656364,35
17,0.6089427588413389,0.5173833366965706,0.5946587670330031,29
25,0.8012345679012346,0.8828080484330484,0.7910945727061235,18
43,0.18181818181818182,0.848989898989899,0.18181818181818182,11
45,0.9053571428571429,0.8669543627598338,0.9129387279732069,20
47,0.5147327249022164,0.6099466730788491,0.5019011603814727,59
51,0.8252525252525252,0.7074153730912157,0.8200107421210526,22
60,0.7888079041140265,0.7497996625742671,0.7632139469872936,49
65,0.7904995904995905,0.7762339813543507,0.7869694584688045,37
66,0.7210225175341454,0.7077271229677319,0.6900423221137744,43
