document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,f1_score,edit_distance,cosine_similarity
1,What is the position of Alexandra M. Knights?,Authorized Signatory,1,0,0,LLM parse error,0.0,0.19999999999999996,0.0
1,In what organization does Alexandra M. Knights work?,"BANK OF AMERICA, N.A.",1,0,0,LLM parse error,0.0,0.11111111111111116,0.0
1,In what organization does Mark Constant work?,"FRANKLIN RESOURCES, INC.",1,0,0,LLM parse error,0.0,0.13636363636363635,0.0
1,"Who is the representative of BANK OF AMERICA, N.A.?",Alexandra M. Knights,1,0,0,LLM parse error,0.0,0.1578947368421053,0.0
1,"Who is the representative of FRANKLIN RESOURCES, INC.?",Mark Constant,1,0,0,LLM parse error,0.0,0.06666666666666665,0.0
1,"What is the role of FRANKLIN RESOURCES, INC. in the agreement?",Borrower,1,0,0,LLM parse error,0.0,0.19999999999999996,0.0
1,What company is the lead arranger in the agreement?,"Bank of America, N.A.",1,0,0,LLM parse error,0.0,0.11111111111111116,0.0
1,What company is the bookrunner in the agreement?,"Bank of America, N.A.",1,0,0,LLM parse error,0.0,0.11111111111111116,0.0
1,What company is the Administrative Agent in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,LLM parse error,0.0,0.11111111111111116,0.0
1,What company is the Arranger in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,LLM parse error,0.0,0.11111111111111116,0.0
1,What company is the Bookrunner in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,LLM parse error,0.0,0.11111111111111116,0.0
1,What company is the Lender in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,LLM parse error,0.0,0.11111111111111116,0.0
1,What company is the Lenders in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,LLM parse error,0.0,0.11111111111111116,0.0
1,What company is the Borrower in the agreement?,"FRANKLIN RESOURCES, INC.",1,0,0,LLM parse error,0.0,0.13636363636363635,0.0
5,What is the position of Andrew W. Hussion?,Vice President,1,0,0,LLM parse error,0.0,0.19999999999999996,0.0
5,What is the position of Denise Smyth?,Senior Vice President,1,0,0,LLM parse error,0.0,0.1428571428571429,0.0
5,What is the position of Robert Masters?,Senior Vice President,1,0,0,LLM parse error,0.0,0.1428571428571429,0.0
5,In what organization does Andrew W. Hussion work?,WELLS FARGO BANK,1,0,0,LLM parse error,0.0,0.3125,0.0
5,In what organization does Denise Smyth work?,PNC BANK,1,0,0,LLM parse error,0.0,0.1333333333333333,0.0
5,In what organization does Robert Masters work?,PNC BANK,1,0,0,LLM parse error,0.0,0.1333333333333333,0.0
5,In what organization does Roy E. Alexander work?,PNC BANK,1,0,0,LLM parse error,0.0,0.1333333333333333,0.0
5,Who is the representative of WELLS FARGO BANK?,Andrew W. Hussion,1,0,0,LLM parse error,0.0,0.0625,0.0
5,What is the role of ACADIA REALTY LIMITED PARTNERSHIP in the agreement?,SUBSIDIARIES Guarantors,1,0,0,LLM parse error,0.0,0.30434782608695654,0.0
5,"What is the role of BANK OF AMERICA, N.A. in the agreement?",Administrative Agent,1,0,0,LLM parse error,0.0,0.19999999999999996,0.0
5,What is the role of WELLS FARGO SECURITIES in the agreement?,Joint Lead Arrangers,1,0,0,LLM parse error,0.0,0.19999999999999996,0.0
5,What is the role of WELLS FARGO BANK in the agreement?,Documentation Agents,1,0,0,LLM parse error,0.0,0.15000000000000002,0.0
5,What company is the SUBSIDIARIES Guarantors in the agreement?,ACADIA REALTY LIMITED PARTNERSHIP,1,0,0,LLM parse error,0.0,0.24242424242424243,0.0
5,What company is the Administrative Agent in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,LLM parse error,0.0,0.11111111111111116,0.0
5,What company is the C Issuer in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,LLM parse error,0.0,0.11111111111111116,0.0
5,What company is the Lender in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,LLM parse error,0.0,0.11111111111111116,0.0
5,What company is the Swing Line Lender in the agreement?,"BANK OF AMERICA, N.A.",1,0,0,LLM parse error,0.0,0.11111111111111116,0.0
