document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
116,Who is the coo but not cfo of the company which is the the company in the agreement?,orit mizrachi,3,2,0
116,Who is the coo but not chief financial officer of the company which is the the company in the agreement?,orit mizrachi,3,2,0
116,Who is the cfo but not chief financial officer of the company which is the the company in the agreement?,venu rathi,3,2,0
116,Who is the cfo but not coo of the company which is the the company in the agreement?,venu rathi,3,2,0
116,Who is the chief financial officer but not cfo of the company which is the the company in the agreement?,venugopal rathi,3,2,0
116,Who is the chief financial officer but not coo of the company which is the the company in the agreement?,venugopal rathi,3,2,0
100,Who is the chief legal and administrative officer but not executive vice president of the company which is the borrower in the agreement?,dan johnston,3,2,0
100,Who is the chief legal and administrative officer but not chief financial officer of the company which is the borrower in the agreement?,dan johnston,3,2,0
100,Who is the vice president but not executive vice president of the company which is the borrower in the agreement?,dan johnston,3,2,0
100,Who is the vice president but not chief financial officer of the company which is the borrower in the agreement?,dan johnston,3,2,0
100,Who is the executive vice president but not chief legal and administrative officer of the company which is the borrower in the agreement?,peter kuipers,3,2,0
100,Who is the executive vice president but not vice president of the company which is the borrower in the agreement?,peter kuipers,3,2,0
100,Who is the chief financial officer but not chief legal and administrative officer of the company which is the borrower in the agreement?,peter kuipers,3,2,0
100,Who is the chief financial officer but not vice president of the company which is the borrower in the agreement?,peter kuipers,3,2,0
139,Who is the director but not managing director of the company which is the lender in the agreement?,kestrina budina,3,2,0
139,Who is the managing director but not director of the company which is the lender in the agreement?,tanya crossley,3,2,0
111,Who is the head of financial institutions group but not head of corporate banking of the company which is the lender in the agreement?,louise twiss west,3,2,0
111,Who is the head of corporate banking but not head of financial institutions group of the company which is the lender in the agreement?,neville grant,3,2,0
10,Who is the authorized signatory but not manager agency of the company which is the lender issuing bank in the agreement?,alex figueroa,3,2,0
10,Who is the manager agency but not authorized signatory of the company which is the lender issuing bank in the agreement?,susan khokher,3,2,0
10,Who is the authorized signatory but not manager agency of the company which is the administrative agent in the agreement?,alex figueroa,3,2,0
10,Who is the manager agency but not authorized signatory of the company which is the administrative agent in the agreement?,susan khokher,3,2,0
38,Who is the managing director but not director of the company which is the lender in the agreement?,ann rhoads,3,2,0
38,Who is the director but not managing director of the company which is the lender in the agreement?,sriram chandrasekaran,3,2,0
38,Who is the vice president but not managing director of the company which is the lender in the agreement?,ming k chu,3,2,0
38,Who is the managing director but not vice president of the company which is the lender in the agreement?,ross levitsky,3,2,0
38,Who is the vice president but not senior vice president of the company which is the lender in the agreement?,jamie grubb,3,2,0
38,Who is the senior vice president but not vice president of the company which is the lender in the agreement?,joe hykle,3,2,0
38,Who is the associate director but not director of the company which is the lender in the agreement?,houssem daly,3,2,0
38,Who is the director but not associate director of the company which is the lender in the agreement?,kenneth chin,3,2,0
12,Who is the fvp head of credit but not relationship manager of the company which is the lender in the agreement?,francesco di mario,3,2,0
12,Who is the relationship manager but not fvp head of credit of the company which is the lender in the agreement?,lorenzo rodino,3,2,0
12,Who is the managing director but not director of the company which is the lender in the agreement?,luca balestra,3,2,0
12,Who is the director but not managing director of the company which is the lender in the agreement?,thilo huber,3,2,0
12,Who is the global treasurer but not executive vice president of the company which is the borrower in the agreement?,aidan clare,3,2,0
