document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
1,0.6477272727272727,0.35335134541796687,0.6241901273572601,3.4545454545454546,22
2,0.771089041677277,0.21636844920732387,0.7698811525945106,4.137254901960785,51
3,0.8083333333333333,0.22191983650316985,0.8018897486037926,4.194444444444445,36
4,0.747698882314267,0.2499396947019007,0.7078780166247849,4.1923076923076925,26
5,0.2567287784679089,0.6497883309814554,0.2515323890393393,2.130434782608696,23
6,0.9166666666666666,0.06111111111111111,0.9166666666666669,4.666666666666667,12
7,0.8863636363636364,0.19015049278207174,0.9138575786957769,4.722222222222222,18
8,0.6126984126984127,0.4429936849291688,0.5444324231061155,3.3333333333333335,9
9,0.5755929038281979,0.3848796806791447,0.557167502963949,3.388235294117647,85
10,0.9370929370929371,0.11383671718465212,0.9279382979572357,4.756756756756757,37
11,0.6414968814968814,0.31494931381723834,0.6311242681196934,3.6216216216216215,37
12,0.9789919322629603,0.024460986742012605,0.9749998754091199,4.925233644859813,107
13,0.8383838383838383,0.1685185185185185,0.8410927170785342,4.444444444444445,9
14,0.8181818181818182,0.1539176935596373,0.8181818181818183,4.2727272727272725,11
15,0.95,0.125,0.9358287542248703,4.75,16
16,0.9848484848484849,0.0743801652892562,0.975698034304627,4.954545454545454,22
17,0.3982683982683982,0.5691730577968092,0.37526543221059877,3.0,11
18,0.8344636844636845,0.24053598262057926,0.8075477828466315,4.363636363636363,33
19,0.7318234610917538,0.277480912396946,0.723766102404286,3.951219512195122,41
20,0.6541666666666667,0.3843393101325996,0.6110805370919388,3.875,8
21,0.8711282711282712,0.16684641393018912,0.8939572179909334,4.486486486486487,37
22,0.7562474562474563,0.2676070028043712,0.7293438027423528,3.871794871794872,39
23,0.8413489802378691,0.17925649727967422,0.845232155485303,4.351851851851852,54
24,0.5887608560022353,0.40890438471720925,0.5587460172238655,3.396551724137931,58
25,0.5859649122807017,0.3912220124030137,0.5897627997537086,3.3684210526315788,19
26,0.5556288501008998,0.4251257186721899,0.5456620413568382,3.8666666666666667,105
27,0.6296296296296297,0.3424836601307189,0.6296296296296298,3.5185185185185186,27
28,0.47255475021432464,0.49799850468694923,0.4673198569718452,2.9148936170212765,47
29,0.2232720839531985,0.648920395963299,0.22399990711358148,1.9772727272727273,44
30,0.25510204081632654,0.17210884353741498,0.2501663413018337,4.071428571428571,14
31,0.43052392812666784,0.5424038371644869,0.42956043005065053,2.8493150684931505,73
32,0.45190136028845707,0.4844244184399095,0.4290739185485268,3.07741935483871,155
33,0.6636904761904762,0.34372299432590875,0.6532214243399612,3.625,32
34,0.38730786122090466,0.5248937209305491,0.3812036671713498,2.5,46
35,0.5658656031943703,0.43016453698372925,0.5554387507502676,3.1232876712328768,146
36,0.6437908496732027,0.34409430438842203,0.6301534477378345,3.588235294117647,17
37,0.3861757105943152,0.1561829295952404,0.3893843122834179,4.069767441860465,86
38,0.4980084760816733,0.45055702308631707,0.4803410323053412,3.3275862068965516,174
39,0.7753209753209753,0.27678357435674855,0.757521937008565,4.37037037037037,27
40,0.7294833253166586,0.3530910643823191,0.698409773511649,4.0,36
41,0.7476416587527699,0.2988677760892879,0.753533241193687,3.888888888888889,54
42,0.6950386215092097,0.31103649134121286,0.6846303222697531,3.7254901960784315,51
43,0.1,0.09,0.1,4.1,10
44,0.6203243616287094,0.33413071090080104,0.6224179383241092,3.8043478260869565,46
45,0.5490196078431373,0.39248554564856986,0.5423698912095195,3.176470588235294,34
46,0.7307692307692307,0.11552261779965764,0.730769230769231,4.346153846153846,26
47,0.6043650793650793,0.39088944336680415,0.5634241665312839,3.75,64
48,0.3919642857142857,0.5345687298812299,0.38812603169161236,2.6875,32
49,0.4164285714285714,0.1638863642623041,0.41379822893163415,3.9642857142857144,28
50,0.5484389348025711,0.41965544754870593,0.5034932612122495,3.757575757575758,33
51,0.6489177489177489,0.24183323187229439,0.6397092540656407,4.125,32
52,0.7655982905982907,0.2595039511762244,0.761042769075155,4.0,60
53,0.48680351906158353,0.44098589582460546,0.4939982529698769,3.161290322580645,31
54,0.6153846153846154,0.3076923076923077,0.6153846153846155,3.4615384615384617,13
55,0.8017543859649122,0.2215670755836961,0.7716976355868281,4.2105263157894735,19
56,0.6955769819406183,0.32764560965875256,0.6940193041341322,3.727272727272727,33
57,0.5163867243867244,0.47713097265671506,0.5259022514594449,3.28,150
58,0.5034722222222222,0.28880621693121694,0.48913400060887496,3.5416666666666665,24
59,0.1177437641723356,0.6952552071890806,0.10364364972433218,1.9464285714285714,56
60,0.22206863074217284,0.5806295894675902,0.21350917455757684,2.148876404494382,356
61,0.35968866294524193,0.4774495731583645,0.34248505663765344,2.575,80
62,0.8097222222222222,0.2276973120582566,0.7834691807193104,4.375,24
63,0.6244897959183674,0.47729248152976966,0.583800671942017,3.5714285714285716,7
64,0.25831567409572526,0.6085010657411237,0.24978093026142864,2.019607843137255,51
65,0.1972333478846084,0.7137434266536443,0.18318293453053733,2.0357142857142856,140
66,0.2632849418558749,0.675939100504233,0.25093221170845786,2.3254437869822486,169
67,0.5243867243867244,0.4558386698411539,0.497685129623241,3.090909090909091,33
68,0.6309848484848485,0.41605233002291825,0.6119280305745083,3.6,40
69,0.39530332681017616,0.5877273413623881,0.37996064315050604,2.5342465753424657,73
70,0.896969696969697,0.16248506571087215,0.8669771704300897,4.466666666666667,15
71,0.7666666666666667,0.21563807958744538,0.7495050658244926,4.1,20
72,0.6004578754578754,0.3305913596792787,0.5743184084436866,3.577777777777778,45
73,0.6346895292207793,0.3261991103958152,0.6098503484558002,3.796875,64
74,0.6562229437229438,0.30826155551765305,0.6244991746418846,3.6818181818181817,44
75,0.9642857142857143,0.08538011695906432,0.9385466129773398,4.857142857142857,14
