document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.7295918367346939,0.7312861862509781,0.7232902762419288,35
17,0.3335610749403853,0.36580471797092373,0.3182150161272356,29
25,0.8166666666666667,0.8826102636229218,0.8131044253232106,18
43,0.18181818181818182,0.9181818181818181,0.18181818181818182,11
45,0.8752580752580753,0.8076020748133578,0.8746278646070819,20
47,0.3831003493017451,0.6142435993352612,0.3733827749365644,59
51,0.8506313131313131,0.656821190741118,0.8598147511288586,22
60,0.7656786524133462,0.7358625837733573,0.7465480488009083,49
65,0.3009009009009009,0.38519239214455,0.29539420046400283,37
66,0.0,0.16060008875843348,0.0,43
