document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
107,who is the assistant treasurer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters,1.0,0.0,1.0000000000000002,5
107,who is the chief administrative officer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters,1.0,0.0,1.0000000000000002,5
107,who is the chief executive officer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Not found,0.0,0.8571428571428571,0.0,1
107,who is the chief financial officer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters,1.0,0.0,1.0000000000000002,5
107,who is the president of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters,1.0,0.0,1.0000000000000002,5
107,who is the treasurer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters,1.0,0.0,1.0000000000000002,5
107,who is the vice president of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters,1.0,0.0,1.0000000000000002,5
37,who is the managing director of the company which is the swing line lender but not the c issuer in the agreement,maria f. maia,3,2,0,Maria F. Maia,1.0,0.0,1.0000000000000002,5
107,what are the roles and subroles that barclays bank plc and global markets inc. share in the agreement that are not held by rbc capital markets,"collateral agent, collateral trustee, documentation agent, administrative agent, administrative borrower",1,3,1,Not found,0.0,0.92,0.0,1
107,what are the roles and subroles that barclays bank plc and global markets inc. share in the agreement that are not held by wilmington trust fsb,"documentation agent, administrative agent, administrative borrower",1,3,1,"Barclays Bank PLC and RBC CAPITAL MARKETS are Lead Arrangers and Joint Bookrunners, roles not held by Wilmington Trust FSB.",0.0,0.7768595041322314,0.0,1
107,what are the roles and subroles that barclays bank plc and global markets inc. share in the agreement that are not held by barclays bank plc,"collateral agent, collateral trustee, documentation agent, administrative agent, administrative borrower",1,3,1,Not found,0.0,0.92,0.0,1
107,"what are the roles and subroles that barclays bank plc and wells fargo foothill, inc share in the agreement that are not held by wilmington trust fsb","documentation agent, administrative agent, administrative borrower",1,3,1,"Barclays Bank PLC: joint lead arrangers and joint bookrunners, Wells Fargo Foothill, Inc.: administrative agent",0.22222222222222224,0.7037037037037037,0.2057379892062696,1
107,"what are the roles and subroles that barclays bank plc and wells fargo foothill, inc share in the agreement that are not held by barclays bank plc","collateral agent, collateral trustee, documentation agent, administrative agent, administrative borrower",1,3,1,Not found,0.0,0.92,0.0,1
107,what are the roles and subroles that barclays bank plc and wilmington trust fsb share in the agreement that are not held by barclays bank plc,"collateral agent, collateral trustee",1,3,1,Wilmington Trust FSB is collateral trustee for the Secured Parties in the Quota Pledge Agreement.,0.23529411764705882,0.75,0.20197114689532847,4
107,"what are the roles and subroles that global markets inc. and wells fargo foothill, inc share in the agreement that are not held by wilmington trust fsb","documentation agent, administrative agent, administrative borrower",1,3,1,joint lead arrangers and joint bookrunners,0.0,0.703125,0.0,1
