document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
47,0.6666666666666666,0.3076923076923077,0.6666666666666669,3.6666666666666665,3
60,0.034144259496372176,0.8338534945854631,0.01481094223448168,1.4225352112676057,71
61,0.0,0.888888888888889,0.0,1.0,5
83,0.0,0.925,0.0,1.0,8
84,0.0,0.9512820512820512,0.0,1.0,5
107,0.0,0.9026488095238095,0.0,1.0,6
121,0.06666666666666667,0.7449629781982724,0.05797386715376658,1.3,10
135,0.0,0.8125,0.0,1.0,12
139,0.0,0.8969696969696969,0.0,1.0,5
145,0.4800000000000001,0.6794425087108014,0.42557835996376436,2.8,5
153,0.0,0.8333333333333334,0.0,1.0,1
166,0.3333333333333333,0.5588603988603988,0.33333333333333337,2.3333333333333335,15
