document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
9,0.8292410714285714,0.19392962294231658,0.8223487396396095,4.21875,32
17,0.3975308641975309,0.5740295434910729,0.39943007999451513,2.6666666666666665,27
25,0.7444444444444445,0.13602335164835164,0.7314073077650158,4.214285714285714,14
43,0.12121212121212123,0.6839369455711887,0.12137961302981148,4.636363636363637,11
45,0.9313186813186813,0.12653380893300248,0.9316395229183998,4.8,20
47,0.5234698215830291,0.24847090777443712,0.5129949267318531,4.188679245283019,53
51,0.8796296296296295,0.27914831718239946,0.8865593200818674,4.9523809523809526,21
60,0.8148088023088023,0.2130685317912743,0.7920170334316655,3.909090909090909,44
65,0.19220779220779222,0.702403927857428,0.18829143872815143,1.7857142857142858,28
66,0.08978174603174602,0.7847597014745065,0.07606615012839324,1.2,40
