document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What roles does exgen renewables iv llc have in the agreement which are not the roles of constellation dco albany power holdings llc?,"borrower, pledgor",1,2,1
17,What roles does exgen renewables iv llc have in the agreement which are not the roles of exelon avsr holding llc?,"borrower, pledgor",1,2,1
17,What roles does exgen renewables iv llc have in the agreement which are not the roles of solgen holding llc?,"borrower, pledgor",1,2,1
117,What roles does jpmorgan chase bank na have in the agreement which are not the roles of wells fargo securities llc?,"administrative agent, bookrunner, issuing lender, swing line lender",1,2,1
28,What roles does pharmakon advisors lp have in the agreement which are not the roles of biopharma credit investments v master lp?,"agent, investment manager",1,2,1
28,What roles does pharmakon advisors lp have in the agreement which are not the roles of biopharma credit plc?,"agent, investment manager",1,2,1
101,What roles does texas capital bank national association have in the agreement which are not the roles of legacytexas bank?,"administrative agent, arranger, l c issuer, sole book runner",1,2,1
128,What roles does jpmorgan chase bank na have in the agreement which are not the roles of bofa securities inc?,"administrative agent, bookrunners",1,2,1
110,What roles does mizuho bank ltd have in the agreement which are not the roles of merrill lynch pierce fenner and smith incorporated?,"agent, bookrunners",1,2,1
110,What roles does mizuho bank ltd have in the agreement which are not the roles of barclays bank plc?,"agent, bookrunners",1,2,1
138,What roles does us bank national association have in the agreement which are not the roles of capital one national association?,"agent, joint bookrunners",1,2,1
138,What roles does us bank national association have in the agreement which are not the roles of pnc bank national association?,"agent, joint bookrunners",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of bank of america?,"administrative agent, lender",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of jpmorgan chase bank?,"lender, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of barclays bank plc?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of citibank na?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of citizens bank na?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of cobank acb?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of fifth third bank?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of land bank of taiwan new york branch?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of mizuho bank ltd?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of morgan stanley bank na?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of morgan stanley senior funding inc?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of pnc bank national association?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of royal bank of canada?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of societe generale?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of sumitomo mitsui banking corporation?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of suntrust bank?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of td bank na?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of the bank of tokyo mitsubishi ufj ltd?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of toronto dominion new york llc?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of wells fargo bank na?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of jpmorgan chase bank na?,"administrative agent, syndication agent",1,2,1
139,What roles does bank of america na have in the agreement which are not the roles of crédit agricole corporate and investment bank?,"administrative agent, syndication agent",1,2,1
111,What roles does national australia bank limited have in the agreement which are not the roles of suntrust robinson humphrey inc?,"bookrunners, lender",1,2,1
111,What roles does national australia bank limited have in the agreement which are not the roles of barclays bank plc?,"arrangers, bookrunners",1,2,1
111,What roles does suntrust bank have in the agreement which are not the roles of barclays bank plc?,"administrative agent, co syndication agent",1,2,1
111,What roles does wells fargo bank national association have in the agreement which are not the roles of barclays bank plc?,"administrative agent, agent",1,2,1
111,What roles does national australia bank limited have in the agreement which are not the roles of jpmorgan chase bank na?,"arrangers, bookrunners",1,2,1
111,What roles does suntrust bank have in the agreement which are not the roles of jpmorgan chase bank na?,"administrative agent, co syndication agent",1,2,1
111,What roles does wells fargo bank national association have in the agreement which are not the roles of jpmorgan chase bank na?,"administrative agent, agent",1,2,1
111,What roles does national australia bank limited have in the agreement which are not the roles of suntrust bank?,"arrangers, bookrunners",1,2,1
111,What roles does suntrust bank have in the agreement which are not the roles of national australia bank limited?,"administrative agent, co syndication agent",1,2,1
111,What roles does national australia bank limited have in the agreement which are not the roles of the bank of nova scotia?,"arrangers, bookrunners",1,2,1
111,What roles does national australia bank limited have in the agreement which are not the roles of hsbc bank bermuda limited?,"arrangers, bookrunners",1,2,1
111,What roles does national australia bank limited have in the agreement which are not the roles of wells fargo bank national association?,"arrangers, bookrunners",1,2,1
111,What roles does wells fargo bank national association have in the agreement which are not the roles of national australia bank limited?,"administrative agent, agent",1,2,1
