Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response,multiple_answers,sum_values
228,60,who is both the senior vice president and treasurer of the company which is the holdings in the agreement,marc h. crown,3,1,0.0,Marc H. Crown,0,4
981,60,"who is the senior vice president and treasurer of leidos holdings, inc.",marc h. crown,2,1,,Marc H. Crown,0,3
982,60,who is the assistant vice president of the company where harry yergey is employed,caroline smith,3,0,,Caroline Smith,0,3
983,60,who is the assistant vice president of the company where michael maguire is employed,caroline smith,3,0,,Not found,0,3
984,60,who is the assistant vice president of the company where patrick hartweger is employed,caroline smith,3,0,,Not found,0,3
991,60,"what role does bank of montreal have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Documentation Agent,0,3
992,60,"what role does bofa securities, inc. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Joint Lead Arranger and Joint Bookrunner,0,3
993,60,"what role does citibank, n.a. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Administrative Agent,0,3
994,60,"what role does jpmorgan chase bank, n.a. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Documentation Agent,0,3
995,60,"what role does mufg bank, ltd. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Syndication Agent,0,3
996,60,"what role does u.s. bank national association have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Documentation Agent,0,3
997,60,"what role does wells fargo securities llc have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Joint Lead Arranger and Joint Bookrunner,0,3
1149,66,"who is the director and svp of bank of america, n.a.",ronnie glenn,2,1,,Sebastian Lurie,0,3
1150,66,"who is the cfo and treasurer of icu medical, inc.",brian m. bonnell,2,1,,Brian M. Bonnell,0,3
1151,66,"who is the cfo and treasurer of exc holding corp.tangent medical technologies, inc.excelsior medical corporationicu world, inc.",brian m. bonnell,2,1,,Brian M. Bonnell,0,3
1161,66,who is the authorized signer of the company which is the revolver in the agreement,james riley,2,1,,Not found,0,3
1167,66,"what role does bnp paribas securities corp. have in the agreement which is not the role of keybanc capital markets, inc.",agents,2,1,,Joint Lead Arrangers and Joint Bookrunners for the Tranche B Term Facility,0,3
1168,66,"what role does bnp paribas securities corp. have in the agreement which is not the role of wells fargo securities, llc",agents,2,1,,Joint Lead Arrangers and Joint Bookrunners for the Tranche B Term Facility,0,3
1169,66,"what role does bank of the west have in the agreement which is not the role of keybanc capital markets, inc.",agents,2,1,,Joint Lead Arrangers and Joint Bookrunners for the Tranche A Term Facility and the Revolving Facility,0,3
1170,66,"what role does bank of the west have in the agreement which is not the role of wells fargo securities, llc",agents,2,1,,Joint Lead Arrangers and Joint Bookrunners for the Tranche B Term Facility,0,3
1171,66,"what role does barclays bank plc have in the agreement which is not the role of keybanc capital markets, inc.",agents,2,1,,"Joint Lead Arrangers and Joint Bookrunners for the Tranche A Term Facility and the Revolving Facility, Joint Lead Arrangers and Joint Bookrunners for the Tranche B Term Facility",0,3
1172,66,"what role does barclays bank plc have in the agreement which is not the role of wells fargo securities, llc",agents,2,1,,Joint Lead Arrangers and Joint Bookrunners for the Tranche B Term Facility,0,3
1173,66,"what role does bofa securities, inc. have in the agreement which is not the role of keybanc capital markets, inc.",agents,2,1,,Joint Lead Arrangers and Joint Bookrunners for the Tranche A Term Facility and the Revolving Facility,0,3
1174,66,"what role does bofa securities, inc. have in the agreement which is not the role of wells fargo securities, llc",agents,2,1,,Joint Lead Arrangers and Joint Bookrunners for the Tranche B Term Facility,0,3
1175,66,"what role does citigroup global markets inc. have in the agreement which is not the role of keybanc capital markets, inc.",agents,2,1,,"Joint Lead Arrangers and Joint Bookrunners for the Tranche A Term Facility and the Revolving Facility, Joint Lead Arrangers and Joint Bookrunners for the Tranche B Term Facility",0,3
1176,66,"what role does citigroup global markets inc. have in the agreement which is not the role of wells fargo securities, llc",agents,2,1,,Joint Lead Arrangers and Joint Bookrunners for the Tranche B Term Facility,0,3
1177,66,"what role does u.s. bank national association have in the agreement which is not the role of wells fargo securities, llc",agents,2,1,,"Joint Lead Arrangers and Joint Bookrunners for the Tranche A Term Facility and the Revolving Facility, Joint Lead Arrangers and Joint Bookrunners for the Tranche B Term Facility",0,3
1178,66,"what role does citibank n.a. have in the agreement which is not the role of mufg bank, ltd.",revolver,2,1,,Not found,0,3
1179,66,"what role does citibank n.a. have in the agreement which is not the role of wells fargo bank, national association",revolver,2,1,,Not found,0,3
1213,9,who is the chief financial officer and senior vice president of middletown cogeneration company llc,mark e. newman,2,1,,Mark E. Newman,0,3
1214,9,who is the chief financial officer and treasurer of middletown cogeneration company llc,mark e. newman,2,1,,Mark E. Newman,0,3
1215,9,who is the senior vice president and treasurer of middletown cogeneration company llc,mark e. newman,2,1,,Not found,0,3
1217,9,"who is the chief financial officer and treasurer of suncoke energy partners, l.p.",mark e. newman,2,1,,Not found,0,3
