document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who is the chief financial officer of the company associated with 1048 industrial court suite e suwanee ga 30024?,jeffry r keyes,3,0,0
102,Who is the authorized signatory of the company associated with 2450 colorado avenue suite 3000 west santa monica ca 90404?,kathy r plisko,3,0,0
102,Who is the esq of the company associated with 65 east 55th street new york ny 10022?,adam finerman,3,0,0
102,Who is the esq of the company associated with 695 town center drive 17th floor costa mesa ca 92626?,katherine bell,3,0,0
116,Who is the managing director of the company associated with 120 south lasalle street chicago illinois 60603?,nicholas jordan,3,0,0
116,Who is the managing director of the company associated with 70 w madison chicago illinois 60602?,nicholas jordan,3,0,0
117,Who is the chief financial officer of the company associated with 14375 nw science park drive portland or 97229?,jim a swanson,3,0,0
117,Who is the executive vice president of the company associated with 14375 nw science park drive portland or 97229?,jim a swanson,3,0,0
103,Who is the associate counsel of the company associated with 225 w washington street 21st floor chicago il 60606?,matthew trybula,3,0,0
103,Who is the director of the company associated with 3 sw 129th avenue suite 400 pembroke pines fl 33027?,stephen sernett,3,0,0
16,Who is the senior managing director of the company associated with two international place 17th floor boston ma 02110?,christopher a arnold,3,0,0
28,Who is the chief executive officer of the company associated with 100 technology center drive suite 300 stoughton ma 02072?,joseph ciaffoni,3,0,0
28,Who is the president of the company associated with 100 technology center drive suite 300 stoughton ma 02072?,joseph ciaffoni,3,0,0
28,Who is the ceo of the company associated with 51 new north road exeter ex4 4ep united kingdom?,pedro gonzalez de cosio,3,0,0
28,Who is the managing member of the company associated with 51 new north road exeter ex4 4ep united kingdom?,pedro gonzalez de cosio,3,0,0
28,Who is the ceo of the company associated with cayman corporate centre 27 hospital road george town grand cayman ky1 9008?,pedro gonzalez de cosio,3,0,0
28,Who is the managing member of the company associated with cayman corporate centre 27 hospital road george town grand cayman ky1 9008?,pedro gonzalez de cosio,3,0,0
129,Who is the authorized officer of the company associated with 1 south clinton avenue floor 7 rochester ny 14604?,elizabeth a jordan,3,0,0
129,Who is the chief financial officer of the company associated with 20 florence avenue batavia new york 14020?,jeffrey glajch,3,0,0
100,Who is the esq of the company associated with 12670 high bluff drive san diego california 92103?,sony ben moshe,3,0,0
100,Who is the vp relationship manager of the company associated with 400 hamilton ave suite110 palo alto ca 94301?,ray aguilar,3,0,0
100,Who is the vice president relationship manager of the company associated with 400 hamilton ave suite110 palo alto ca 94301?,ray aguilar,3,0,0
100,Who is the vice president of the company associated with 590 e middlefield road mountain view ca 94043 4008?,dan johnston,3,0,0
100,Who is the chief legal and administrative officer of the company associated with 590 e middlefield road mountain view ca 94043 4008?,dan johnston,3,0,0
100,Who is the chief financial officer of the company associated with 590 e middlefield road mountain view ca 94043 4008?,peter kuipers,3,0,0
100,Who is the executive vice president of the company associated with 590 e middlefield road mountain view ca 94043 4008?,peter kuipers,3,0,0
114,Who is the chief financial officer of the company associated with moduslink corporation 1601 trapelo road suite 170 waltham massachusetts 02451?,peter feret,3,0,0
128,Who is the chief financial officer of the company associated with 801 5th avenue seattle washington 98104?,frank pelzer,3,0,0
128,Who is the vice president of the company associated with jpmorgan loan services 500 stanton christiana road ncc5 floor 1 newark de 19713?,ryan zimmerman,3,0,0
29,Who is the chief financial officer of the company associated with 1175 john street rochester new york 14586?,efrain rivera,3,0,0
29,Who is the chief financial officer of the company associated with 911 panorama trail south rochester new york 14625?,efrain rivera,3,0,0
15,Who is the ceo of the company associated with 110 east 59th street new york new york 1002?,shawn matthews,3,0,0
39,Who is the vice president of the company associated with 300 fifth avenue 14th floor pittsburgh pennsylvania 15222?,david b thayer,3,0,0
39,Who is the vice president of the company associated with 6750 miller rd mail stop br yb58 01 p brecksville ohio 44141?,david b thayer,3,0,0
39,Who is the senior vice president of the company associated with one bryant park 32nd floor new york ny 10036?,james foley,3,0,0
11,Who is the vice president of the company associated with director?,virginia cosenza,3,0,0
110,Who is the authorized signatory of the company associated with harborside financial center 1800 plaza ten jersey city nj 07311?,donna demagistris,3,0,0
104,Who is the vice president of the company associated with 1615 brett road building 3 new castle de 19720?,michael vondriska,3,0,0
138,Who is the senior vice president of the company associated with 575 market street floor 28 san francisco ca 94105?,nicolas zitelli,3,0,0
138,Who is the senior vice president of the company associated with pnc firstside center 500 first avenue fourth floor pittsburgh pa 15219?,nicolas zitelli,3,0,0
138,Who is the chief financial officer of the company associated with 11620 wilshire boulevard suite 1000 los angeles california 90025?,adeel khan,3,0,0
138,Who is the secretary of the company associated with 11620 wilshire boulevard suite 1000 los angeles california 90025?,adeel khan,3,0,0
139,Who is the executive director of the company associated with 500 stanton christiana road newark de 19713?,bruce s borden,3,0,0
139,Who is the senior vice president of the company associated with 500 stanton christiana road newark de 19713?,jay a brown,3,0,0
139,Who is the chief financial officer of the company associated with 500 stanton christiana road newark de 19713?,jay a brown,3,0,0
139,Who is the treasurer of the company associated with 500 stanton christiana road newark de 19713?,jay a brown,3,0,0
105,Who is the president digital cinema general counsel and secretary of the company associated with 45 west 36th street 7th floor new york ny 10018?,gary s loffredo,3,0,0
105,Who is the director of the company associated with unit 1501 2 15 f sino plaza 255 gloucester road causeway bay hong kong?,xu peixin,3,0,0
111,Who is the managing director of the company associated with mac d1109 019 1525 west wt harris blvd charlotte nc 28262?,william r goley,3,0,0
111,Who is the managing director of the company associated with one wells fargo center 11th floor 301 south college street charlotte north carolina 28202?,william r goley,3,0,0
10,Who is the authorized signatory of the company associated with 200 vesey street new york new york 10281?,alex figueroa,3,0,0
10,Who is the manager agency of the company associated with 200 vesey street new york new york 10281?,susan khokher,3,0,0
10,Who is the chief financial officer of the company associated with 4900 tiedeman road 4th floor brooklyn oh 44144?,terence f sullivan,3,0,0
10,Who is the treasuruer of the company associated with 4900 tiedeman road 4th floor brooklyn oh 44144?,terence f sullivan,3,0,0
10,Who is the authorized signatory of the company associated with royal bank plaza 200 bay street 12th floor south tower toronto ontario m5j 2w7 canada?,alex figueroa,3,0,0
10,Who is the manager agency of the company associated with royal bank plaza 200 bay street 12th floor south tower toronto ontario m5j 2w7 canada?,susan khokher,3,0,0
38,Who is the executive director of the company associated with 383 madison avenue new york new york 10179?,dave katz,3,0,0
38,Who is the executive director of the company associated with 500 stanton christiana road ops 2 3rd floor newark de 19713?,dave katz,3,0,0
12,Who is the senior vice president of the company associated with 108 wilmot road deerfield il 60015?,aidan clare,3,0,0
12,Who is the global treasurer of the company associated with 108 wilmot road deerfield il 60015?,aidan clare,3,0,0
12,Who is the vice president global treasury of the company associated with 108 wilmot road deerfield il 60015?,gráinne kelly,3,0,0
12,Who is the global chief administrative officer of the company associated with 108 wilmot road deerfield il 60015?,marco pagni,3,0,0
12,Who is the executive vice president of the company associated with 108 wilmot road deerfield il 60015?,marco pagni,3,0,0
12,Who is the general counsel of the company associated with 108 wilmot road deerfield il 60015?,marco pagni,3,0,0
12,Who is the senior managerglobal treasury of the company associated with 108 wilmot road deerfield il 60015?,sara la berg,3,0,0
12,Who is the authorized signatory of the company associated with mizuho bank ltd harborside financial ctr 1800 plaza ten jersey city nj 07311?,tracy rahn,3,0,0
107,Who is the director of the company associated with 1301 avenue of the americas new york new york 10019?,ritam bhalla,3,0,0
