document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What company is the Borrower in the agreement?,"EXGEN RENEWABLES IV, LLC",1,0,0
17,What company is the Holding in the agreement?,"EXGEN RENEWABLES IV HOLDING, LLC",1,0,0
17,"What company is the Syndication Agent, in the agreement?","MORGAN STANLEY SENIOR FUNDING, INC.",1,0,0
17,What company is the Arranger in the agreement?,"MORGAN STANLEY SENIOR FUNDING, INC.",1,0,0
17,What company is the Bookrunner in the agreement?,"MORGAN STANLEY SENIOR FUNDING, INC.",1,0,0
17,What company is the Documentation Agent in the agreement?,"MORGAN STANLEY SENIOR FUNDING, INC.",1,0,0
17,What company is the Collateral Agent in the agreement?,"WILMINGTON TRUST, NATIONAL ASSOCIATION",1,0,0
17,What company is the Depositary Bank in the agreement?,"WILMINGTON TRUST, NATIONAL ASSOCIATION",1,0,0
17,What company is the Pledgor in the agreement?,"ExGen Renewables IV, LLC",1,0,0
17,"What company is the Collateralwilmington Trust, National Associationagent in the agreement?","Wilmington Trust, National Association",1,0,0
102,What company is the Borrower in the agreement?,DIGIRAD CORPORATION,1,0,0
102,What company is the Lender in the agreement?,"WELLS FARGO BANK, NATIONAL ASSOCIATION",1,0,0
102,What company is the Arranger in the agreement?,"WELLS FARGO BANK, NATIONAL ASSOCIATION",1,0,0
102,What company is the Book Runner in the agreement?,"WELLS FARGO BANK, NATIONAL ASSOCIATION",1,0,0
102,What company is the Agent in the agreement?,"WELLS FARGO BANK, NATIONAL ASSOCIATION",1,0,0
102,What company is the Runner in the agreement?,"WELLS FARGO BANK, NATIONAL ASSOCIATION",1,0,0
116,What company is the The Company in the agreement?,MORGAN STANLEY DIRECT LENDING FUND,1,0,0
116,What company is the Lender in the agreement?,CIBC BANK USA,1,0,0
116,What company is the Arranger in the agreement?,CIBC BANK USA,1,0,0
116,"What company is the Agent, in the agreement?",CIBC BANK USA,1,0,0
116,What company is the Agent in the agreement?,CIBC BANK USA,1,0,0
116,What company is the Administrative Agent in the agreement?,CIBC BANK USA,1,0,0
117,What company is the Administrative Agent in the agreement?,"JPMORGAN CHASE BANK, N.A.",1,0,0
103,What company is the Lender in the agreement?,BOTTICELLI LLC,1,0,0
103,What company is the Administrative Agent in the agreement?,"Botticelli LLCc%2Fo Angelo, Gordon %26 Co., LP",1,0,0
103,What company is the Borrowers in the agreement?,Claire%C2%92s %28Gibraltar%29 Holdings Limited,1,0,0
103,What company is the Collateral Agent in the agreement?,Cortland Capital Market Services LLC,1,0,0
16,What company is the Term Agent in the agreement?,CRYSTAL FINANCIAL LLC,1,0,0
14,What company is the Administrative Agent in the agreement?,"ANGELO, GORDON ENERGY SERVICER,LLC,",1,0,0
14,What company is the Lender in the agreement?,"AG ENERGY FUNDING, LLC",1,0,0
14,What company is the Borrower in the agreement?,"PACIFIC DRILLING S.A.,",1,0,0
28,What company is the Additional Credit Party in the agreement?,COLLEGIUM SECURITIES CORPORATION,1,0,0
28,What company is the Investment Manager in the agreement?,"Pharmakon Advisors, LP",1,0,0
