document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
15,What is the address of branch office of the company where jared randall is employed?,1285 avenue of the americas new york new york 10019,3,0,0
15,What is the address of branch office of the company where racquel ac small is employed?,1285 avenue of the americas new york new york 10019,3,0,0
138,What is the address of business matters of the company where nicolas zitelli is employed?,575 market street floor 28 san francisco ca 94105,3,0,0
138,What is the address of administrative matters of the company where nicolas zitelli is employed?,pnc firstside center 500 first avenue fourth floor pittsburgh pa 15219,3,0,0
72,What is the address of uk branch of the company where john summers is employed?,25 canada square canary wharf london england e14 5lb,3,0,0
166,What is the address of zonal office of the company where sudip kumar ghatak is employed?,dubai uae,3,0,0
165,What is the address of agency management of the company where bridgett j manduk mowry is employed?,mail code ca5 705 04 09 555 california street 4th floor san francisco ca 94104,3,0,0
165,What is the address of agency management of the company where j casey cosgrove is employed?,mail code ca5 705 04 09 555 california street 4th floor san francisco ca 94104,3,0,0
154,What is the address of middle market servicing of the company where erica cross is employed?,10 south dearborn floor l2 suite il1 1145 chicago il 60603 2300,3,0,0
154,What is the address of commercial banking of the company where erica cross is employed?,4 new york plaza floor 17 new york ny 10004,3,0,0
141,What is the address of agency services of the company where thomas e redmond is employed?,500 first avenue pittsburgh pa 15219,3,0,0
6,What is the address of branch of the company where ying chen is employed?,los angeles,3,0,0
4,What is the address of branch of the company where john toronto is employed?,cayman islands,3,0,0
95,What is the address of global corporate debt products of the company where angela lau is employed?,100 n tryon street mail code nc1 007 17 11 charlotte nc 28255,3,0,0
95,What is the address of agency management of the company where angela lau is employed?,1455 market street mail code ca5 701 05 19 san francisco california 94103 1399,3,0,0
95,What is the address of global corporate debt products of the company where yinghua zhang is employed?,100 n tryon street mail code nc1 007 17 11 charlotte nc 28255,3,0,0
95,What is the address of agency management of the company where yinghua zhang is employed?,1455 market street mail code ca5 701 05 19 san francisco california 94103 1399,3,0,0
157,What is the address of mexico location contract manufacturing of the company where mark w king is employed?,480 s honduras cd juraez mexico,3,0,0
157,What is the address of opto building of the company where mark w king is employed?,725 e walnut st garland tx 75040,3,0,0
157,What is the address of front end test building of the company where mark w king is employed?,903 e walnut st garland tx 75040,3,0,0
157,What is the address of micro building and corporate office of the company where mark w king is employed?,905 e walnut st garland tx 75040,3,0,0
157,What is the address of assembly building of the company where mark w king is employed?,912 e walnut st garland tx 75040,3,0,0
142,What is the address of corporate customers operations of the company where john niedermier is employed?,500 place darmes 26th floor,3,0,0
142,What is the address of corporate customers operations of the company where mark williamson is employed?,500 place darmes 26th floor,3,0,0
91,What is the address of address for notices of the company where ray singleton is employed?,63317th street suite 1900 denver colorado 80202 3619,3,0,0
91,What is the address of address for notices of the company where thomas m foncannon is employed?,bank of oklahoma 1625 broadway suite 1100 denver colorado 80202,3,0,0
91,What is the address of payment processing center of the company where thomas m foncannon is employed?,po box 248817 oklahoma city oklahoma 73124 8817,3,0,0
44,What is the address of trade finance of the company where john m hall is employed?,pa6 580 02 30 1 fleet way scranton pa 18507 attention alfonso malave jr,3,0,0
44,What is the address of trade finance of the company where maria a mcclain is employed?,pa6 580 02 30 1 fleet way scranton pa 18507 attention alfonso malave jr,3,0,0
79,What is the address of global trade operations of the company where cheryl snoor is employed?,one fleet way 2nd floor mail code pa6 580 02 30 scranton pa 18507,3,0,0
123,What is the address of branch of the company where bill odaly is employed?,cayman islands,3,0,0
123,What is the address of branch of the company where kelly heimrich is employed?,cayman islands,3,0,0
123,What is the address of branch of the company where sean hassett is employed?,dublin,3,0,0
123,What is the address of branch of the company where shaun hawley is employed?,dublin,3,0,0
137,What is the address of domestic lending office of the company where alexander l rody is employed?,710 carillon parkway st petersburg fl 33716,3,0,0
137,What is the address of eurodollar lending office of the company where alexander l rody is employed?,710 carillon parkway st petersburg fl 33716,3,0,0
