document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
3,1.0,0.0,1.0000000000000002,5.0,1
5,0.0,0.7666666666666666,0.0,1.0,2
9,0.0,0.8056680161943319,0.0,1.0,2
11,0.0,0.8607954545454546,0.0,1.0,2
22,0.0,0.8309090909090908,0.0,1.0,5
23,0.0,0.7058823529411765,0.0,1.0,2
26,0.0,0.9230769230769231,0.0,1.0,1
32,0.05982905982905983,0.8021289252058482,0.059829059829059845,1.2393162393162394,117
35,0.0,0.7484772015315002,0.0,1.0,13
37,1.0,0.0,1.0000000000000002,5.0,1
38,1.0,0.0,1.0000000000000002,5.0,1
40,0.5,0.40576923076923077,0.5000000000000001,3.0,8
41,0.0,0.8181818181818182,0.0,1.0,3
42,0.0,0.8125,0.0,1.0,1
46,0.0,0.9411764705882353,0.0,1.0,1
47,0.0,0.8646153846153848,0.0,1.0,5
51,0.5,0.4166666666666667,0.5000000000000001,3.0,6
54,0.0,0.7857142857142857,0.0,1.0,1
58,0.0,0.9375,0.0,1.0,1
59,0.0,0.813953488372093,0.0,1.0,3
60,0.008450704225352112,0.5686514708005723,0.004466302346200999,1.028169014084507,71
61,0.0,0.8220779220779221,0.0,1.0,5
65,0.0,0.8571428571428571,0.0,1.0,4
66,0.0,0.8590202590202591,0.0,1.0,13
68,0.0,0.7692307692307693,0.0,1.0,4
72,0.0,0.7333333333333333,0.0,1.0,2
77,0.1818181818181818,0.7442176870748299,0.21166183841257594,2.0,4
83,0.3125,0.768419080919081,0.41701211590953224,2.625,8
84,0.06666666666666667,0.8290598290598291,0.0,1.0,5
86,0.0,0.8571428571428571,0.0,1.0,3
87,0.0,0.7579185520361991,0.0,1.0,2
89,0.0,0.875,0.0,1.0,1
90,0.0,0.9444444444444444,0.0,1.0,2
94,0.36363636363636365,0.5874125874125874,0.3636363636363637,2.4545454545454546,11
96,0.3333333333333333,0.579861111111111,0.3333333333333334,2.3333333333333335,6
99,0.0,0.7333333333333333,0.0,1.0,1
106,0.0,0.8833333333333333,0.0,1.0,2
107,0.2857142857142857,0.6362372448979592,0.28571428571428575,2.142857142857143,14
111,0.0,0.8,0.0,1.0,2
112,0.0,0.8571428571428571,0.0,1.0,1
115,0.0,0.8087719298245615,0.0,1.0,4
121,0.0,0.827177460510128,0.10000000000000002,1.4,10
124,0.5,0.42857142857142855,0.5000000000000001,3.0,2
126,0.0,0.8962536023054755,0.15342553542521659,5.0,1
127,0.0,0.6923076923076923,0.0,1.0,1
128,0.0,0.8461538461538461,0.0,1.0,2
130,0.16666666666666666,0.7094474153297683,0.1666666666666667,1.6666666666666667,6
135,0.06666666666666667,0.7422600619195046,0.06666666666666668,1.2666666666666666,15
137,0.0,0.875,0.0,1.0,3
139,0.0,0.8799999999999999,0.0,1.0,5
140,0.0,0.8157894736842105,0.0,1.0,2
142,0.0,0.7541666666666668,0.0,1.0,3
144,0.0,0.90625,0.0,1.0,2
145,0.0879120879120879,0.83235485975212,0.35565383504144676,2.8,5
147,0.0,0.8812925170068028,0.0,1.0,7
151,0.0,0.7825123152709359,0.0,1.0,8
153,0.0,0.8428571428571429,0.0,1.0,5
155,0.0,0.7307692307692308,0.0,1.0,2
156,0.0,0.7840909090909092,0.0,1.0,2
160,0.0,0.9285714285714286,0.0,1.0,1
162,0.2,0.6674107142857143,0.16804846363812878,1.0,4
165,0.875,0.013513513513513514,1.0,5.0,2
166,0.9333333333333333,0.06296296296296296,0.9333333333333336,4.733333333333333,15
169,0.0,0.8250000000000001,0.0,1.0,6
