document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
3,1.0,0.0,1.0000000000000002,5.0,1
5,0.0,0.7333333333333333,0.0,1.0,2
9,0.0,0.9230769230769231,0.0,1.0,2
11,0.0,0.8,0.0,1.0,2
22,0.8,0.18,0.8000000000000002,3.8,5
23,0.0,0.7058823529411765,0.0,1.0,2
26,0.0,0.9230769230769231,0.0,1.0,1
32,0.26495726495726496,0.6344635421558499,0.264957264957265,2.0598290598290596,117
35,0.0,0.8085624782457361,0.0,1.0,13
37,0.0,0.8333333333333334,0.0,1.0,1
38,0.0,1.0,0.0,1.0,1
40,0.375,0.5057692307692307,0.3750000000000001,2.5,8
41,0.0,0.8181818181818182,0.0,1.0,3
42,0.0,0.8125,0.0,1.0,1
46,0.0,0.7647058823529411,0.0,1.0,1
47,0.6307692307692307,0.36644295302013424,0.6449856897288784,3.6,5
51,0.5,0.4166666666666667,0.5000000000000001,3.0,6
54,0.0,0.7857142857142857,0.0,1.0,1
58,0.0,0.8125,0.0,1.0,1
59,0.14423076923076922,0.5040919952210275,0.20274782464811938,3.6666666666666665,3
60,0.03779342723004695,0.7884709103747471,0.020176410320701377,1.4507042253521127,71
61,0.0,0.888888888888889,0.0,1.0,5
65,0.0,0.8571428571428571,0.0,1.0,4
66,0.169746103569633,0.6990791074949491,0.12284253162322217,2.230769230769231,13
68,0.25,0.576923076923077,0.25000000000000006,2.0,4
72,0.0,0.9090909090909091,0.0,1.0,2
77,0.17857142857142858,0.7279796189632255,0.12883406171213896,2.0,4
83,0.22499999999999998,0.8001336898395722,0.19672165891714266,2.125,8
84,0.0,0.9512820512820512,0.0,1.0,5
86,1.0,0.0,1.0000000000000002,5.0,3
87,0.0,0.7579185520361991,0.0,1.0,2
89,0.0,0.875,0.0,1.0,1
90,0.0,0.9444444444444444,0.0,1.0,2
94,0.36363636363636365,0.5754245754245755,0.3636363636363637,2.4545454545454546,11
96,0.8333333333333334,0.13541666666666666,0.8333333333333335,4.333333333333333,6
99,0.0,0.7333333333333333,0.0,1.0,1
106,0.0,0.6666666666666666,0.0,1.0,2
107,0.5,0.4525637755102041,0.5000000000000001,3.0,14
111,0.5,0.43333333333333335,0.5000000000000001,3.0,2
112,0.0,0.7777777777777778,0.0,1.0,1
115,0.25,0.6114035087719298,0.25000000000000006,2.0,4
121,0.06666666666666667,0.7449629781982724,0.05797386715376658,1.3,10
124,0.5,0.42857142857142855,0.5000000000000001,3.0,2
126,0.0,0.6440677966101694,0.0,2.0,1
127,0.0,0.9,0.0,1.0,1
128,0.0,0.8461538461538461,0.0,1.0,2
130,0.5,0.392156862745098,0.5000000000000001,3.0,6
135,0.2,0.6291666666666667,0.20000000000000007,1.8,15
137,0.0,0.875,0.0,1.0,3
139,0.0,0.8969696969696969,0.0,1.0,5
140,0.0,0.8947368421052632,0.0,1.0,2
142,0.6666666666666666,0.26666666666666666,0.6666666666666669,3.6666666666666665,3
144,0.5,0.4375,0.5000000000000001,3.0,2
145,0.4499999999999999,0.6989010989010989,0.3941837526198544,2.8,5
147,0.7142857142857143,0.24319727891156462,0.7142857142857144,3.857142857142857,7
151,0.5,0.39285714285714285,0.5000000000000001,3.0,8
153,0.13333333333333333,0.8277056277056276,0.11594773430753316,1.6,5
155,0.5,0.4583333333333333,0.5000000000000001,3.0,2
156,0.5,0.39473684210526316,0.5000000000000001,3.0,2
160,0.35294117647058826,0.8375,0.3032160644503863,5.0,1
162,0.2,0.6674107142857143,0.16804846363812878,1.0,4
165,0.8636363636363636,0.17272727272727273,0.8174043985887567,4.5,2
166,0.6,0.33937321937321935,0.6000000000000001,3.4,15
169,0.6666666666666666,0.27499999999999997,0.6666666666666669,3.6666666666666665,6
