document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who is the Chief Financial Officer and President of md office solutions?,jeffry r keyes,2,1,0
117,Who is the Chief Financial Officer and Executive Vice President of columbia sportswear company?,jim a swanson,2,1,0
16,Who is the Chief Executive Officer and President of standard diversified opportunities inc?,ian w estus,2,1,0
28,Who is the Ceo and Managing Member of biopharma credit investments v master lp?,pedro gonzalez de cosio,2,1,0
28,Who is the Ceo and Managing Member of biopharma credit plc?,pedro gonzalez de cosio,2,1,0
28,Who is the Chief Executive Officer and President of collegium pharmaceutical inc?,joseph ciaffoni,2,1,0
129,Who is the Chief Financial Officer and Secretary of ghm acquisition corp?,jeffrey glajch,2,1,0
115,Who is the President and Secretary of alliance trading inc?,melanie housey hart,2,1,0
115,Who is the President and Secretary of cypress inc?,melanie housey hart,2,1,0
115,Who is the Secretary and Treasurer of poolfx supply llc?,melanie housey hart,2,1,0
115,Who is the Assistant Secretary and Chief Accounting Officer of scp international inc?,melanie housey hart,2,1,0
115,Who is the Chief Legal Officer and Secretary of horizon distributors inc?,jennifer m neil,2,1,0
115,Who is the Chief Legal Officer and Vice President of horizon distributors inc?,jennifer m neil,2,1,0
115,Who is the Secretary and Vice President of horizon distributors inc?,jennifer m neil,2,1,0
115,Who is the Chief Legal Officer and Secretary of pool corporation?,jennifer m neil,2,1,0
115,Who is the Chief Legal Officer and Vice President of pool corporation?,jennifer m neil,2,1,0
115,Who is the Secretary and Vice President of pool corporation?,jennifer m neil,2,1,0
115,Who is the Chief Legal Officer and Secretary of pool development llc?,jennifer m neil,2,1,0
115,Who is the Chief Legal Officer and Vice President of pool development llc?,jennifer m neil,2,1,0
115,Who is the Secretary and Vice President of pool development llc?,jennifer m neil,2,1,0
115,Who is the Chief Legal Officer and Secretary of scp distributors llc?,jennifer m neil,2,1,0
115,Who is the Chief Legal Officer and Vice President of scp distributors llc?,jennifer m neil,2,1,0
115,Who is the Secretary and Vice President of scp distributors llc?,jennifer m neil,2,1,0
115,Who is the Chief Legal Officer and Secretary of superior pool products llc?,jennifer m neil,2,1,0
115,Who is the Chief Legal Officer and Vice President of superior pool products llc?,jennifer m neil,2,1,0
115,Who is the Secretary and Vice President of superior pool products llc?,jennifer m neil,2,1,0
100,Who is the Vice President Relationship Manager and Vp Relationship Manager of wells fargo bank national association?,ray aguilar,2,1,0
100,Who is the Chief Legal And Administrative Officer and Vice President of omnicellinc?,dan johnston,2,1,0
100,Who is the Chief Financial Officer and Executive Vice President of omnicellinc?,peter kuipers,2,1,0
128,Who is the Director and Market Manager of bank of the west?,leni preciado,2,1,0
39,Who is the Chief Financeofficer and Treasurer of universalstainlessandalloy productsinc?,rosscwilkin,2,1,0
39,Who is the Chief Financeofficer and Treasurer of dunkirkspecialtysteelllc?,rosscwilkin,2,1,0
39,Who is the Chief Financeofficer and Vicepresidentoffinance of dunkirkspecialtysteelllc?,rosscwilkin,2,1,0
39,Who is the Treasurer and Vicepresidentoffinance of dunkirkspecialtysteelllc?,rosscwilkin,2,1,0
39,Who is the Chief Financeofficer and Treasurer of northjacksonspecialtysteel llc?,rosscwilkin,2,1,0
39,Who is the Chief Financeofficer and Vicepresidentoffinance of northjacksonspecialtysteel llc?,rosscwilkin,2,1,0
39,Who is the Treasurer and Vicepresidentoffinance of northjacksonspecialtysteel llc?,rosscwilkin,2,1,0
11,Who is the Treasurer and Vice President of honeywell international inc?,john j tus,2,1,0
138,Who is the Chief Financial Officer and Secretary of rexford industrial realty lp?,adeel khan,2,1,0
139,Who is the Chief Financial Officer and Senior Vice President of crown castle international corp?,jay a brown,2,1,0
139,Who is the Chief Financial Officer and Treasurer of crown castle international corp?,jay a brown,2,1,0
139,Who is the Senior Vice President and Treasurer of crown castle international corp?,jay a brown,2,1,0
10,Who is the Chief Financial Officer and Treasuruer of victory capital holdingsinc?,terence f sullivan,2,1,0
38,Who is the Finance and Senior Vice President of anadarko petroleum corporation?,albert l richey,2,1,0
38,Who is the Finance and Treasurer of anadarko petroleum corporation?,albert l richey,2,1,0
38,Who is the Senior Vice President and Treasurer of anadarko petroleum corporation?,albert l richey,2,1,0
12,Who is the Global Treasurer and Senior Vice President of walgreens boots alliance inc?,aidan clare,2,1,0
12,Who is the Executive Vice President and General Counsel of walgreens boots alliance inc?,marco pagni,2,1,0
12,Who is the Executive Vice President and Global Chief Administrative Officer of walgreens boots alliance inc?,marco pagni,2,1,0
12,Who is the General Counsel and Global Chief Administrative Officer of walgreens boots alliance inc?,marco pagni,2,1,0
107,Who is the Assistant Treasurer and Vice President of gxs holdings inc?,paul mcfeeters,2,1,0
107,Who is the Assistant Treasurer and Vice President of gxs international inc?,paul mcfeeters,2,1,0
107,Who is the Assistant Treasurer and Vice President of gxs worldwide inc?,paul mcfeeters,2,1,0
107,Who is the Chief Financial Officer and President of open text holdings inc?,paul mcfeeters,2,1,0
107,Who is the Assistant Treasurer and Vice President of gxs inc?,paul mcfeeters,2,1,0
107,Who is the Chief Financial Officer and President of open text canada ltd?,paul mcfeeters,2,1,0
107,Who is the Chief Financial Officer and Treasurer of open text canada ltd?,paul mcfeeters,2,1,0
107,Who is the President and Treasurer of open text canada ltd?,paul mcfeeters,2,1,0
107,Who is the Chief Administrative Officer and Chief Financial Officer of open text corporation?,paul mcfeeters,2,1,0
107,Who is the Chief Executive Officer and Chief Financial Officer of open text inc?,paul mcfeeters,2,1,0
107,Who is the Chief Executive Officer and President of open text inc?,paul mcfeeters,2,1,0
107,Who is the Chief Financial Officer and President of open text inc?,paul mcfeeters,2,1,0
107,Who is the Chief Financial Officer and President of open text ulc?,paul mcfeeters,2,1,0
107,Who is the Chief Financial Officer and President of vignette partnership lp?,paul mcfeeters,2,1,0
107,Who is the Chief Financial Officer and Treasurer of vignette partnership lp?,paul mcfeeters,2,1,0
107,Who is the President and Treasurer of vignette partnership lp?,paul mcfeeters,2,1,0
106,Who is the Director and Vice President of citibank na?,kirkwood roland,2,1,0
106,Who is the Chief Financial Officer and Executive Vice President of dynegy power llc?,clint c freeland,2,1,0
13,Who is the Chief Financial Officer and Executive Vice President of cvr energyinc?,tracy d jackson,2,1,0
60,Who is the Senior Vice President and Treasurer of leidos holdings inc?,marc h crown,2,1,0
48,Who is the Corporate Secretary and Vice President Law And Assistant of enbridge us inc?,chris kaitson,2,1,0
149,Who is the Executive Vice President and Secretary of xcel brands inc?,seth burroughs,2,1,0
61,Who is the Director and Vice President of citibank na?,jim cahow,2,1,0
61,Who is the Treasurer and Vice President Taxand Treasury of citrix systems inc?,brian l shytle,2,1,0
77,Who is the Administrative Officer and Chief Legal of wellcare health plans inc?,blair w todt,2,1,0
77,Who is the Administrative Officer and Secretary of wellcare health plans inc?,blair w todt,2,1,0
77,Who is the Administrative Officer and Senior Vice President of wellcare health plans inc?,blair w todt,2,1,0
77,Who is the Chief Legal and Secretary of wellcare health plans inc?,blair w todt,2,1,0
77,Who is the Chief Legal and Senior Vice President of wellcare health plans inc?,blair w todt,2,1,0
77,Who is the Secretary and Senior Vice President of wellcare health plans inc?,blair w todt,2,1,0
88,Who is the Chief Financial Officer and President of j2 cloud services llc?,r scott turicchi,2,1,0
162,Who is the Chief Compliance Officer and General Counsel of nabors alaska drilling inc?,michael rasmuson,2,1,0
162,Who is the Chief Compliance Officer and Secretary of nabors alaska drilling inc?,michael rasmuson,2,1,0
162,Who is the Chief Compliance Officer and Senior Vice President of nabors alaska drilling inc?,michael rasmuson,2,1,0
162,Who is the General Counsel and Secretary of nabors alaska drilling inc?,michael rasmuson,2,1,0
162,Who is the General Counsel and Senior Vice President of nabors alaska drilling inc?,michael rasmuson,2,1,0
162,Who is the Secretary and Senior Vice President of nabors alaska drilling inc?,michael rasmuson,2,1,0
162,Who is the Chief Compliance Officer and General Counsel of nabors drilling holdings inc?,michael rasmuson,2,1,0
162,Who is the Chief Compliance Officer and Secretary of nabors drilling holdings inc?,michael rasmuson,2,1,0
162,Who is the Chief Compliance Officer and Senior Vice President of nabors drilling holdings inc?,michael rasmuson,2,1,0
162,Who is the General Counsel and Secretary of nabors drilling holdings inc?,michael rasmuson,2,1,0
162,Who is the General Counsel and Senior Vice President of nabors drilling holdings inc?,michael rasmuson,2,1,0
162,Who is the Secretary and Senior Vice President of nabors drilling holdings inc?,michael rasmuson,2,1,0
162,Who is the Chief Compliance Officer and General Counsel of nabors drilling technologies usa?,michael rasmuson,2,1,0
162,Who is the Chief Compliance Officer and Secretary of nabors drilling technologies usa?,michael rasmuson,2,1,0
162,Who is the Chief Compliance Officer and Senior Vice President of nabors drilling technologies usa?,michael rasmuson,2,1,0
162,Who is the General Counsel and Secretary of nabors drilling technologies usa?,michael rasmuson,2,1,0
162,Who is the General Counsel and Senior Vice President of nabors drilling technologies usa?,michael rasmuson,2,1,0
162,Who is the Secretary and Senior Vice President of nabors drilling technologies usa?,michael rasmuson,2,1,0
162,Who is the Chief Compliance Officer and General Counsel of nabors industries inc?,michael rasmuson,2,1,0
162,Who is the Chief Compliance Officer and Secretary of nabors industries inc?,michael rasmuson,2,1,0
162,Who is the Chief Compliance Officer and Senior Vice President of nabors industries inc?,michael rasmuson,2,1,0
162,Who is the General Counsel and Secretary of nabors industries inc?,michael rasmuson,2,1,0
162,Who is the General Counsel and Senior Vice President of nabors industries inc?,michael rasmuson,2,1,0
162,Who is the Secretary and Senior Vice President of nabors industries inc?,michael rasmuson,2,1,0
89,Who is the General Counsel and Svp of agiliti healthinc?,lee neumann,2,1,0
89,Who is the General Counsel and Vp Finance of agiliti healthinc?,lee neumann,2,1,0
89,Who is the Svp and Vp Finance of agiliti healthinc?,lee neumann,2,1,0
62,Who is the Chief Financial Officer and Senior Vice President of michigan electric transmission company llc?,gretchen l holloway,2,1,0
76,Who is the Chieffinancial Officer and Executive Vice President of microsemi corporation?,john w hohener,2,1,0
76,Who is the Chieffinancial Officer and Secretary of microsemi corporation?,john w hohener,2,1,0
76,Who is the Chieffinancial Officer and Treasurer of microsemi corporation?,john w hohener,2,1,0
76,Who is the Executive Vice President and Secretary of microsemi corporation?,john w hohener,2,1,0
76,Who is the Executive Vice President and Treasurer of microsemi corporation?,john w hohener,2,1,0
76,Who is the Secretary and Treasurer of microsemi corporation?,john w hohener,2,1,0
72,Who is the Treasurer and Vice President of stanley blackand decker inc?,craig a douglas,2,1,0
66,Who is the Cfo and Treasurer of icu medical inc?,brian m bonnell,2,1,0
167,Who is the Secretary and Treasurer of powell electrical systems inc?,don r madison,2,1,0
167,Who is the Secretary and Vice President of powell electrical systems inc?,don r madison,2,1,0
167,Who is the Treasurer and Vice President of powell electrical systems inc?,don r madison,2,1,0
167,Who is the Secretary and Treasurer of powell industries inc?,don r madison,2,1,0
167,Who is the Secretary and Vice President of powell industries inc?,don r madison,2,1,0
167,Who is the Treasurer and Vice President of powell industries inc?,don r madison,2,1,0
167,Who is the Secretary and Treasurer of powell industries international inc?,don r madison,2,1,0
167,Who is the Secretary and Vice President of powell industries international inc?,don r madison,2,1,0
167,Who is the Treasurer and Vice President of powell industries international inc?,don r madison,2,1,0
167,Who is the Secretary and Treasurer of transdyn inc?,don r madison,2,1,0
167,Who is the Secretary and Vice President of transdyn inc?,don r madison,2,1,0
167,Who is the Treasurer and Vice President of transdyn inc?,don r madison,2,1,0
67,Who is the Ceo and Managing Member of biopharmacreditinvestmentsvmasterlp?,pedro gonzalez de cosio,2,1,0
9,Who is the Chief Financial Officer and Treasurer of haverhill cogeneration company llc?,mark e newman,2,1,0
9,Who is the Chief Financial Officer and Treasurer of haverhill coke company llc?,mark e newman,2,1,0
9,Who is the Chief Financial Officer and Treasurer of middletown coke company llc?,mark e newman,2,1,0
9,Who is the Chief Financial Officer and Senior Vice President of suncoke energy partners lp?,mark e newman,2,1,0
71,Who is the Chief Financial Officer and Senior Executive Vice President of total system services inc?,paul m todd,2,1,0
170,Who is the Treasurer and Vice President of starbucks corporation?,richard lautch,2,1,0
165,Who is the Corporate Secretary and General Counsel of conagra brands inc?,colleen batcheler,2,1,0
165,Who is the Investor Relations Officer and Treasurer of conagra brands inc?,johan nystedt,2,1,0
165,Who is the Investor Relations Officer and Vice President of conagra brands inc?,johan nystedt,2,1,0
165,Who is the Treasurer and Vice President of conagra brands inc?,johan nystedt,2,1,0
58,Who is the Chief Executive Officer and President of coherus biosciences inc?,dennis m lanfear,2,1,0
58,Who is the Chief Executive Officer and President of coherus intermediate corp?,dennis m lanfear,2,1,0
41,Who is the General Counsel and Senior Vice President of trc companies inc?,martin h dodd,2,1,0
7,Who is the Ceo and President of samson oil and gas usa inc?,terry barr,2,1,0
7,Who is the Ceo and Treasurer of samson oil and gas usa inc?,terry barr,2,1,0
7,Who is the President and Treasurer of samson oil and gas usa inc?,terry barr,2,1,0
55,Who is the Chief and Executive Vice President of hovnanian enterprises inc?,j larry sorsby,2,1,0
69,Who is the Chief Executive Officer and Manager of mvp merger sub llc?,michael shustek,2,1,0
82,Who is the Secretary and Vice President of perkinelmer health sciences inc?,john l healy,2,1,0
82,Who is the Treasurer and Vice President of perkinelmer inc?,david c francisco,2,1,0
168,Who is the Treasurer and Vice President of stanley blackand decker inc?,robert t paternostro,2,1,0
169,Who is the Chief Accounting Officer and Controller of chiquita brands international inc?,joseph b johnson,2,1,0
169,Who is the Chief Accounting Officer and Treasurer of chiquita brands international inc?,joseph b johnson,2,1,0
169,Who is the Chief Accounting Officer and Vice President of chiquita brands international inc?,joseph b johnson,2,1,0
169,Who is the Controller and Treasurer of chiquita brands international inc?,joseph b johnson,2,1,0
169,Who is the Controller and Vice President of chiquita brands international inc?,joseph b johnson,2,1,0
169,Who is the Treasurer and Vice President of chiquita brands international inc?,joseph b johnson,2,1,0
97,Who is the Authorized Signatory and Vice President of general electric capital corporation?,dague retzlaff,2,1,0
83,Who is the General Counsel and Secretary of western digital technologies inc?,michael ray,2,1,0
83,Who is the General Counsel and Senior Vice President of western digital technologies inc?,michael ray,2,1,0
