question,answer
What pathogen causes shigellosis?,shigella
What pathogen causes peliosis nhepatis?,bartonella
What pathogen causes retinitis?,bartonella
What pathogen causes trench fever?,bartonella
What pathogen causes endocarditis?,bartonella
What pathogen causes salmonellosis?,salmonella
What pathogen causes campylobacteriosis?,campylobacter
What pathogen causes cat scratch disease?,bartonella
What pathogen causes osteomyelitis?,bartonella
What pathogen causes bacillary angiomatosis?,bartonella
