document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
17,"what is the location of exgen renewables holdings, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,Not found,0.0,0.8823529411764706,0.0,1
17,"what is the location of exgen renewables iv, llc","md 21231, 1310 point street, 12th floorbaltimore",1,0,0,"10 South Dearborn Street, 49 th Floor Chicago, IL 60603",0.11764705882352941,0.6226415094339622,0.06437099366532754,1
17,"what is the location of exgen renewables iv holding, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,Not found,0.0,0.8823529411764706,0.0,1
17,"what is the location of exelon generation company, llc","dc 20068, 701 ninth street nw, 9th floorwashington",1,0,0,Not found,0.0,0.875,0.0,1
17,"what is the location of morgan stanley senior funding, inc.","md 21231, 1300 thames street, 4th floorthames street wharfbaltimore",1,0,0,"1300 Thames Street, 4th Floor Thames Street Wharf Baltimore, MD 21231",0.7058823529411765,0.29850746268656714,0.6563149885851901,5
17,what is the location of simpson thacher bartlett llp,"new york, 425 lexington avenue",1,0,0,Not found,0.0,0.8275862068965517,0.0,1
17,"what is the location of wilmington trust, national association",1100 north market streetwilmington delaware 19890,1,0,0,Not found,0.0,0.8775510204081632,0.0,1
17,which company is associated with 1100 north market streetwilmington delaware 19890,"wilmington trust, national association",1,0,0,Not found,0.0,0.8648648648648649,0.0,1
17,"which company is associated with 1300 thames street, 4th floorthames street wharfbaltimore, md 21231","inc., morgan stanley senior funding",1,0,0,Not found,0.0,0.7575757575757576,0.0,1
17,"which company is associated with 1310 point street, 12th floorbaltimore, md 21231","llc, exgen renewables iv",1,0,0,Not found,0.0,0.9130434782608695,0.0,1
17,"which company is associated with 425 lexington avenue, new york, new york 10017",simpson thacher bartlett llp,1,0,0,Not found,0.0,0.8928571428571429,0.0,1
17,"which company is associated with 701 ninth street nw, 9th floorwashington, dc 20068","llc, exelon generation company",1,0,0,Not found,0.0,0.8275862068965517,0.0,1
17,"what type of location is 10 south dearborn street, 49th floorchicago, il 60603",chief executive office,1,0,0,Not found,0.0,0.8636363636363636,0.0,1
17,"what is the role of exgen renewables iv, llc in the agreement",borrower,1,0,0,Grantor,0.0,0.75,0.0,1
17,"what is the role of constellation dco albany power holdings, llc in the agreement",grantor,1,0,0,"owns not less than 50% of the Equity Interests in Constellation DCO Albany Power Holdings, LLC, a limited liability company organized under the laws of Delaware",0.0,0.9554140127388535,0.0,1
17,"what is the role of exgen renewables iv holding, llc in the agreement",holding,1,0,0,Holding,1.0,0.0,1.0,5
17,"what is the role of exelon avsr holding, llc in the agreement",grantor,1,0,0,"Exelon AVSR Holding, LLC consents to the grant by the Grantor of a security interest in all of the Pledged Equity Interests constituting Collateral to the Collateral Agent and the terms of such grant set forth in the Pledge and Security Agreement, dated as of November 28, 2017, between ExGen Renewables IV, LLC, as Grantor and Wilmington Trust, National Association, as Collateral Agent.",0.046511627906976744,0.9815303430079155,0.12291844526862808,3
