document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
29,"What role do both PNC BANK, NATIONAL ASSOCIATION and PNC Bank, National Association have in the agreement?",Agent,1,1,0
138,"What role do both PNC BANK, NATIONAL ASSOCIATION and U.S. BANK, NATIONAL ASSOCIATION have in the agreement?",Agent,1,1,0
111,What role do both NATIONAL AUSTRALIA BANK LIMITED and SUNTRUST BANK have in the agreement?,Lender,1,1,0
111,"What role do both NATIONAL AUSTRALIA BANK LIMITED and WELLS FARGO BANK, NATIONAL ASSOCIATION have in the agreement?",Lender,1,1,0
107,"What role do both Barclays Bank PLC and J.P. Morgan Securities, Inc. have in the agreement?",agent,1,1,0
107,What role do both Barclays Bank PLC and BARCLAYS BANK PLC have in the agreement?,Agent,1,1,0
107,"What role do both EASYLINK SERVICES INTERNATIONAL CORPORATION and OCELOT MERGER SUB, INC. have in the agreement?",Grantor,1,1,0
107,"What role do both EASYLINK SERVICES INTERNATIONAL CORPORATION and GXS Worldwide, Inc. have in the agreement?",Guarantor,1,1,0
107,"What role do both EASYLINK SERVICES USA, INC. and OCELOT MERGER SUB, INC. have in the agreement?",Grantor,1,1,0
107,"What role do both EASYLINK SERVICES USA, INC. and GXS Worldwide, Inc. have in the agreement?",Guarantor,1,1,0
107,"What role do both Global Markets Inc. and J.P. Morgan Securities, Inc. have in the agreement?",agent,1,1,0
107,"What role do both J.P. Morgan Securities, Inc. and Wells Fargo Foothill, Inc have in the agreement?",agent,1,1,0
107,"What role do both J.P. Morgan Securities, Inc. and Wilmington Trust FSB have in the agreement?",agent,1,1,0
107,"What role do both OCELOT MERGER SUB, INC. and OPEN TEXT CORPORATION have in the agreement?",Grantor,1,1,0
107,"What role do both OCELOT MERGER SUB, INC. and OPEN TEXT HOLDINGS, INC. have in the agreement?",Grantor,1,1,0
107,"What role do both OCELOT MERGER SUB, INC. and OPEN TEXT INC. have in the agreement?",Grantor,1,1,0
107,"What role do both OCELOT MERGER SUB, INC. and OPEN TEXT USA INC. have in the agreement?",Grantor,1,1,0
107,"What role do both OCELOT MERGER SUB, INC. and XPEDITE SYSTEMS, LLC have in the agreement?",Grantor,1,1,0
107,"What role do both OCELOT MERGER SUB, INC. and OPEN TEXT ULC have in the agreement?",Grantor,1,1,0
107,"What role do both OPEN TEXT CORPORATION and GXS Worldwide, Inc. have in the agreement?",Guarantor,1,1,0
107,"What role do both OPEN TEXT HOLDINGS, INC. and GXS Worldwide, Inc. have in the agreement?",Guarantor,1,1,0
107,"What role do both OPEN TEXT INC. and GXS Worldwide, Inc. have in the agreement?",Guarantor,1,1,0
107,"What role do both OPEN TEXT USA INC. and GXS Worldwide, Inc. have in the agreement?",Guarantor,1,1,0
107,"What role do both XPEDITE SYSTEMS, LLC and GXS Worldwide, Inc. have in the agreement?",Guarantor,1,1,0
107,"What role do both GXS Worldwide, Inc. and OPEN TEXT ULC have in the agreement?",Guarantor,1,1,0
106,"What role do both CITIGROUP GLOBAL MARKETS, INC. and UBS SECURITIES LLC have in the agreement?",Bookrunners,1,1,0
106,What role do both GOLDMAN SACHS BANK USA and ROYAL BANK OF CANADA have in the agreement?,Lender,1,1,0
106,What role do both Royal Bank of Canada and ROYAL BANK OF CANADA have in the agreement?,Agent,1,1,0
60,"What role do both PNC Capital Markets LLC and Mizuho Bank, Ltd. have in the agreement?",bookrunner,1,1,0
