document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
38,What roles do both mizuho bank ltd and the bank of tokyo mitsubishi ufj ltd have in the agreement?,"arranger, bookrunners, co documentation agents, lender",1,1,1
106,What roles do both citigroup global marketsinc and deutsche bank securities inc have in the agreement?,"arranger, bookrunner, bookrunners",1,1,1
106,What roles do both citigroup global marketsinc and rbc capital markets have in the agreement?,"arranger, bookrunner, bookrunners",1,1,1
106,What roles do both citigroup global marketsinc and barclays bank plc have in the agreement?,"arranger, bookrunner, bookrunners",1,1,1
106,What roles do both citigroup global marketsinc and goldman sachs bank usa have in the agreement?,"arranger, bookrunner, bookrunners",1,1,1
106,What roles do both deutsche bank securities inc and rbc capital markets have in the agreement?,"arranger, arrangers, bookrunner, bookrunners",1,1,1
106,What roles do both deutsche bank securities inc and barclays bank plc have in the agreement?,"arranger, arrangers, bookrunner, bookrunners",1,1,1
106,What roles do both deutsche bank securities inc and goldman sachs bank usa have in the agreement?,"arranger, arrangers, bookrunner, bookrunners",1,1,1
106,What roles do both rbc capital markets and barclays bank plc have in the agreement?,"arranger, arrangers, bookrunner, bookrunners",1,1,1
106,What roles do both rbc capital markets and goldman sachs bank usa have in the agreement?,"arranger, arrangers, bookrunner, bookrunners",1,1,1
106,What roles do both barclays bank plc and goldman sachs bank usa have in the agreement?,"arranger, arrangers, bookrunner, bookrunners, lender",1,1,1
60,What roles do both bank of montreal and capital one national association have in the agreement?,"agents, arrangers, bookrunners",1,1,1
60,What roles do both bank of montreal and jpmorgan chase bank na have in the agreement?,"agents, arrangers, bookrunners",1,1,1
60,What roles do both bank of montreal and the bank of nova scotia have in the agreement?,"agents, arrangers, bookrunners",1,1,1
60,What roles do both bank of montreal and us bank national association have in the agreement?,"agents, arrangers, bookrunners",1,1,1
60,What roles do both capital one national association and jpmorgan chase bank na have in the agreement?,"agents, arrangers, bookrunners",1,1,1
60,What roles do both capital one national association and the bank of nova scotia have in the agreement?,"agents, arrangers, bookrunners",1,1,1
60,What roles do both capital one national association and us bank national association have in the agreement?,"agents, arrangers, bookrunners",1,1,1
60,What roles do both jpmorgan chase bank na and the bank of nova scotia have in the agreement?,"agents, arrangers, bookrunners",1,1,1
60,What roles do both jpmorgan chase bank na and us bank national association have in the agreement?,"agents, arrangers, bookrunners",1,1,1
60,What roles do both the bank of nova scotia and us bank national association have in the agreement?,"agents, arrangers, bookrunners",1,1,1
160,What roles do both barclays bank plc and jpmorgan chase bank na have in the agreement?,"issuing bank, joint bookrunners, joint lead arrangers",1,1,1
66,What roles do both bank of the west and bnp paribas securities corp have in the agreement?,"agents, arrangers, bookrunners",1,1,1
66,What roles do both bank of the west and bofa securities inc have in the agreement?,"agents, arrangers, bookrunners",1,1,1
66,What roles do both bank of the west and citigroup global markets inc have in the agreement?,"agents, arrangers, bookrunners",1,1,1
66,What roles do both bank of the west and barclays bank plc have in the agreement?,"agents, arrangers, bookrunners",1,1,1
66,What roles do both bank of the west and mufg bank ltd have in the agreement?,"agents, arrangers, bookrunners",1,1,1
66,What roles do both bank of the west and us bank national association have in the agreement?,"agents, arrangers, bookrunners",1,1,1
66,What roles do both bnp paribas securities corp and bofa securities inc have in the agreement?,"agents, arrangers, bookrunners",1,1,1
66,What roles do both bnp paribas securities corp and citigroup global markets inc have in the agreement?,"agents, arrangers, bookrunners",1,1,1
66,What roles do both bnp paribas securities corp and barclays bank plc have in the agreement?,"agents, arrangers, bookrunners",1,1,1
66,What roles do both bnp paribas securities corp and mufg bank ltd have in the agreement?,"agents, arrangers, bookrunners",1,1,1
66,What roles do both bnp paribas securities corp and us bank national association have in the agreement?,"agents, arrangers, bookrunners",1,1,1
66,What roles do both bofa securities inc and citigroup global markets inc have in the agreement?,"agents, arrangers, bookrunners",1,1,1
66,What roles do both bofa securities inc and barclays bank plc have in the agreement?,"agents, arrangers, bookrunners",1,1,1
