document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,what company is the grantor and borrower but not the bookrunner in the agreement,exgen renewables iv llc,1,3,0
17,what company is the grantor and borrower but not the lead arranger in the agreement,exgen renewables iv llc,1,3,0
17,what company is the grantor and borrower but not the collateral agent in the agreement,exgen renewables iv llc,1,3,0
17,what company is the grantor and borrower but not the depositary bank in the agreement,exgen renewables iv llc,1,3,0
17,what company is the bookrunner and lead arranger but not the collateral agent in the agreement,morgan stanley senior funding inc,1,3,0
17,what company is the bookrunner and lead arranger but not the depositary bank in the agreement,morgan stanley senior funding inc,1,3,0
102,what company is the borrowers and administrative borrower but not the administrative agent in the agreement,digirad corporation,1,3,0
102,what company is the borrowers and administrative borrower but not the agent in the agreement,digirad corporation,1,3,0
102,what company is the borrowers and administrative borrower but not the arranger in the agreement,digirad corporation,1,3,0
102,what company is the borrowers and administrative borrower but not the book runner in the agreement,digirad corporation,1,3,0
102,what company is the borrowers and administrative borrower but not the lender in the agreement,digirad corporation,1,3,0
102,what company is the borrowers and administrative borrower but not the runner in the agreement,digirad corporation,1,3,0
102,what company is the borrowers and administrative borrower but not the sole book runner in the agreement,digirad corporation,1,3,0
102,who is the chief financial officer of the company which is both the borrowers and the administrative borrower in the agreement,jeffry r keyes,3,1,0
102,who is the president of the company which is both the borrowers and the administrative borrower in the agreement,jeffry r keyes,3,1,0
102,who is both the chief financial officer and president of the company which is the borrowers in the agreement,jeffry r keyes,3,1,0
102,who is both the chief financial officer and president of the company associated with 1048 industrial court suite e suwanee ga 30024,jeffry r keyes,3,1,0
116,what company is the administrative agent and arranger but not the the company in the agreement,cibc bank usa,1,3,0
116,what company is the administrative agent and issuing lender but not the the company in the agreement,cibc bank usa,1,3,0
116,what company is the arranger and issuing lender but not the the company in the agreement,cibc bank usa,1,3,0
116,"who are the cfo, chief financial officer, and coo of the company which is the the company in the agreement","venu rathi, orit mizrachi, venugopal rathi",3,0,1
117,what company is the bookrunner and joint bookrunner but not the arranger in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner and joint bookrunner but not the lender in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner and joint bookrunner but not the syndication agent in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner and joint bookrunner but not the administrative agent in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner and joint bookrunner but not the issuing lender in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner and joint bookrunner but not the swing line lender in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner and joint bookrunner but not the agent in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner and joint bookrunner but not the borrower in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner and arranger but not the lender in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the bookrunner and arranger but not the syndication agent in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the bookrunner and arranger but not the agent in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the bookrunner and arranger but not the borrower in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the bookrunner and administrative agent but not the agent in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the bookrunner and administrative agent but not the borrower in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the bookrunner and issuing lender but not the agent in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the bookrunner and issuing lender but not the borrower in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the bookrunner and swing line lender but not the agent in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the bookrunner and swing line lender but not the borrower in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the arranger and administrative agent but not the agent in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the arranger and administrative agent but not the borrower in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the arranger and issuing lender but not the agent in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the arranger and issuing lender but not the borrower in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the arranger and swing line lender but not the agent in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the arranger and swing line lender but not the borrower in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the lender and syndication agent but not the administrative agent in the agreement,bank of america na,1,3,0
117,what company is the lender and syndication agent but not the issuing lender in the agreement,bank of america na,1,3,0
117,what company is the lender and syndication agent but not the swing line lender in the agreement,bank of america na,1,3,0
117,what company is the lender and syndication agent but not the agent in the agreement,bank of america na,1,3,0
117,what company is the lender and syndication agent but not the borrower in the agreement,bank of america na,1,3,0
117,what company is the lender and agent but not the borrower in the agreement,wells fargo bank national association,1,3,0
117,what company is the administrative agent and issuing lender but not the agent in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the administrative agent and issuing lender but not the borrower in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the administrative agent and swing line lender but not the agent in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the administrative agent and swing line lender but not the borrower in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the issuing lender and swing line lender but not the agent in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the issuing lender and swing line lender but not the borrower in the agreement,jpmorgan chase bank na,1,3,0
117,what company is the bookrunner but not the arranger or syndication agent in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the arranger or lender in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the arranger or administrative agent in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the arranger or issuing lender in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the arranger or swing line lender in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the arranger or agent in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the arranger or borrower in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the syndication agent or administrative agent in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the syndication agent or issuing lender in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the syndication agent or swing line lender in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the lender or administrative agent in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the lender or issuing lender in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the lender or swing line lender in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the administrative agent or issuing lender in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the administrative agent or swing line lender in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the administrative agent or agent in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the administrative agent or borrower in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the issuing lender or swing line lender in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the issuing lender or agent in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the issuing lender or borrower in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the swing line lender or agent in the agreement,bofa securities inc,1,3,0
117,what company is the bookrunner but not the swing line lender or borrower in the agreement,bofa securities inc,1,3,0
117,what company is the arranger but not the syndication agent or administrative agent in the agreement,wells fargo securities llc,1,3,0
