document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
138,What types of location is 575 market street floor 28 san francisco ca 94105?,"administrative agents office, business matters",1,0,1
138,What types of location is pnc firstside center 500 first avenue fourth floor pittsburgh pa 15219?,"administrative agents office, administrative matters",1,0,1
137,What types of location is 101 n tryon street charlotte nc 28255?,"domestic lending office, eurodollar lending office",1,0,1
137,What types of location is 1200 abernathy rd suite 1550 atlanta ga 30328?,"domestic lending office, eurodollar lending office",1,0,1
137,What types of location is 1420 5th avenue pd wa t9in seattle wa 98101?,"domestic lending office, eurodollar lending office",1,0,1
137,What types of location is 1900 5th avenue north 15th flr birmingham al 35203?,"domestic lending office, eurodollar lending office",1,0,1
137,What types of location is 200 west second street 16th floor winston salem nc 27101?,"domestic lending office, eurodollar lending office",1,0,1
137,What types of location is 500 first ave mailstop p7 pfsc 04 v pittsburgh pa 15219?,"domestic lending office, eurodollar lending office",1,0,1
137,What types of location is 710 carillon parkway st petersburg fl 33716?,"domestic lending office, eurodollar lending office",1,0,1
137,What types of location is global loans administration 20 king st west 4th floor toronto ontario canada m5h 1c4?,"domestic lending office, eurodollar lending office",1,0,1
137,What types of location is hanover street capital llc 48 wall street 14th floor new york ny 10005?,"domestic lending office, eurodollar lending office",1,0,1
