question,answer
What vectors transmit a pathogen which causes cdi?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes trench fever?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacillary angiomatosis?,"body louse,cat flea"
What vectors transmit a pathogen which causes osteomyelitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes endocarditis?,"body louse,cat flea"
What vectors transmit a pathogen which causes retinitis?,"body louse,cat flea"
What vectors transmit a pathogen which causes diarrheal disease?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes peliosis nhepatis?,"body louse,cat flea"
What vectors transmit a pathogen which causes shigellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes cat scratch disease?,"body louse,cat flea"
What vectors transmit a pathogen which causes bacteremia?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes salmonellosis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes gastroenteritis?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes campylobacteriosis?,"contaminated food or water,fecal-oral exposure"
