document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
111,"What role does NATIONAL AUSTRALIA BANK LIMITED have in the agreement which is not the role of SUNTRUST ROBINSON HUMPHREY, INC.?",Lender,2,1,0
111,"What role does NATIONAL AUSTRALIA BANK LIMITED have in the agreement which is not the role of WELLS FARGO SECURITIES, LLC?",Lender,2,1,0
107,"What role does EASYLINK SERVICES INTERNATIONAL CORPORATION have in the agreement which is not the role of OCELOT MERGER SUB, INC.?",Guarantor,2,1,0
107,"What role does EASYLINK SERVICES INTERNATIONAL CORPORATION have in the agreement which is not the role of GXS Worldwide, Inc.?",Grantor,2,1,0
107,"What role does EASYLINK SERVICES USA, INC. have in the agreement which is not the role of OCELOT MERGER SUB, INC.?",Guarantor,2,1,0
107,"What role does EASYLINK SERVICES USA, INC. have in the agreement which is not the role of GXS Worldwide, Inc.?",Grantor,2,1,0
107,"What role does OCELOT MERGER SUB, INC. have in the agreement which is not the role of OPEN TEXT CORPORATION?",Borrower,2,1,0
107,"What role does OCELOT MERGER SUB, INC. have in the agreement which is not the role of OPEN TEXT HOLDINGS, INC.?",Borrower,2,1,0
107,"What role does OCELOT MERGER SUB, INC. have in the agreement which is not the role of OPEN TEXT INC.?",Borrower,2,1,0
107,"What role does OCELOT MERGER SUB, INC. have in the agreement which is not the role of OPEN TEXT USA INC.?",Borrower,2,1,0
107,"What role does OCELOT MERGER SUB, INC. have in the agreement which is not the role of XPEDITE SYSTEMS, LLC?",Borrower,2,1,0
107,"What role does OCELOT MERGER SUB, INC. have in the agreement which is not the role of OPEN TEXT ULC?",Borrower,2,1,0
107,"What role does OPEN TEXT CORPORATION have in the agreement which is not the role of GXS Worldwide, Inc.?",Grantor,2,1,0
107,"What role does OPEN TEXT HOLDINGS, INC. have in the agreement which is not the role of GXS Worldwide, Inc.?",Grantor,2,1,0
107,"What role does OPEN TEXT INC. have in the agreement which is not the role of GXS Worldwide, Inc.?",Grantor,2,1,0
107,"What role does OPEN TEXT USA INC. have in the agreement which is not the role of GXS Worldwide, Inc.?",Grantor,2,1,0
107,"What role does XPEDITE SYSTEMS, LLC have in the agreement which is not the role of GXS Worldwide, Inc.?",Grantor,2,1,0
107,"What role does GXS Worldwide, Inc. have in the agreement which is not the role of OPEN TEXT ULC?",guarantors,2,1,0
106,What role does BARCLAYS BANK PLC have in the agreement which is not the role of DEUTSCHE BANK SECURITIES INC.?,Lender,2,1,0
106,What role does BARCLAYS BANK PLC have in the agreement which is not the role of RBC CAPITAL MARKETS?,Lender,2,1,0
106,"What role does CITIGROUP GLOBAL MARKETS, INC. have in the agreement which is not the role of UBS SECURITIES LLC,?",Bookrunners,2,1,0
106,What role does GOLDMAN SACHS BANK USA have in the agreement which is not the role of RBC CAPITAL MARKETS?,Lender,2,1,0
106,What role does Royal Bank of Canada have in the agreement which is not the role of ROYAL BANK OF CANADA?,Trustee,2,1,0
60,"What role does Bank of Montreal have in the agreement which is not the role of BofA Securities, Inc.?",agents,2,1,0
