document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who is both the chief financial officer and president of the company associated with 1048 industrial court suite e suwanee ga 30024?,jeffry r keyes,3,1,0
117,Who is both the chief financial officer and executive vice president of the company associated with 14375 nw science park drive portland or 97229?,jim a swanson,3,1,0
16,Who is both the senior managing directo and senior managing director of the company associated with two international place 17th floor boston ma 02110?,christopher a arnold,3,1,0
28,Who is both the ceo and managing member of the company associated with cayman corporate centre 27 hospital road george town grand cayman ky1 9008?,pedro gonzalez de cosio,3,1,0
28,Who is both the ceo and managing member of the company associated with 51 new north road exeter ex4 4ep united kingdom?,pedro gonzalez de cosio,3,1,0
28,Who is both the chief executive officer and president of the company associated with 100 technology center drive suite 300 stoughton ma 02072?,joseph ciaffoni,3,1,0
129,Who is both the chief financial officer and secretary of the company associated with 20 florence avenue batavia new york 14020?,jeffrey glajch,3,1,0
100,Who is both the vice president relationship manager and vp relationship manager of the company associated with 400 hamilton ave suite110 palo alto ca 94301?,ray aguilar,3,1,0
100,Who is both the chief legal and administrative officer and vice president of the company associated with 590 e middlefield road mountain view ca 94043 4008?,dan johnston,3,1,0
100,Who is both the chief financial officer and executive vice president of the company associated with 590 e middlefield road mountain view ca 94043 4008?,peter kuipers,3,1,0
138,Who is both the chief financial officer and secretary of the company associated with 11620 wilshire boulevard suite 1000 los angeles california 90025?,adeel khan,3,1,0
10,Who is both the chief financial officer and treasuruer of the company associated with 4900 tiedeman road 4th floor brooklyn oh 44144?,terence f sullivan,3,1,0
12,Who is both the global treasurer and senior vice president of the company associated with 108 wilmot road deerfield il 60015?,aidan clare,3,1,0
106,Who is both the chief financial officer and executive vice president of the company associated with 601 travis street 14thfloor houston texas 77002 5050?,clint c freeland,3,1,0
49,Who is both the chief executive and chief executive officer of the company associated with 1231 s gerhart avenue commerce ca 90022?,michael buckley,3,1,0
88,Who is both the chief financial officer and president of the company associated with 6922 hollywood blvd suite 500 los angeles ca 90028?,r scott turicchi,3,1,0
62,Who is both the chief financial officer and senior vice president of the company associated with 27175 energy way novi mi 48377?,gretchen l holloway,3,1,0
72,Who is both the treasurer and vice president of the company associated with 1000 stanley drive new britain connecticut 06053?,craig a douglas,3,1,0
66,Who is both the cfo and treasurer of the company associated with 951 calle amanecer san clemente california 92673?,brian m bonnell,3,1,0
67,Who is both the ceo and managing member of the company associated with 51 new north road?,pedro gonzalez de cosio,3,1,0
165,Who is both the corporate secretary and general counsel of the company associated with 222 merchandise mart plaza suite 1300 chicago il 60654?,colleen batcheler,3,1,0
55,Who is both the chief and executive vice president of the company associated with 110 west front street po box 500 red bank new jersey 07701?,j larry sorsby,3,1,0
69,Who is both the chief executive officer and manager of the company associated with 8880 w sunset road suite 300 las vegas nv 89148?,michael shustek,3,1,0
69,Who is both the chief executive officer and manager of the company associated with 8880 w sunset road suite 210 las vegas nv 89148?,michael shustek,3,1,0
69,Who is both the chief executive officer and manager of the company associated with 8880 w sunset road suite 360 las vegas nv 89148?,michael shustek,3,1,0
82,Who is both the treasurer and vice president of the company associated with 04 2052042?,david c francisco,3,1,0
168,Who is both the treasurer and vice president of the company associated with 1000 stanley drive new britain connecticut 06053?,robert t paternostro,3,1,0
97,Who is both the authorized signatory and vice president of the company associated with 500 west monroe street chicago illinois 60661?,dague retzlaff,3,1,0
6,Who is both the deputy branch manager and vice president of the company associated with 444 s flower street 39th floor los angeles california 90071?,ying chen,3,1,0
6,Who is both the deputy branch manager and vice president of the company associated with los angeles?,ying chen,3,1,0
54,Who is both the managing director and senior vice president of the company associated with c o blackstone real estate advisors lp 345 park avenue new york new york 10154?,jonathan olsen,3,1,0
56,Who is both the executive vice president general counsel and secretary of the company associated with 1633 broadway 7th floor new york ny 10019?,paul m robinson,3,1,0
42,Who is both the chief financial officer and senior vice president of the company associated with 3630 south geyer road suite 100 st louis mo 63127?,michael j bufano,3,1,0
42,Who is both the chief financial officer and senior vice president of the company associated with 63 kendrick street needham ma 02494?,michael j bufano,3,1,0
143,Who is both the chief financial officer and president of the company associated with 2777 w craig rd ste 107 north las vegas nv 89032 clark county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 3910 s maryland pkwy las vegas nv 89119 clark county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 400 n nellis blvd ste 120 las vegas nv 89110 clark county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 7017 spring mountain rd ste 101 las vegas nv 89117 clark county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 1012 e hwy 80 suite a forney tx 75126 kaufman county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 1152 n buckner blvd ste 106 dallas tx 75218 dallas county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 1251 northwest hwy ste c garland tx 75041 dallas county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 1515 s buckner blvd ste 247b dallas tx 75217 dallas county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 1801 east chase pkwy ste 117 fort worth tx 76120 tarrant county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 237 ne 28th st fort worth tx 76164 tarrant county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 2802 n shepherd drste 400 houston tx 77008 harris county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 3300 western center blvd ste 114a fort worth tx 76137 tarrant county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 5045 w tropicana ave ste 110 las vegas nv 89103 clark county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 5501 lbj freeway 5th floor dallas tx 75240?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 5501 lbj freeway dallas tx 75240 dallas county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 6760 abrams rd ste 119 dallas tx 75231 dallas county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 7645 s custer road ste 420 mckinney tx 75070 collin county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 820 e cartwright rd suite 130 mesquite tx 75149 dallas county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 900 n coit rd ste 2700 richardson tx 75080 dallas county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 908 audelia rd ste 600 richardson tx 75081 dallas county?,michael j skipworth,3,1,0
143,Who is both the chief financial officer and president of the company associated with 9208 e r l thornton fwy ste 204 dallas tx 75228 dallas county?,michael j skipworth,3,1,0
142,Who is both the controller and principal financial officer of the company associated with 700 louisiana street suite 700?,nathaniel a brown,3,1,0
142,Who is both the corporate secretary and vice president law of the company associated with 450 1st street sw?,christine r johnston,3,1,0
142,Who is both the treasurer and vice president finance of the company associated with 450 1st street sw?,joel e hunter,3,1,0
57,Who is both the treasurer and vice president of the company associated with 222 w las colinas blvd suite 900n irving texas 75039?,chuck b kyrish,3,1,0
91,Who is both the chief executive officer and president of the company associated with 63317th street suite 1900 denver colorado 80202 3619?,ray singleton,3,1,0
52,Who is both the treasurer and vice president of tax of the company associated with 1221 broadway oakland california 94612?,charles r conradi,3,1,0
51,Who is both the treasurer and vice president finance of the company associated with 717 texas avenue suite 1000 houston tx 77002?,zamir rauf,3,1,0
37,Who is both the chief financial officer and executive vice president of the company associated with 3 waterway square place suite 110 the woodlands tx 77380?,worthing f jackman,3,1,0
35,Who is both the chief financial officer and senior vice president of the company associated with 1185 avenue of the americas new york new york 10036?,john p rielly,3,1,0
35,Who is both the general counsel and senior vice president of the company associated with 1185 avenue of the americas new york new york 10036?,timothy b goodell,3,1,0
109,Who is both the ceo and chief executive officer and chairman of the board of the company associated with 5001 baum blvd ste 770 pittsburgh pa 15213?,christopher j spencer,3,1,0
