document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who is the Chief Financial Officer and President of DIGIRAD CORPORATION?,Jeffry R. Keyes,2,1,0
117,"Who is the Chief Financial Officer and Executive Vice President of COLUMBIA SPORTSWEAR COMPANY,?",Jim A. Swanson,2,1,0
16,Who is the Senior Managing Directo and Senior Managing Director of CRYSTAL FINANCIAL LLC?,Christopher A. Arnold,2,1,0
16,Who is the Chief Executive Officer and President of STANDARD DIVERSIFIED OPPORTUNITIES INC.?,Ian W. Estus,2,1,0
28,"Who is the Chief Executive Officer and President of COLLEGIUM PHARMACEUTICAL, INC.?",Joseph Ciaffoni,2,1,0
28,Who is the Ceo and Managing Member of BIOPHARMA CREDIT INVESTMENTS V %28MASTER%29 LP?,Pedro Gonzalez de Cosio,2,1,0
28,Who is the Ceo and Managing Member of Pharmakon Advisors LP?,Pedro Gonzalez de Cosio,2,1,0
28,Who is the Ceo and Managing Member of PHARMAKON ADVISORS LP?,Pedro Gonzalez de Cosio,2,1,0
129,Who is the Chief Financial Officer and Secretary of GHM Acquisition Corp.?,Jeffrey Glajch,2,1,0
115,"Who is the Chief Legal Officer and Secretary of HORIZON DISTRIBUTORS, INC.?",Jennifer M. Neil,2,1,0
115,"Who is the Chief Legal Officer and Vice President of HORIZON DISTRIBUTORS, INC.?",Jennifer M. Neil,2,1,0
115,"Who is the Secretary and Vice President of HORIZON DISTRIBUTORS, INC.?",Jennifer M. Neil,2,1,0
115,Who is the Assistant Secretary and Chief Accounting Officer of POOL CORPORATION?,Melanie Housey Hart,2,1,0
115,Who is the Assistant Secretary and President of POOL CORPORATION?,Melanie Housey Hart,2,1,0
115,Who is the Assistant Secretary and Treasurer of POOL CORPORATION?,Melanie Housey Hart,2,1,0
115,Who is the Chief Accounting Officer and President of POOL CORPORATION?,Melanie Housey Hart,2,1,0
115,Who is the Chief Accounting Officer and Treasurer of POOL CORPORATION?,Melanie Housey Hart,2,1,0
115,Who is the President and Treasurer of POOL CORPORATION?,Melanie Housey Hart,2,1,0
115,Who is the Chief Legal Officer and Vice President of POOL CORPORATION?,Jennifer M. Neil,2,1,0
100,"Who is the Chief Financial Officer and Executive Vice President of OMNICELL, INC.?",Peter Kuipers,2,1,0
100,"Who is the Vice President%2Frelationship Manager and Vp%2Frelationship Manager of WELLS FARGO BANK, NATIONAL ASSOCIATION?",Ray Aguilar,2,1,0
100,"Who is the Chief Legal And Administrative Officer and Vice President of Omnicell, Inc.?",Dan Johnston,2,1,0
39,"Who is the Chief%09 %09 %09%09 %09%09 %09Finance Officer and Treasurer of NORTH JACKSON SPECIALTY STEEL,LLC?",Ross C. Wilkin,2,1,0
39,"Who is the Chief%09 %09 %09%09 %09%09 %09Finance Officer and Vice President Of Finance of NORTH JACKSON SPECIALTY STEEL,LLC?",Ross C. Wilkin,2,1,0
39,"Who is the Treasurer and Vice President Of Finance of NORTH JACKSON SPECIALTY STEEL,LLC?",Ross C. Wilkin,2,1,0
138,"Who is the Chief Financial Officer and Chief Financial Officer And Secretary of Rexford Industrial Realty, L.P.?",Adeel Khan,2,1,0
138,"Who is the Chief Financial Officer and Secretary of Rexford Industrial Realty, L.P.?",Adeel Khan,2,1,0
138,"Who is the Chief Financial Officer And Secretary and Secretary of Rexford Industrial Realty, L.P.?",Adeel Khan,2,1,0
139,Who is the Chief Financial Officer and Treasurer of Crown Castle International Corp.?,Jay A. Brown,2,1,0
