document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,What position does Adam Finerman hold?,Esq.,1,0,
102,What position does Katherine Bell hold?,Esq.,1,0,
102,What position does Kathy R. Plisko hold?,Authorized Signatory,1,0,
116,What position does Nicholas Jordan hold?,Managing Director,1,0,
116,What position does Orit Mizrachi hold?,COO,1,0,
116,What position does Venu Rathi hold?,CFO,1,0,
116,What position does Venugopal Rathi hold?,Chief Financial Officer,1,0,
117,What position does Chris Burns hold?,Senior Vice President,1,0,
117,What position does Dawn Mace Moore hold?,Senior Vice President,1,0,
117,What position does Kirsten Jakobsen hold?,Vice President,1,0,
117,What position does Lynn Braun hold?,Executive Director,1,0,
117,What position does Michael Snook hold?,Senior Vice President,1,0,
103,What position does Gavin Baiera hold?,Authorized Signatory,1,0,
103,What position does Matthew Trybula hold?,Associate Counsel,1,0,
103,What position does Paul A. Barker hold?,Manager,1,0,
103,What position does Scott Huckins hold?,Director,1,0,
103,What position does Stephen Sernett hold?,Director,1,0,
103,What position does Stuart Brown hold?,Director,1,0,
14,What position does James Harris hold?,Chief Financial Officer,1,0,
14,What position does Todd Dittmann hold?,Authorized Person,1,0,
129,What position does Elizabeth A. Jordan hold?,Authorized Officer,1,0,
115,What position does Adam Rose hold?,Senior Vice President,1,0,
101,What position does Deborah T. Purvin hold?,Senior Vice President,1,0,
101,What position does Spencer Sockwell hold?,Corporate Healthcare Banking %C2%96 Manager,1,0,
101,What position does Stanton M. Nelson hold?,CEO,1,0,
100,What position does Christopher M. Ames hold?,"SVP, Global Relationship Manager",1,0,
100,What position does Mark Strzynski hold?,Vice President,1,0,
100,What position does Marshall Trenckmann hold?,Executive Director,1,0,
100,What position does Min Park hold?,Vice President,1,0,
100,What position does Tyler J. Mei hold?,Senior Vice President,1,0,
100,What position does Alexis Coyle hold?,Managing Director,1,0,
100,What position does Darran Wee hold?,Senior Vice President,1,0,
100,What position does Lee Merkle-Raymond hold?,Managing Director,1,0,
100,What position does Sony Ben-Moshe hold?,Esq.,1,0,
100,What position does Teuta Ghilaga hold?,Director,1,0,
100,What position does Thomas Avery hold?,Relationship Manager,1,0,
114,What position does Maurice Amsellem hold?,Authorized Signatory,1,0,
114,What position does Peter Feret hold?,Chief Financial Officer,1,0,
128,What position does Derek Jensen hold?,Vice President,1,0,
128,What position does Frank Pelzer hold?,Chief Financial Officer,1,0,
128,What position does Gill Skala hold?,Director,1,0,
128,What position does Mario De Luca hold?,Director,1,0,
128,What position does Nicholas Heslip hold?,Authorized Signatory,1,0,
128,What position does Ryan Zimmerman hold?,Vice President,1,0,
128,What position does Timothy G. Holsapple hold?,Senior Vice President,1,0,
29,What position does Efrain Rivera hold?,Chief Financial Officer,1,0,
15,What position does Jared Randall hold?,Executive Director,1,0,
15,What position does Racquel A.C. Small hold?,Executive Director,1,0,
15,What position does Shawn Matthews hold?,CEO,1,0,
39,What position does David B. Thayer hold?,Vice President,1,0,
39,What position does James Foley hold?,Senior Vice President,1,0,
11,What position does Gene Riego de Dios hold?,Executive Director,1,0,
11,What position does Carolyn Kee hold?,Vice President,1,0,
11,What position does Craig Malloy hold?,Director,1,0,
11,What position does Mukesh Singh hold?,Director,1,0,
11,What position does Robert Ehudin hold?,Authorized Signatory,1,0,
11,What position does Virginia Cosenza hold?,Vice President,1,0,
110,What position does Alan Dawson hold?,Director,1,0,
110,What position does Alia Qaddumi hold?,Director,1,0,
110,What position does Annie Dorval hold?,Authorized Signatory,1,0,
110,What position does Brendan Heneghan hold?,Director,1,0,
110,What position does Dave Katz hold?,Executive Director,1,0,
110,What position does David L. Berger hold?,Director,1,0,
110,What position does Donna DeMagistris hold?,Authorized Signatory,1,0,
110,What position does Houssem Daly hold?,Associate Director,1,0,
110,What position does Jason S. York hold?,Authorized Signatory,1,0,
110,What position does John Prigge hold?,Senior Vice President,1,0,
110,What position does Josh Rosenthal hold?,Authorized Signatory,1,0,
110,What position does Kenneth Chin hold?,Director,1,0,
110,What position does Michael Zeller hold?,Vice President,1,0,
110,What position does Nathan Starr hold?,Vice President,1,0,
110,What position does Peter Gilgen hold?,Vice President and Treasurer,1,0,
110,What position does Stephen Hoffman hold?,Managing Director,1,0,
110,What position does Stephen Monto hold?,SVP,1,0,
110,What position does Sydney G. Dennis hold?,Director,1,0,
110,What position does Traci Bankston hold?,Vice President,1,0,
110,What position does Yann Pirio hold?,Managing Director,1,0,
104,What position does Andre S. Valentine hold?,Chief Financial Officer,1,0,
104,What position does David R. Wiedwald hold?,Treasurer,1,0,
104,What position does Diane Emanuel hold?,Managing Director,1,0,
104,What position does Jeffrey P. Fisher hold?,Vice President,1,0,
104,What position does John Di Legge hold?,Vice President,1,0,
104,What position does Kyle R. Holtz hold?,Director,1,0,
104,What position does Lillian Kim hold?,Director,1,0,
104,What position does Mark Irey hold?,Vice President,1,0,
104,What position does Maurici Llad%C3%B3 hold?,Executive Director,1,0,
104,What position does Michael Vondriska hold?,Vice President,1,0,
104,What position does Robert Kling hold?,Vice President,1,0,
