document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What companies are the grantor but not the borrower in the agreement?,"constellation dco albany power holdings llc, exelon avsr holding llc, solgen holding llc",1,2,1
17,What companies are the grantor but not the pledgor in the agreement?,"constellation dco albany power holdings llc, exelon avsr holding llc, solgen holding llc",1,2,1
102,What companies are the borrowers but not the administrative borrower in the agreement?,"digirad imaging solutions inc, dms health technologies inc, dms imaging inc, md office solutions, project rendezvous holding corporation, telerhythmics llc",1,2,1
117,What companies are the arranger but not the swing line lender in the agreement?,wells fargo securities llc,1,2,0
117,What companies are the arranger but not the administrative agent in the agreement?,wells fargo securities llc,1,2,0
117,What companies are the arranger but not the bookrunner in the agreement?,wells fargo securities llc,1,2,0
117,What companies are the arranger but not the issuing lender in the agreement?,wells fargo securities llc,1,2,0
117,What companies are the lender but not the syndication agent in the agreement?,"hsbc bank usa national association, royal bank of canada, wells fargo bank national association",1,2,1
117,What companies are the lender but not the agent in the agreement?,"bank of america na, hsbc bank usa national association, royal bank of canada",1,2,1
103,What companies are the administrative agent but not the lender in the agreement?,botticelli llc c o angelo gordonand co lp,1,2,0
28,What companies are the lender but not the agent in the agreement?,"biopharma credit investments v master lp, biopharma credit plc",1,2,1
28,What companies are the lender but not the investment manager in the agreement?,"akin gump strauss hauer and feld llp, biopharma credit investments v master lp, biopharma credit plc",1,2,1
28,What companies are the lender but not the collateral agent in the agreement?,"akin gump strauss hauer and feld llp, biopharma credit investments v master lp, pharmakon advisors lp",1,2,1
28,What companies are the agent but not the investment manager in the agreement?,akin gump strauss hauer and feld llp,1,2,0
101,What companies are the lender but not the sole book runner in the agreement?,legacytexas bank,1,2,0
101,What companies are the lender but not the administrative agent in the agreement?,legacytexas bank,1,2,0
101,What companies are the lender but not the l c issuer in the agreement?,legacytexas bank,1,2,0
101,What companies are the lender but not the arranger in the agreement?,legacytexas bank,1,2,0
100,What companies are the agent but not the lender in the agreement?,"bank of the west fifth third bank, jpmorgan chase bank na, mufg union bank na",1,2,1
100,What companies are the lender but not the agent in the agreement?,"bank of the west, bbva compass, citizens bank national association, comerica bank, east west bank, fifth third bank, hsbc bank usa, jpmorgan chase bank, mufg union bank",1,2,1
128,What companies are the arranger but not the joint bookrunners in the agreement?,jpmorgan chase bank na,1,2,0
128,What companies are the arranger but not the bookrunners in the agreement?,bofa securities inc,1,2,0
128,What companies are the arranger but not the administrative agent in the agreement?,bofa securities inc,1,2,0
39,What companies are the co collateral agent but not the administrative agent in the agreement?,bank of america na,1,2,0
39,What companies are the lender but not the administrative agent in the agreement?,bank of america na,1,2,0
11,What companies are the initial lender but not the administrative agent in the agreement?,"bank of america na, barclays bank plc, citibank na, deutsche bank ag new york branch, goldman sachs bank usa",1,2,1
110,What companies are the arrangers but not the joint bookrunners in the agreement?,"barclays bank plc, jpmorgan chase bank na, mizuho bank ltd, the bank of tokyo mitsubishi ufj ltd, wells fargo securities llc",1,2,1
110,What companies are the arrangers but not the bookrunners in the agreement?,"barclays bank plc, merrill lynch pierce fenner and smith incorporated",1,2,1
110,What companies are the arrangers but not the agent in the agreement?,"barclays bank plc, jpmorgan chase bank na, merrill lynch pierce fenner and smith incorporated, the bank of tokyo mitsubishi ufj ltd, wells fargo securities llc",1,2,1
110,What companies are the bookrunners but not the agent in the agreement?,"jpmorgan chase bank na, the bank of tokyo mitsubishi ufj ltd, wells fargo securities llc",1,2,1
104,What companies are the arrangers but not the bookrunners in the agreement?,merrill lynch pierce fenner and smith incorporated,1,2,0
104,What companies are the arrangers but not the joint bookrunners in the agreement?,citigroup global markets inc,1,2,0
138,What companies are the lender but not the agent in the agreement?,"capital one national association, pnc bank national association",1,2,1
138,What companies are the lender but not the joint bookrunners in the agreement?,"capital one national association, pnc bank national association",1,2,1
138,What companies are the lender but not the administrative agent in the agreement?,"capital one national association, us bank national association",1,2,1
139,What companies are the syndication agent but not the administrative agent in the agreement?,bank of america,1,2,0
139,What companies are the administrative agent but not the syndication agent in the agreement?,jpmorgan chase bank,1,2,0
139,What companies are the syndication agent but not the lender in the agreement?,bank of america,1,2,0
