document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who is the representative of olshan frome wolosky llp?,adam finerman,1,0,0
102,Who is the representative of paul hastings llp?,katherine bell,1,0,0
102,Who is the representative of wells fargo bank national association?,kathy r plisko,1,0,0
102,Who is the representative of digirad corporation?,jeffry r keyes,1,0,0
102,Who is the representative of digirad imaging solutions inc?,jeffry r keyes,1,0,0
102,Who is the representative of dms health technologies inc?,jeffry r keyes,1,0,0
102,Who is the representative of dms imaging inc?,jeffry r keyes,1,0,0
102,Who is the representative of md office solutions?,jeffry r keyes,1,0,0
102,Who is the representative of project rendezvous holding corporation?,jeffry r keyes,1,0,0
102,Who is the representative of telerhythmics llc?,jeffry r keyes,1,0,0
116,Who is the representative of cibc bank usa?,nicholas jordan,1,0,0
117,Who is the representative of hsbc bank usa national association?,chris burns,1,0,0
117,Who is the representative of wells fargo bank national association?,dawn mace moore,1,0,0
117,Who is the representative of columbia sportswear company?,jim a swanson,1,0,0
117,Who is the representative of royal bank of canada?,kirsten jakobsen,1,0,0
117,Who is the representative of jpmorgan chase bank na?,lynn braun,1,0,0
117,Who is the representative of bank of america na?,michael snook,1,0,0
103,Who is the representative of angelo gordonand co lp?,gavin baiera,1,0,0
103,Who is the representative of cortland capital market services llc?,matthew trybula,1,0,0
103,Who is the representative of claires luxembourg sa rl?,paul a barker,1,0,0
103,Who is the representative of claires gibraltar holdings limited?,stephen sernett,1,0,0
103,Who is the representative of claires holding gmbh?,stuart brown,1,0,0
103,Who is the representative of claires holdings sà rl?,stuart brown,1,0,0
103,Who is the representative of claires switzerland gmbh?,stuart brown,1,0,0
103,Who is the representative of claires accessories spain sl?,scott huckins,1,0,0
103,Who is the representative of claires accessories uk ltd?,scott huckins,1,0,0
103,Who is the representative of claires european distribution limited?,scott huckins,1,0,0
103,Who is the representative of claires european services limited?,scott huckins,1,0,0
103,Who is the representative of claires fashion property corp?,scott huckins,1,0,0
103,Who is the representative of claires france sas?,scott huckins,1,0,0
103,Who is the representative of claires germany gmbh?,scott huckins,1,0,0
103,Who is the representative of claires gibraltar intermediate holdings limited?,scott huckins,1,0,0
103,Who is the representative of csi luxembourg sa rl?,scott huckins,1,0,0
16,Who is the representative of crystal financial llc?,christopher a arnold,1,0,0
16,Who is the representative of crystal financial spv llc?,christopher a arnold,1,0,0
16,Who is the representative of standard diversified opportunities inc?,ian w estus,1,0,0
16,Who is the representative of standard outdoor llc?,ian w estus,1,0,0
16,Who is the representative of standard outdoor southeast i llc?,ian w estus,1,0,0
16,Who is the representative of standard outdoor southeast ii llc?,ian w estus,1,0,0
16,Who is the representative of standard outdoor southwest llc?,ian w estus,1,0,0
14,Who is the representative of pacific drilling sa?,james harris,1,0,0
14,Who is the representative of ag energy funding llc?,todd dittmann,1,0,0
14,Who is the representative of angelo gordon energy servicer llc?,todd dittmann,1,0,0
28,Who is the representative of collegium pharmaceutical inc?,joseph ciaffoni,1,0,0
28,Who is the representative of collegium securities corporation?,joseph ciaffoni,1,0,0
28,Who is the representative of biopharma credit investments v master lp?,pedro gonzalez de cosio,1,0,0
28,Who is the representative of biopharma credit plc?,pedro gonzalez de cosio,1,0,0
129,Who is the representative of jpmorgan chase bank na?,elizabeth a jordan,1,0,0
129,Who is the representative of ghm acquisition corp?,jeffrey glajch,1,0,0
129,Who is the representative of graham corporation?,jeffrey glajch,1,0,0
115,Who is the representative of bank of america na?,adam rose,1,0,0
115,Who is the representative of alliance trading inc?,melanie housey hart,1,0,0
115,Who is the representative of cypress inc?,melanie housey hart,1,0,0
115,Who is the representative of poolfx supply llc?,melanie housey hart,1,0,0
115,Who is the representative of scp international inc?,melanie housey hart,1,0,0
115,Who is the representative of horizon distributors inc?,jennifer m neil,1,0,0
115,Who is the representative of pool corporation?,jennifer m neil,1,0,0
115,Who is the representative of pool development llc?,jennifer m neil,1,0,0
115,Who is the representative of scp distributors llc?,jennifer m neil,1,0,0
115,Who is the representative of superior pool products llc?,jennifer m neil,1,0,0
101,Who is the representative of texas capital bank national association?,deborah t purvin,1,0,0
101,Who is the representative of legacytexas bank?,spencer sockwell,1,0,0
