document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
110,Who are the Directors of the company where Houssem Daly is employed?,"Alan Dawson, Alia Qaddumi, Brendan Heneghan, David L. Berger, Kenneth Chin, Sydney G. Dennis",3,0,1
38,Who are the Directors of the company where Houssem Daly is employed?,"Diego Medina, J. Frazell, Kenneth Chin, Sherwin Brandford, Sriram Chandrasekaran",3,0,1
12,Who are the Directors of the company where Thomas Foley is employed?,"J. Casey Cosgrove, Jack Lonker, Thilo Huber",3,0,1
12,Who are the Managing Directors of the company where J. Casey Cosgrove is employed?,"Luca Balestra, Thomas Foley",3,0,1
12,Who are the Directors of the company where Luca Balestra is employed?,"J. Casey Cosgrove, Jack Lonker, Thilo Huber",3,0,1
12,Who are the Managing Directors of the company where Jack Lonker is employed?,"Luca Balestra, Thomas Foley",3,0,1
12,Who are the Managing Directors of the company where Thilo Huber is employed?,"Luca Balestra, Thomas Foley",3,0,1
12,"Who are the Vice President, Global Treasurys of the company where Aidan Clare is employed?","Gr%C3%A1inne Kelly, John Devlin",3,0,1
12,"Who are the Vice President, Global Treasurys of the company where Marco Pagni%3B is employed?","Gr%C3%A1inne Kelly, John Devlin",3,0,1
12,"Who are the Vice President, Global Treasurys of the company where Sara La Berg is employed?","Gr%C3%A1inne Kelly, John Devlin",3,0,1
106,Who are the Authorized Signatorys of the company where Ann Hurley is employed?,"Robert Ehudin, Thomas Casey",3,0,1
60,Who are the Managing Directors of the company where Caroline Smith is employed?,"Harry Yergey, Michael Maguire, Patrick Hartweger",3,0,1
148,Who are the Directors of the company where Will Hicks is employed?,"Craig Malloy, Jonathan Eady, Katherine Bass, Mukesh Singh, Todd Kennedy",3,0,1
148,Who are the Vice Presidents of the company where Craig Malloy is employed?,"Karim Remtoula, Liliana Claar, Meng Zhang, Rumesha Ahmed, Will Hicks",3,0,1
148,Who are the Vice Presidents of the company where Katherine Bass is employed?,"Karim Remtoula, Liliana Claar, Meng Zhang, Rumesha Ahmed, Will Hicks",3,0,1
148,Who are the Vice Presidents of the company where Jonathan Eady is employed?,"Karim Remtoula, Liliana Claar, Meng Zhang, Rumesha Ahmed, Will Hicks",3,0,1
148,Who are the Directors of the company where Karim Remtoula is employed?,"Craig Malloy, Jonathan Eady, Katherine Bass, Mukesh Singh, Todd Kennedy",3,0,1
