document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What is the location of exelon generation company llc?,701 ninth street nw 9th floor washington dc 20068,1,0,0
17,What is the location of exgen renewables holdings llc?,10 south dearborn street 49thfloor chicago il 60603,1,0,0
17,What is the location of exgen renewables iv holding llc?,10 south dearborn street 49thfloor chicago il 60603,1,0,0
17,What is the location of exgen renewables iv llc?,1310 point street 12th floor baltimore md 21231,1,0,0
17,What is the location of morgan stanley senior funding inc?,1300 thames street 4th floor thames street wharf baltimore md 21231,1,0,0
17,What is the location of simpson thacher and bartlett llp?,425 lexington avenue new york new york 10017,1,0,0
17,What is the location of wilmington trust national association?,1100 north market street wilmington delaware 19890,1,0,0
102,What is the location of digirad corporation?,1048 industrial court suite e suwanee ga 30024,1,0,0
102,What is the location of olshan frome wolosky llp?,65 east 55th street new york ny 10022,1,0,0
102,What is the location of paul hastings llp?,695 town center drive 17th floor costa mesa ca 92626,1,0,0
102,What is the location of wells fargo bank national association?,2450 colorado avenue suite 3000 west santa monica ca 90404,1,0,0
117,What is the location of columbia sportswear company?,14375 nw science park drive portland or 97229,1,0,0
103,What is the location of botticelli llc c o angelo gordonand co lp?,245 park avenue 26th floor new york new york 10167,1,0,0
103,What is the location of claires gibraltar holdings limited?,3 sw 129th avenue suite 400 pembroke pines fl 33027,1,0,0
103,What is the location of cortland capital market services llc?,225 w washington street 21st floor chicago il 60606,1,0,0
16,What is the location of crystal financial llc?,two international place 17th floor boston ma 02110,1,0,0
28,What is the location of akin gump strauss hauer and feld llp?,one bryant park new york ny 10036 6745,1,0,0
28,What is the location of pepper hamilton llp?,3000 two logan square philadelphia pa 19103,1,0,0
28,What is the location of pharmakon advisors lp?,110 east 59th street 3300 new york ny 10022,1,0,0
28,What is the location of biopharma credit investments v master lp?,cayman corporate centre 27 hospital road george town grand cayman ky1 9008,1,0,0
28,What is the location of biopharma credit plc?,51 new north road exeter ex4 4ep united kingdom,1,0,0
28,What is the location of collegium pharmaceutical inc?,100 technology center drive suite 300 stoughton ma 02072,1,0,0
129,What is the location of federal reserve system?,united states of america,1,0,0
129,What is the location of harter secrest and emery llp?,1600 bausch and lomb place rochester new york 14606,1,0,0
129,What is the location of graham corporation?,20 florence avenue batavia new york 14020,1,0,0
129,What is the location of jpmorgan chase bank na?,1 south clinton avenue floor 7 rochester ny 14604,1,0,0
100,What is the location of lathamand watkins llp?,12670 high bluff drive san diego california 92103,1,0,0
100,What is the location of wells fargo bank national association?,400 hamilton ave suite110 palo alto ca 94301,1,0,0
100,What is the location of omnicellinc?,590 e middlefield road mountain view ca 94043 4008,1,0,0
114,What is the location of midcap financial services?,7255 woodmont avenue suite 200 bethesda maryland 20814,1,0,0
