document_number,average_f1_score,average_edit_distance,average_cosine_similarity,total_questions
9,0.5146794871794872,0.5586446617793299,0.5168907707003678,40
17,0.47794117647058826,0.3375904800137537,0.46325972180421365,8
25,0.7488888888888888,0.8125456657163974,0.7495815037851218,15
43,0.8,0.900909090909091,0.8,10
45,0.6444444444444444,0.683154045097267,0.6370309262593172,15
47,0.9368421052631579,0.9771929824561404,0.9320682771898041,19
51,0.6424242424242425,0.7000300639749097,0.6555144265187306,11
60,0.23885716812988947,0.24468877509959033,0.2528662699227961,153
65,0.23646534188702864,0.3328085543425101,0.23175176993552696,83
66,0.4750566893424037,0.5070575697369835,0.4709551125971932,77
