document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
28,In what organizations does Geoffrey E. Secol work?,"AKIN GUMP STRAUSS HAUER %26 FELD LLP, Akin Gump Strauss Hauer %26 Feld LLP",1,0,1
28,In what organizations does Pedro Gonzalez de Cosio work?,"BIOPHARMA CREDIT INVESTMENTS V %28MASTER%29 LP, PHARMAKON ADVISORS LP, Pharmakon Advisors LP",1,0,1
115,In what organizations does Jennifer M. Neil work?,"HORIZON DISTRIBUTORS, INC., POOL CORPORATION",1,0,1
107,In what organizations does Paul McFeeters work?,"GXS INTERNATIONAL, INC., OPEN TEXT ULC",1,0,1
66,In what organizations does Brian M. Bonnell work?,"EXC HOLDING CORP.TANGENT MEDICAL TECHNOLOGIES, INC.EXCELSIOR MEDICAL CORPORATIONICU WORLD, INC., ICU Medical, Inc.",1,0,1
67,In what organizations does Pedro Gonzalez de Cosio work?,"BIOPHARMA CREDIT PLC, Pharmakon Advisors LP",1,0,1
9,In what organizations does Mark E. Newman work?,"MIDDLETOWN COGENERATION COMPANY LLC, SUNCOKE ENERGY PARTNERS, L.P.",1,0,1
154,In what organizations does Erica Cross work?,"JPMORGAN CHASE BANK, N.A., JPMorgan Chase Bank, N.A.",1,0,1
155,In what organizations does Michael Pope work?,"Boxlight Corporation, Sahara Holdings Limited",1,0,1
83,In what organizations does Teresita Siao work?,"JPMorgan Chase Bank, N.A, JPMorgan Chase Bank, N.A.",1,0,1
83,In what organizations does Keith Winzenried work?,"JPMORGAN CHASE BANK, JPMorgan Chase Bank, N.A, JPMorgan Chase Bank, N.A.",1,0,1
42,In what organizations does Kelly Weaver work?,"Bank of America, N.A., PNC BANK, NATIONAL ASSOCIATION",1,0,1
95,In what organizations does Angela Lau work?,"BANK OF AMERICA, N.A., Bank of America, N.A.",1,0,1
95,In what organizations does Daniel J. Booth work?,"OHI Asset HUD Delta, LLC, Omega Healthcare Investors, Inc",1,0,1
95,In what organizations does Yinghua Zhang work?,"BANK OF AMERICA, N.A., Bank of America, N.A.",1,0,1
157,In what organizations does Nicholas Nadolsky work?,"FROST BANK, MICROPAC INDUSTRIES, INC",1,0,1
85,In what organizations does Emil Hensel work?,"CEJKA SEARCH, INC., CROSS COUNTRY HEALTHCARE, INC.",1,0,1
85,In what organizations does Susan E. Ball work?,"CEJKA SEARCH, INC., CLINFORCE, LLC, LOCAL STAFF, LLC, ASSIGNMENT AMERICA, LLC, CC LOCAL, INC., CREDENT VERIFICATION AND LICENSING SERVICES, LLC, CROSS COUNTRY EDUCATION, LLC, CROSS COUNTRY HEALTHCARE, INC., CROSS COUNTRY PUBLISHING, LLC, CROSS COUNTRY STAFFING, INC., MCVT, INC., MDA HOLDINGS, INC., MEDICAL DOCTOR ASSOCIATES, LLC",1,0,1
144,In what organizations does Jose Carmona work?,"RADIUS HEALTH, INC., RADIUS PHARMACEUTICALS, INC.",1,0,1
137,In what organizations does Christopher Eng work?,"San Fran JV, LLC, Summit Hospitality 039, LLC, Summit Hospitality 057, LLC, Summit Hospitality 060, LLC, Summit Hospitality 079, LLC, Summit Hospitality 081, LLC, Summit Hospitality 082, LLC, Summit Hospitality 084, LLC, Summit Hospitality 093, LLC, Summit Hospitality 100, LLC, Summit Hospitality 114, LLC, Summit Hospitality 115, LLC, Summit Hospitality 117, LLC, Summit Hospitality 118, LLC, Summit Hospitality 119, LLC, Summit Hospitality 121, LLC, Summit Hospitality 122, LLC, Summit Hospitality 123, LLC, Summit Hospitality 130, LLC, Summit Hospitality 17, LLC, Summit Hospitality 18, LLC, Summit Hospitality I, LLC, Summit Hospitality XII, LLC, Summit Hotel TRS 035, LLC",1,0,1
108,In what organizations does Andrew White work?,"KEYBANK NATIONAL ASSOCIATION, PNC Bank, National Association",1,0,1
135,In what organizations does Cheryl LaBelle work?,"BNP PARIBAS, ING CAPITAL LLC",1,0,1
135,In what organizations does Hans Beekmans work?,"ING CAPITAL LLC, PLAINS ALL AMERICAN PIPELINE, L.P.",1,0,1
27,In what organizations does Eric Waxman work?,"AF V Energy I Holdings, L.P., Gastar Midco Holdings LLC",1,0,1
