document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,What are the positions of jeffry r keyes?,"chief financial officer, president",1,0,1
117,What are the positions of jim a swanson?,"chief financial officer, executive vice president",1,0,1
16,What are the positions of christopher a arnold?,"senior managing directo, senior managing director",1,0,1
16,What are the positions of ian w estus?,"chief executive officer, president",1,0,1
28,What are the positions of joseph ciaffoni?,"chief executive officer, president",1,0,1
28,What are the positions of pedro gonzalez de cosio?,"ceo, managing member",1,0,1
129,What are the positions of jeffrey glajch?,"chief financial officer, secretary",1,0,1
115,What are the positions of melanie housey hart?,"assistant secretary, chief accounting officer, president, secretary, treasurer",1,0,1
115,What are the positions of jennifer m neil?,"chief legal officer, secretary, vice president",1,0,1
100,What are the positions of dan johnston?,"chief legal and administrative officer, vice president",1,0,1
100,What are the positions of peter kuipers?,"chief financial officer, executive vice president",1,0,1
100,What are the positions of ray aguilar?,"vice president relationship manager, vp relationship manager",1,0,1
128,What are the positions of leni preciado?,"director, market manager",1,0,1
39,What are the positions of rosscwilkin?,"chief financeofficer, treasurer, vicepresidentoffinance",1,0,1
11,What are the positions of john j tus?,"treasurer, vice president",1,0,1
138,What are the positions of adeel khan?,"chief financial officer, secretary",1,0,1
139,What are the positions of jay a brown?,"chief financial officer, senior vice president, treasurer",1,0,1
139,What are the positions of michael king?,"authorized signatory, vice president",1,0,1
10,What are the positions of terence f sullivan?,"chief financial officer, treasuruer",1,0,1
38,What are the positions of albert l richey?,"finance, senior vice president, treasurer",1,0,1
12,What are the positions of aidan clare?,"global treasurer, senior vice president",1,0,1
12,What are the positions of marco pagni?,"executive vice president, general counsel, global chief administrative officer",1,0,1
107,What are the positions of paul mcfeeters?,"assistant treasurer, chief administrative officer, chief executive officer, chief financial officer, president, treasurer, vice president",1,0,1
113,What are the positions of sonja k mcclelland?,"manager, managing director a and authorized representative, secretary treasurer",1,0,1
106,What are the positions of kirkwood roland?,"director, vice president",1,0,1
106,What are the positions of clint c freeland?,"chief financial officer, executive vice president",1,0,1
13,What are the positions of tracy d jackson?,"chief financial officer, executive vice president",1,0,1
60,What are the positions of marc h crown?,"senior vice president, treasurer",1,0,1
48,What are the positions of chris kaitson?,"corporate secretary, vice president law and assistant, vice president us law",1,0,1
149,What are the positions of seth burroughs?,"executive vice president, secretary",1,0,1
49,What are the positions of michael buckley?,"chief executive, chief executive officer",1,0,1
61,What are the positions of brian l shytle?,"treasurer, vice president taxand treasury",1,0,1
61,What are the positions of jim cahow?,"director, vice president",1,0,1
77,What are the positions of blair w todt?,"administrative officer, chief legal, secretary, senior vice president",1,0,1
88,What are the positions of r scott turicchi?,"chief financial officer, president",1,0,1
162,What are the positions of mark d andrews?,"corporate secretary, president",1,0,1
162,What are the positions of michael rasmuson?,"chief compliance officer, general counsel, secretary, senior vice president",1,0,1
89,What are the positions of lee neumann?,"general counsel, svp, vp finance",1,0,1
62,What are the positions of gretchen l holloway?,"chief financial officer, senior vice president",1,0,1
76,What are the positions of john w hohener?,"chieffinancial officer, executive vice president, secretary, treasurer",1,0,1
72,What are the positions of craig a douglas?,"treasurer, vice president",1,0,1
66,What are the positions of brian m bonnell?,"cfo, treasurer",1,0,1
66,What are the positions of ronnie glenn?,"director, svp",1,0,1
99,What are the positions of doug couvillion?,"president, treasurer",1,0,1
99,What are the positions of nick flanagan?,"chief manager, president",1,0,1
167,What are the positions of don r madison?,"secretary, treasurer, vice president",1,0,1
166,What are the positions of chirag shah?,"attorney, attorney in fact, authorized signatory, person authorized by virtue of power of attorney",1,0,1
67,What are the positions of pedro gonzalez de cosio?,"ceo, managing member",1,0,1
9,What are the positions of mark e newman?,"chief financial officer, senior vice president, treasurer",1,0,1
71,What are the positions of paul m todd?,"chief financial officer, senior executive vice president",1,0,1
170,What are the positions of richard lautch?,"treasurer, vice president",1,0,1
165,What are the positions of colleen batcheler?,"corporate secretary, general counsel",1,0,1
165,What are the positions of johan nystedt?,"investor relations officer, treasurer, vice president",1,0,1
58,What are the positions of dennis m lanfear?,"chief executive officer, president",1,0,1
41,What are the positions of martin h dodd?,"general counsel, senior vice president",1,0,1
7,What are the positions of terry barr?,"ceo, president, treasurer",1,0,1
55,What are the positions of j larry sorsby?,"chief, executive vice president",1,0,1
69,What are the positions of michael shustek?,"chief executive officer, manager",1,0,1
82,What are the positions of david c francisco?,"treasurer, vice president",1,0,1
82,What are the positions of john l healy?,"attorney in fact, secretary, vice president",1,0,1
168,What are the positions of robert t paternostro?,"treasurer, vice president",1,0,1
140,What are the positions of demetrios tserpelis?,"authorized signatory, director",1,0,1
155,What are the positions of patrick foley?,"chief financial officer, director, directors, statutory director",1,0,1
169,What are the positions of joseph b johnson?,"chief accounting officer, controller, treasurer, vice president",1,0,1
97,What are the positions of dague retzlaff?,"authorized signatory, vice president",1,0,1
83,What are the positions of michael ray?,"general counsel, secretary, senior vice president",1,0,1
6,What are the positions of ying chen?,"deputy branch manager, vice president",1,0,1
54,What are the positions of jonathan olsen?,"managing director, senior vice president",1,0,1
56,What are the positions of paul m robinson?,"executive vice president general counsel, secretary",1,0,1
42,What are the positions of michael j bufano?,"chief financial officer, senior vice president",1,0,1
143,What are the positions of michael j skipworth?,"chief financial officer, president",1,0,1
142,What are the positions of christine r johnston?,"corporate secretary, vice president law",1,0,1
142,What are the positions of joel e hunter?,"treasurer, vice president finance",1,0,1
142,What are the positions of nathaniel a brown?,"controller, principal financial officer",1,0,1
156,What are the positions of henk derksen?,"chief financial officer, director, executive vice president and chief financial officer, vice president",1,0,1
80,What are the positions of charles m swoboda?,"chairman, chief executive officer, president",1,0,1
80,What are the positions of michael e mcdevitt?,"chief financial officer, executive vice president",1,0,1
94,What are the positions of adam c derbyshire?,"assistant secretary, chief financial officer, executive vice president finance and administration, treasurer",1,0,1
57,What are the positions of chuck b kyrish?,"treasurer, vice president",1,0,1
5,What are the positions of roy e alexander?,"senior vice president, vice president",1,0,1
1,What are the positions of mark constant?,"treasurer, vice president",1,0,1
53,What are the positions of marie perry?,"cao, cfo, evp, secretary, treasurer",1,0,1
146,What are the positions of marisa j beeney?,"chief compliance officer, chief legal officer, secretary",1,0,1
90,What are the positions of william c whitaker?,"treasurer, vice president",1,0,1
84,What are the positions of alexander wu?,"general manager, svp",1,0,1
84,What are the positions of chwan ming ho?,"general manager, vp",1,0,1
84,What are the positions of edward chen?,"general manager, vp",1,0,1
84,What are the positions of li hua huang?,"general manager, vp",1,0,1
84,What are the positions of michael a crabtree?,"senior vice president, treasurer",1,0,1
84,What are the positions of mrgeorgel chapman?,"chairman of the board, chief executive officer",1,0,1
85,What are the positions of emil hensel?,"assistant controller, chief financial officer, vice president",1,0,1
91,What are the positions of ray singleton?,"chief executive officer, president",1,0,1
147,What are the positions of b judd hartman?,"chief administrative officer, executive vice president, general counsel, secretary",1,0,1
46,What are the positions of james pinto?,"chief executive officer, manager",1,0,1
52,What are the positions of charles r conradi?,"treasurer, vice president of tax",1,0,1
2,What are the positions of navdeep gupta?,"chief financial officer, executive vice president",1,0,1
145,What are the positions of christopher stephen guinta?,"authorized signatory, chief financial officer, director, manager",1,0,1
145,What are the positions of joseph d glatt?,"director, vice president",1,0,1
151,What are the positions of anthony h smith?,"treasurer, vice president tax and treasury",1,0,1
87,What are the positions of douglas b bingham?,"treasurer, vice president",1,0,1
87,What are the positions of ronald d ford?,"chief financial officer, senior vice president",1,0,1
92,What are the positions of cooper c collins?,"president, president and chief executive officer, president and chief executive officer pernix therapeutics holdings inc sole member and sole manager of pernix therapeutics llc",1,0,1
86,What are the positions of chris power?,"cfo, executive vice president",1,0,1
51,What are the positions of zamir rauf?,"treasurer, vice president finance",1,0,1
79,What are the positions of john c popeo?,"assistant secretary, chief financial officer, treasurer",1,0,1
22,What are the positions of lloyd a hajdik?,"chief financial officer, executive vice president, treasurer",1,0,1
123,What are the positions of john b ellis?,"treasurer, vice president",1,0,1
37,What are the positions of worthing f jackman?,"chief financial officer, executive vice president",1,0,1
35,What are the positions of john p rielly?,"chief financial officer, senior vice president",1,0,1
35,What are the positions of timothy b goodell?,"general counsel, senior vice president",1,0,1
21,What are the positions of dawn m wilson?,"secretary, treasurer",1,0,1
108,What are the positions of randall h brown?,"executive vice president, secretary, treasurer, vice president",1,0,1
120,What are the positions of adam markman?,"chief financial officer, executive vice president, treasurer",1,0,1
120,What are the positions of angela chen?,"deputy gm, vp",1,0,1
120,What are the positions of chad hale?,"director, executive head",1,0,1
121,What are the positions of angela chen?,"dgm, vp",1,0,1
121,What are the positions of jane chang?,"general manager, vp",1,0,1
121,What are the positions of kefel xu?,"branch manager, svp",1,0,1
121,What are the positions of paul hultgren?,"director, svp",1,0,1
121,What are the positions of peter c underwood?,"general counsel, secretary, vice president",1,0,1
135,What are the positions of sharon s spurlin?,"treasurer, vice president",1,0,1
109,What are the positions of christopher j spencer?,"ceo, chief executive officer and chairman of the board",1,0,1
34,What are the positions of cameron m bready?,"chief financial officer, executive vice president",1,0,1
34,What are the positions of wendy a mcintyre?,"general counsel, secretary, vice president",1,0,1
18,What are the positions of lainie minnick?,"chief financial officer, managing director, treasurer",1,0,1
24,What are the positions of james a fleming?,"chief financial officer, executive vice president",1,0,1
125,What are the positions of joseph d tarry?,"controller, treasurer, vice president",1,0,1
119,What are the positions of w russell scheirman?,"chief operating officer, president",1,0,1
118,What are the positions of diedre j gray?,"general counsel, secretary, svp",1,0,1
124,What are the positions of catherine damico?,"chief financial officer, executive vice president of finance, treasurer",1,0,1
130,What are the positions of mindy k west?,"chief financial office, chief financial officer, executive vice president fuels, treasurer",1,0,1
31,What are the positions of haiyong yang?,"branch manager, vice president",1,0,1
27,What are the positions of michael a gerlich?,"chief financial, officer, secretary, senior vice president",1,0,1
33,What are the positions of shawn k poe?,"chief financial officer, secretary, treasurer, vice president",1,0,1
132,What are the positions of gary g zyla?,"executive vice president and treasurer, executive vice president chief financial officer and treasurer, vice president and treasurer",1,0,1
127,What are the positions of michael dambach?,"treasurer, vice president",1,0,1
26,What are the positions of jeffrey galik?,"senior vice president, treasurer",1,0,1
