document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
15,What is the address of branch office of the company where Jared Randall is employed?,"1285 Avenue of the AmericasNew York, New York 10019",3,0,0
15,What is the address of branch office of the company where Racquel A.C. Small is employed?,"1285 Avenue of the AmericasNew York, New York 10019",3,0,0
72,What is the address of UK Branch of the company where John Summers is employed?,"25 Canada SquareCanary WharfLondon, England E14 5LB",3,0,0
166,What is the address of Zonal office of the company where Sudip Kumar Ghatak is employed?,Dubai UAE,3,0,0
154,What is the address of Middle Market Servicing of the company where Tischar N Luckett is employed?,"10 South Dearborn, Floor L2Suite IL1-1145Chicago, IL, 60603-2300",3,0,0
154,What is the address of Commercial Banking of the company where Tischar N Luckett is employed?,"4 New York Plaza, Floor 17New York, NY 10004",3,0,0
95,What is the address of Global Corporate Debt Products of the company where Jean Hood is employed?,"100 N. Tryon StreetMail Code%3A NC1 -007-17-11Charlotte, NC 28255",3,0,0
95,What is the address of Agency Management of the company where Jean Hood is employed?,"1455 Market StreetMail Code%3A CA5-701-05-19San Francisco, California 94103-1399",3,0,0
157,What is the address of MEXICO LOCATION %28Contract Manufacturing%29 of the company where Mark W. King is employed?,"480 S. Honduras CD, Juraez, Mexico",3,0,0
157,What is the address of FRONT END%2FTEST BUILDING of the company where Mark W. King is employed?,903 E. Walnut St. Garland TX 75040,3,0,0
157,What is the address of OPTO BUILDING of the company where Mark W. King is employed?,725 E. Walnut St. Garland TX 75040,3,0,0
157,What is the address of MICRO BUILDING AND CORPORATE OFFICE of the company where Mark W. King is employed?,905 E. Walnut St. Garland TX 75040,3,0,0
157,What is the address of ASSEMBLY BUILDING of the company where Mark W. King is employed?,912 E. Walnut St. Garland TX 75040,3,0,0
91,What is the address of Address for Notices%3A of the company where Ray Singleton is employed?,"633 17th Street, Suite 1900Denver, Colorado 80202-3619",3,0,0
91,What is the address of Address for Notices%3A of the company where Thomas M. Foncannon is employed?,"Bank of Oklahoma1625 Broadway, Suite 1100Denver, Colorado 80202",3,0,0
91,What is the address of Payment Processing Center of the company where Thomas M. Foncannon is employed?,"P.O. Box 248817Oklahoma City, Oklahoma 73124-8817",3,0,0
44,What is the address of Trade Finance of the company where John M. Hall is employed?,"PA6-580-02-301 Fleet WayScranton, PA 18507Attention%3A Alfonso Malave Jr.",3,0,0
44,What is the address of Trade Finance of the company where Maria A. McClain is employed?,"PA6-580-02-301 Fleet WayScranton, PA 18507Attention%3A Alfonso Malave Jr.",3,0,0
44,What is the address of Trade Finance of the company where Tiffany E. Gardner is employed?,"PA6-580-02-301 Fleet WayScranton, PA 18507Attention%3A Alfonso Malave Jr.",3,0,0
123,What is the address of Branch of the company where Andrew Payne is employed?,Dublin,3,0,0
123,What is the address of Branch of the company where Bill O%C2%92Daly is employed?,Cayman Islands,3,0,0
123,What is the address of Branch of the company where Brandon K. Fiddler is employed?,Dublin,3,0,0
123,What is the address of Branch of the company where Gene R. Riego De Dios is employed?,Dublin,3,0,0
123,What is the address of Branch of the company where Julia Ivanova is employed?,Cayman Islands,3,0,0
123,What is the address of Branch of the company where Kelly Heimrich is employed?,Cayman Islands,3,0,0
123,What is the address of Branch of the company where Ravneet Mumick is employed?,Dublin,3,0,0
123,What is the address of Branch of the company where Robert Ehudin is employed?,Cayman Islands,3,0,0
123,What is the address of Branch of the company where Sean Hassett is employed?,Dublin,3,0,0
123,What is the address of Branch of the company where Shaun Hawley is employed?,Dublin,3,0,0
35,What is the address of Branch of the company where Haifeng Xu is employed?,New York,3,0,0
121,What is the address of BRANCH of the company where James Hua is employed?,NEW YORK,3,0,0
121,What is the address of BRANCH of the company where Kitty Sin is employed?,NEW YORK,3,0,0
26,What is the address of BRANCH of the company where Ade Adedeji is employed?,NEW YORK,3,0,0
26,What is the address of BRANCH of the company where Ryan M. Black is employed?,NEW YORK,3,0,0
26,What is the address of BRANCH of the company where Veli-Matti Abohen is employed?,NEW YORK,3,0,0
26,What is the address of BRANCH of the company where Virginia Cosenza is employed?,NEW YORK,3,0,0
26,What is the address of BRANCH of the company where William P. Herold is employed?,NEW YORK,3,0,0
