document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
138,"What types of location is 575 Market Street, Floor 28San Francisco, CA 94105?","Administrative Agent%E2%80%99s Office, business matters",1,0,1
138,"What types of location is PNC Firstside Center500 First Avenue, Fourth FloorPittsburgh, PA 15219?","Administrative Agent%E2%80%99s Office, administrative matters",1,0,1
137,"What types of location is 101 N. Tryon StreetCharlotte, NC 28255?","Domestic Lending Office, Eurodollar Lending Office",1,0,1
137,"What types of location is 1200 Abernathy Rd., Suite 1550Atlanta, GA 30328?","Domestic Lending Office, Eurodollar Lending Office",1,0,1
137,"What types of location is 1420 5th Avenue, PD-WA-T9INSeattle, WA 98101?","Domestic Lending Office, Eurodollar Lending Office",1,0,1
137,"What types of location is 1900 5th Avenue North, 15th Flr.Birmingham, AL 35203?","Domestic Lending Office, Eurodollar Lending Office",1,0,1
137,"What types of location is 200 West Second Street, 16th FloorWinston Salem, NC 27101?","Domestic Lending Office, Eurodollar Lending Office",1,0,1
137,"What types of location is 500 First Ave. %28Mailstop P7-PFSC-04-V%29Pittsburgh, PA 15219?","Domestic Lending Office, Eurodollar Lending Office",1,0,1
137,"What types of location is 710 Carillon ParkwaySt. Petersburg, FL 33716?","Domestic Lending Office, Eurodollar Lending Office",1,0,1
137,"What types of location is Global Loans Administration20 King St. West, 4th FloorToronto, Ontario, CanadaM5H 1C4?","Domestic Lending Office, Eurodollar Lending Office",1,0,1
137,"What types of location is Hanover Street Capital, LLC48 Wall Street, 14th FloorNew York, NY 10005?","Domestic Lending Office, Eurodollar Lending Office",1,0,1
