Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response,multiple_answers,sum_values,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
6,17,"what is the chief executive office office of exgen renewables holdings, llc","il 60603, 49th floorchicago, 10 south dearborn street",2,0,,"10 South Dearborn Street, 49 th Floor Chicago, IL 60603",0,2,0.6666666666666665,0.8867924528301887,0.5101490193104813,5
7,17,"what is the chief executive office office of exgen renewables iv holding, llc","il 60603, 49th floorchicago, 10 south dearborn street",2,0,,"10 South Dearborn Street, 49 th Floor Chicago, IL 60603",0,2,0.6666666666666665,0.8867924528301887,0.5101490193104813,5
947,60,"what role do both pnc capital markets llc and mizuho bank, ltd. have in the agreement",bookrunner,1,1,0.0,Joint Lead Arrangers and Joint Bookrunners,0,2,0.0,0.7619047619047619,0.0,4
1020,60,"who is the executive director of jpmorgan chase bank, n.a",anthony galea,2,0,0.0,Not found,0,2,0.0,0.7692307692307693,0.0,1
1021,60,"who is the senior vice president of leidos holdings, inc.",marc h. crown,2,0,0.0,Not found,0,2,0.0,0.8333333333333334,0.0,1
1022,60,"who is the treasurer of leidos holdings, inc.",marc h. crown,2,0,0.0,Not found,0,2,0.0,0.8333333333333334,0.0,1
1023,60,who is the assistant vice president of regions bank,stephanie herndon,2,0,0.0,Not found,0,2,0.0,0.7647058823529411,0.0,1
1024,60,who is the assistant vice president of bank of the west,caroline smith,2,0,0.0,Not found,0,2,0.0,0.8571428571428571,0.0,1
1025,60,what is the role in the agreement of the company where marc h. crown is employed,holdings,2,0,0.0,Not found,0,2,0.0,0.8888888888888888,0.0,1
1420,66,"who is the director of bank of america, n.a.",ronnie glenn,2,0,0.0,Not found,0,2,0.0,0.75,0.0,1
1421,66,"who is the svp of bank of america, n.a.",ronnie glenn,2,0,0.0,Not found,0,2,0.0,0.75,0.0,1
1422,66,"who is the duly authorized signatory of capital one, national association",karen m. dahlquist,2,0,0.0,Not found,0,2,0.0,0.8235294117647058,0.0,1
1423,66,who is the authorized signer of citibank n.a.,james riley,2,0,0.0,Not found,0,2,0.0,0.9090909090909091,0.0,1
1424,66,"who is the cfo of icu medical, inc.",brian m. bonnell,2,0,0.0,Not found,0,2,0.0,0.7333333333333333,0.0,1
1425,66,"who is the treasurer of icu medical, inc.",brian m. bonnell,2,0,0.0,Not found,0,2,0.0,0.7333333333333333,0.0,1
1426,66,"who is the authorized officer of jpmorgan chase bank, n.a.",erik barragan,2,0,0.0,Not found,0,2,0.0,0.9230769230769231,0.0,1
1427,66,"who is the cfo of exc holding corp.tangent medical technologies, inc.excelsior medical corporationicu world, inc.",brian m. bonnell,2,0,0.0,Not found,0,2,0.0,0.7333333333333333,0.0,1
1428,66,"who is the treasurer of exc holding corp.tangent medical technologies, inc.excelsior medical corporationicu world, inc.",brian m. bonnell,2,0,0.0,Not found,0,2,0.0,0.7333333333333333,0.0,1
1429,66,what is the role in the agreement of the company where karen m. dahlquist is employed,lender,2,0,0.0,Not found,0,2,0.0,1.0,0.0,1
1430,66,what is the role in the agreement of the company where brian m. bonnell is employed,borrower,2,0,0.0,Not found,0,2,0.0,0.7777777777777778,0.0,1
1431,66,what is the role in the agreement of the company where erik barragan is employed,lender,2,0,0.0,Not found,0,2,0.0,1.0,0.0,1
1432,66,what is the role in the agreement of the company where ben snodgrass is employed,lender,2,0,0.0,Not found,0,2,0.0,1.0,0.0,1
1433,66,what is the role in the agreement of the company where tanille ingle is employed,lender,2,0,0.0,Not found,0,2,0.0,1.0,0.0,1
1434,66,what is the role in the agreement of the company where bret douglas is employed,lender,2,0,0.0,Not found,0,2,0.0,1.0,0.0,1
1435,66,what is the role in the agreement of the company where tom priedeman is employed,lender,2,0,0.0,Not found,0,2,0.0,1.0,0.0,1
