document_number,f1_score,edit_distance,cosine_similarity,llm_as_a_judge,num_questions
1,0.0,0.822013101199704,0.0,1.0,11
2,0.019607843137254898,0.8315732306096083,0.029411764705882353,1.088235294117647,34
3,0.47368421052631576,0.48422115895800105,0.504196772186193,3.0,19
4,0.3686868686868687,0.5393556856806682,0.35777082227733437,2.4545454545454546,22
5,0.20555555555555555,0.7095204727298549,0.1918174047729947,1.7333333333333334,15
6,0.3181818181818182,0.6309169278996865,0.29783591623051453,2.272727272727273,11
7,0.45714285714285713,0.4617882117882118,0.43407706683861175,2.8181818181818183,11
8,0.3333333333333333,0.5794558294558294,0.3333333333333333,2.3333333333333335,9
9,0.1663265306122449,0.7095274126143499,0.15783891191052557,1.6285714285714286,35
10,0.43678160919540227,0.5210951177291728,0.43824320253743676,2.689655172413793,29
11,0.020740740740740744,0.8555892678055164,0.015087133492169167,1.1481481481481481,27
12,0.20155038759689922,0.7069614700317645,0.20253611333920152,1.813953488372093,43
13,0.1111111111111111,0.762962962962963,0.1111111111111111,1.4444444444444444,9
14,0.08020833333333333,0.7739753148908433,0.06722263379793547,1.5625,32
15,0.2012987012987013,0.6984551064272426,0.22727272727272732,1.9090909090909092,22
16,0.41327300150829566,0.5046295903681303,0.4269830487650483,2.8461538461538463,13
17,0.2024152082645408,0.6968056891624087,0.20150360094893605,1.9310344827586208,29
18,0.3466178266178266,0.5741135496398654,0.323059462601632,2.28,25
19,0.16300940438871472,0.7410090247804814,0.15794251671298515,1.6551724137931034,29
20,0.1,0.8015246197677159,0.10000000000000002,1.4,10
21,0.16999999999999998,0.7370926230959438,0.179529700442905,1.65,20
22,0.24,0.6598723922552814,0.24000000000000005,1.96,25
23,0.20479797979797978,0.7322243221549474,0.20031657002597586,1.7727272727272727,44
24,0.0,0.8511207660575659,0.0,1.0,45
25,0.4444444444444444,0.39742369582410864,0.4444444444444444,3.111111111111111,18
26,0.16238095238095238,0.7064643872331472,0.14760192178490356,1.7866666666666666,75
27,0.13333333333333333,0.755621841325693,0.13333333333333333,1.5333333333333334,15
28,0.300294476765065,0.6752288825823288,0.30063613043769427,2.1621621621621623,37
29,0.5056728778467909,0.4293558489047092,0.5039783285687703,3.121739130434783,230
30,0.037037037037037035,0.9259837615393172,0.037037037037037035,1.1481481481481481,27
31,0.06750392464678179,0.8145575149298953,0.061623219855267426,1.2653061224489797,49
32,0.26220082323175103,0.6462406819457648,0.25786559565633,2.1752577319587627,97
33,0.09090909090909091,0.7808709181394847,0.09090909090909091,1.3636363636363635,11
34,0.11344211344211343,0.825895776774749,0.09663843807855187,1.5555555555555556,18
35,0.16051900997553173,0.7646232475065255,0.1491995347728459,1.7826086956521738,92
36,0.20555555555555557,0.659658744033744,0.1907529948453283,1.9166666666666667,12
37,0.12997850910034683,0.812872699671929,0.11909720662218827,1.6519337016574585,181
38,0.06323529411764706,0.8004982271410338,0.056723651020423274,1.2794117647058822,68
39,0.27042606516290724,0.6475337634546324,0.27815721706522484,2.0357142857142856,28
40,0.15384615384615385,0.7251357272737822,0.15384615384615385,1.5769230769230769,26
41,0.15942028985507245,0.740306644033613,0.15151088210649297,1.6521739130434783,46
42,0.1869918699186992,0.7209465974612268,0.18487167491555284,1.7560975609756098,41
43,0.0,0.9595959595959596,0.0,1.0,11
44,0.18392496392496394,0.7584003230856777,0.1680305316224043,1.7,30
45,0.3125,0.5969960426099703,0.30878930391966736,2.2,20
46,0.13440860215053763,0.691257144229275,0.1299733899374725,1.7096774193548387,31
47,0.07457627118644068,0.8136051577506966,0.07221280798400447,1.3898305084745763,59
