Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,sum_values,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
0,17,"what is the location of exgen renewables holdings, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,Not found,1,0.0,0.8823529411764706,0.0,1
1,17,"what is the location of exgen renewables iv, llc","md 21231, 1310 point street, 12th floorbaltimore",1,0,0,Not found,1,0.0,0.8913043478260869,0.0,1
2,17,"what is the location of exgen renewables iv holding, llc","il 60603, 49th floorchicago, 10 south dearborn street",1,0,0,Not found,1,0.0,0.8823529411764706,0.0,1
3,17,"what is the location of exelon generation company, llc","dc 20068, 701 ninth street nw, 9th floorwashington",1,0,0,Not found,1,0.0,0.875,0.0,1
4,17,"what is the location of morgan stanley senior funding, inc.","md 21231, 1300 thames street, 4th floorthames street wharfbaltimore",1,0,0,Not found,1,0.0,0.9384615384615385,0.0,1
5,17,what is the location of simpson thacher bartlett llp,"new york, 425 lexington avenue",1,0,0,Not found,1,0.0,0.8275862068965517,0.0,1
6,17,"what is the location of wilmington trust, national association",1100 north market streetwilmington delaware 19890,1,0,0,"1100 North Market Street, Wilmington Delaware 19890",1,0.7692307692307692,0.02,0.6327904583679945,5
7,17,which company is associated with 1100 north market streetwilmington delaware 19890,"wilmington trust, national association",1,0,0,"1100 North Market Street, Wilmington Delaware 19890",1,0.18181818181818182,0.78,0.1059921313509325,1
8,17,"which company is associated with 1300 thames street, 4th floorthames street wharfbaltimore, md 21231","inc., morgan stanley senior funding",1,0,0,"1300 Thames Street, 4th Floor, Thames Street Wharf, Baltimore, MD 21231",1,0.0,0.7910447761194029,0.0,1
9,17,"which company is associated with 1310 point street, 12th floorbaltimore, md 21231","llc, exgen renewables iv",1,0,0,"1310 Point Street, 12th Floor, Baltimore, MD 21231",1,0.0,0.8297872340425532,0.0,1
10,17,"which company is associated with 425 lexington avenue, new york, new york 10017",simpson thacher bartlett llp,1,0,0,"425 Lexington Avenue, New York, New York 10017",1,0.0,0.7954545454545454,0.0,1
11,17,"which company is associated with 701 ninth street nw, 9th floorwashington, dc 20068","llc, exelon generation company",1,0,0,Not found,1,0.0,0.8275862068965517,0.0,1
12,17,"what type of location is 10 south dearborn street, 49th floorchicago, il 60603",chief executive office,1,0,0,"10 South Dearborn Street, 49 th Floor Chicago, IL 60603",1,0.0,0.8490566037735849,0.0,1
13,17,"what is the role of exgen renewables iv, llc in the agreement",borrower,1,0,0,"EXGEN RENEWABLES IV, LLC",1,0.0,0.8695652173913043,0.0,1
14,17,"what is the role of constellation dco albany power holdings, llc in the agreement",grantor,1,0,0,Not found,1,0.0,0.8888888888888888,0.0,1
15,17,"what is the role of exgen renewables iv holding, llc in the agreement",holding,1,0,0,"EXGEN RENEWABLES IV HOLDING, LLC",1,0.33333333333333337,0.7741935483870968,0.3351757433279261,1
16,17,"what is the role of exelon avsr holding, llc in the agreement",grantor,1,0,0,Not found,1,0.0,0.8888888888888888,0.0,1
