document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
117,What companies are the Lender and the Agent but not the Bookrunner in the agreement?,"BANK OF AMERICA, N.A., WELLS FARGO BANK, NATIONAL ASSOCIATION",1,3,1
117,What companies are the Lender and the Agent but not the Arranger in the agreement?,"BANK OF AMERICA, N.A., WELLS FARGO BANK, NATIONAL ASSOCIATION",1,3,1
117,What companies are the Lender and the Agent but not the Administrative Agent in the agreement?,"BANK OF AMERICA, N.A., WELLS FARGO BANK, NATIONAL ASSOCIATION",1,3,1
117,Who is the Executive Director of the company which is the Lender but not the Arranger in the agreement?,Lynn Braun,3,2,0
117,Who is the Executive Director of the company which is the Lender but not the Agent in the agreement?,Lynn Braun,3,2,0
117,Who is the Executive Director of the company which is the Lender but not the Administrative Agent in the agreement?,Lynn Braun,3,2,0
117,Who is the Executive Director of the company which is the Lender but not the Bookrunner in the agreement?,Lynn Braun,3,2,0
115,"Who is the Secretary but not Assistant Secretary, Chief Accounting Officer, President, Treasurer of the company which is the Borrower in the agreement?",Melanie Housey Hart,3,2,0
115,"Who is the Secretary but not Chief Legal Officer, Vice President of the company which is the Borrower in the agreement?",Jennifer M. Neil,3,2,0
115,"Who is the Secretary but not Chief Legal Officer, Vice President of the company where Melanie Housey Hart is employed?",Jennifer M. Neil,3,2,0
115,"Who is the Secretary but not Assistant Secretary, Chief Accounting Officer, President, Treasurer of the company where Jennifer M. Neil is employed?",Melanie Housey Hart,3,2,0
128,Who is the Director but not Market Manager of the company where Gill Skala is employed?,Leni Preciado,3,2,0
128,Who is the Director but not Market Manager of the company where Mario De Luca is employed?,Leni Preciado,3,2,0
11,Who is the Vice President but not Treasurer of the company where Carolyn Kee is employed?,John J. Tus,3,2,0
11,Who is the Vice President but not Treasurer of the company where Virginia Cosenza is employed?,John J. Tus,3,2,0
110,What companies are the Arrangers and the Bookrunners but not the Agent in the agreement?,"JPMORGAN CHASE BANK, N.A., MERRILL LYNCH, PIERCE, FENNER %26 SMITH INCORPORATED, THE BANK OF TOKYO-MITSUBISHI UFJ, LTD., WELLS FARGO SECURITIES, LLC",1,3,1
139,"Who is the Senior Vice President but not Chief Financial Officer, Treasurer of the company where Shivani Agarwal is employed?",Jay A. Brown,3,2,0
