question,answer
What pathogens cause a disease which is treated by levofloxacin and trimethoprim?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by levofloxacin and moxifloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by levofloxacin and ceftriaxone?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by levofloxacin and azithromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by levofloxacin and ciprofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim and levofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim and moxifloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim and ceftriaxone?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim and azithromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by trimethoprim and ciprofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole and vancomycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by metronidazole and fidaxomicin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by moxifloxacin and levofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by moxifloxacin and trimethoprim?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by moxifloxacin and ceftriaxone?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by moxifloxacin and azithromycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by moxifloxacin and ciprofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin and metronidazole?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by vancomycin and fidaxomicin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone and levofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone and trimethoprim?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone and moxifloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone and doxycycline?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone and aminoglycoside?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone and azithromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone and ciprofloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by ceftriaxone and erythromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline and ceftriaxone?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline and aminoglycoside?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline and azithromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline and ciprofloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by doxycycline and erythromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin and metronidazole?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by fidaxomicin and vancomycin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside and ceftriaxone?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside and doxycycline?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside and azithromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside and ciprofloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by aminoglycoside and erythromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin and levofloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin and trimethoprim?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin and moxifloxacin?,"campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin and ceftriaxone?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin and doxycycline?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin and aminoglycoside?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin and ciprofloxacin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
What pathogens cause a disease which is treated by azithromycin and erythromycin?,"bartonella,campylobacter,escherichia coli,salmonella,shigella"
