document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What companies are both the grantor and pledgor in the agreement?,exgen renewables iv llc,1,1,1
17,What companies are both the grantor and borrower in the agreement?,exgen renewables iv llc,1,1,1
17,What companies are both the pledgor and borrower in the agreement?,exgen renewables iv llc,1,1,1
17,What companies are both the bookrunner and documentation agent in the agreement?,morgan stanley senior funding inc,1,1,1
17,What companies are both the bookrunner and lead arranger in the agreement?,morgan stanley senior funding inc,1,1,1
17,What companies are both the bookrunner and syndication agent in the agreement?,morgan stanley senior funding inc,1,1,1
17,What companies are both the documentation agent and lead arranger in the agreement?,morgan stanley senior funding inc,1,1,1
17,What companies are both the documentation agent and syndication agent in the agreement?,morgan stanley senior funding inc,1,1,1
17,What companies are both the lead arranger and syndication agent in the agreement?,morgan stanley senior funding inc,1,1,1
17,What companies are both the collateral wilmington trust national association agent and depositary bank in the agreement?,wilmington trust national association,1,1,1
17,What companies are both the collateral wilmington trust national association agent and collateral agent in the agreement?,wilmington trust national association,1,1,1
17,What companies are both the depositary bank and collateral agent in the agreement?,wilmington trust national association,1,1,1
102,What companies are both the borrowers and administrative borrower in the agreement?,digirad corporation,1,1,1
102,What companies are both the administrative agent and book runner in the agreement?,wells fargo bank national association,1,1,1
102,What companies are both the arranger and administrative agent in the agreement?,wells fargo bank national association,1,1,1
102,What companies are both the administrative agent and sole book runner in the agreement?,wells fargo bank national association,1,1,1
102,What companies are both the lender and administrative agent in the agreement?,wells fargo bank national association,1,1,1
102,What companies are both the arranger and book runner in the agreement?,wells fargo bank national association,1,1,1
102,What companies are both the sole book runner and book runner in the agreement?,wells fargo bank national association,1,1,1
102,What companies are both the lender and book runner in the agreement?,wells fargo bank national association,1,1,1
102,What companies are both the arranger and sole book runner in the agreement?,wells fargo bank national association,1,1,1
102,What companies are both the arranger and lender in the agreement?,wells fargo bank national association,1,1,1
102,What companies are both the lender and sole book runner in the agreement?,wells fargo bank national association,1,1,1
116,What companies are both the arranger and administrative agent in the agreement?,cibc bank usa,1,1,1
116,What companies are both the arranger and issuing lender in the agreement?,cibc bank usa,1,1,1
116,What companies are both the administrative agent and issuing lender in the agreement?,cibc bank usa,1,1,1
117,What companies are both the lender and syndication agent in the agreement?,bank of america na,1,1,1
117,What companies are both the arranger and administrative agent in the agreement?,jpmorgan chase bank na,1,1,1
117,What companies are both the bookrunner and administrative agent in the agreement?,jpmorgan chase bank na,1,1,1
117,What companies are both the swing line lender and administrative agent in the agreement?,jpmorgan chase bank na,1,1,1
117,What companies are both the administrative agent and issuing lender in the agreement?,jpmorgan chase bank na,1,1,1
117,What companies are both the arranger and bookrunner in the agreement?,jpmorgan chase bank na,1,1,1
117,What companies are both the arranger and swing line lender in the agreement?,jpmorgan chase bank na,1,1,1
117,What companies are both the arranger and issuing lender in the agreement?,jpmorgan chase bank na,1,1,1
117,What companies are both the swing line lender and bookrunner in the agreement?,jpmorgan chase bank na,1,1,1
117,What companies are both the bookrunner and issuing lender in the agreement?,jpmorgan chase bank na,1,1,1
117,What companies are both the swing line lender and issuing lender in the agreement?,jpmorgan chase bank na,1,1,1
117,What companies are both the lender and agent in the agreement?,wells fargo bank national association,1,1,1
103,What companies are both the lender and administrative agent in the agreement?,botticelli llc,1,1,1
16,What companies are both the lender and term agent in the agreement?,crystal financial llc,1,1,1
28,What companies are both the lender and agent in the agreement?,"akin gump strauss hauer and feld llp, pharmakon advisors lp",1,1,1
28,What companies are both the investment manager and lender in the agreement?,pharmakon advisors lp,1,1,1
