Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response,multiple_answers,sum_values,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
228,60,who is both the senior vice president and treasurer of the company which is the holdings in the agreement,marc h. crown,3,1,0.0,Marc H. Crown,0,4,1.0,0.0,1.0000000000000002,5
981,60,"who is the senior vice president and treasurer of leidos holdings, inc.",marc h. crown,2,1,,Marc H. Crown,0,3,1.0,0.0,1.0000000000000002,5
982,60,who is the assistant vice president of the company where harry yergey is employed,caroline smith,3,0,,Caroline Smith,0,3,1.0,0.0,1.0000000000000002,5
983,60,who is the assistant vice president of the company where michael maguire is employed,caroline smith,3,0,,Not found,0,3,0.0,0.8571428571428571,0.0,1
984,60,who is the assistant vice president of the company where patrick hartweger is employed,caroline smith,3,0,,Not found,0,3,0.0,0.8571428571428571,0.0,1
991,60,"what role does bank of montreal have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Documentation Agent,0,3,0.0,0.7894736842105263,0.0,1
992,60,"what role does bofa securities, inc. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Joint Lead Arranger and Joint Bookrunner,0,3,0.0,0.775,0.0,3
993,60,"what role does citibank, n.a. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Administrative Agent,0,3,0.0,0.9,0.0,1
994,60,"what role does jpmorgan chase bank, n.a. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Documentation Agent,0,3,0.0,0.7894736842105263,0.0,1
995,60,"what role does mufg bank, ltd. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Syndication Agent,0,3,0.0,0.8823529411764706,0.0,1
996,60,"what role does u.s. bank national association have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Documentation Agent,0,3,0.0,0.7894736842105263,0.0,1
997,60,"what role does wells fargo securities llc have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,,Joint Lead Arranger and Joint Bookrunner,0,3,0.0,0.775,0.0,4
1149,66,"who is the director and svp of bank of america, n.a.",ronnie glenn,2,1,,Sebastian Lurie,0,3,0.0,0.8666666666666667,0.0,1
1150,66,"who is the cfo and treasurer of icu medical, inc.",brian m. bonnell,2,1,,Brian M. Bonnell,0,3,1.0,0.0,1.0000000000000002,5
