Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,f1_score,edit_distance,cosine_similarity
112,66,who is the authorized signer of the company which is the issuing lender but not the revolver in the agreement,james riley,3,2,0,"Citibank, N.A.",0.0,0.0,0.0
113,66,who is the authorized signer of the company which is the term loan a lender but not the revolver in the agreement,james riley,3,2,0,Citibank N.A.,0.0,0.0,0.0
114,66,who is the authorized signer of the company which is the swingline lender but not the revolver in the agreement,james riley,3,2,0,"Wells Fargo Bank, National Association",0.0,0.1351351351351351,0.0
164,47,who is the vice president of the company which is the lender but not the co syndication agents in the agreement,bremmer kneib,3,2,0,Deutsche Bank AG New York Branch,0.0,0.15625,0.0
165,47,who is the director of the company which is the co syndication agents but not the bookrunners in the agreement,brian mcnany,3,2,0,Not found,0.0,0.16666666666666663,0.0
166,47,who is the director of the company which is the lender but not the bookrunners in the agreement,brian mcnany,3,2,0,Not found,0.0,0.16666666666666663,0.0
167,47,who is the director of the company which is the lender but not the co syndication agents in the agreement,brian mcnany,3,2,0,Not found,0.0,0.16666666666666663,0.0
168,47,"who is the managing director of the company which is the lender but not the administrative agent, in the agreement",kirk tesch,3,2,0,Brian McNany,0.0,0.16666666666666663,0.0
182,51,who is the vice president of the company which is the collateral agent but not the lead arrangers in the agreement,cody gunsch,3,2,0,"MUFG Union Bank, N.A.",0.0,0.11111111111111116,0.0
183,51,who is the vice president of the company which is the collateral agent but not the bookrunners in the agreement,cody gunsch,3,2,0,"MUFG Union Bank, N.A.",0.0,0.11111111111111116,0.0
184,51,who is the vice president of the company which is the collateral agent but not the lender in the agreement,cody gunsch,3,2,0,"MUFG Union Bank, N.A. is the collateral agent in the agreement. The vice president mentioned in the signature block for MUFG Union Bank, N.A. is Sonia N. Flores. 

Answer:
Sonia N. Flores",0.0,0.04571428571428571,0.0
185,51,who is the vice president of the company which is the administrative agent but not the lead arrangers in the agreement,cody gunsch,3,2,0,Zamir Rauf,0.0,0.0,0.0
186,51,who is the vice president of the company which is the administrative agent but not the bookrunners in the agreement,cody gunsch,3,2,0,Zamir Rauf,0.0,0.0,0.0
187,51,who is the vice president of the company which is the administrative agent but not the lender in the agreement,cody gunsch,3,2,0,Zamir Rauf,0.0,0.0,0.0
353,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by fifth third bank, national association","bookrunner, book manager, lead arranger",1,3,1,Joint Lead Arrangers and Joint Bookrunners,0.20000000000000004,0.2142857142857143,0.08704446792504217
354,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by goldman sachs bank usa","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the following roles and subroles in the agreement that are not held by Goldman Sachs Bank USA:

1. Joint Lead Arrangers and Joint Bookrunners
2. Documentation Agents",0.05714285714285715,0.14832535885167464,0.03574720087172336
355,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by pnc bank, national association","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the following roles and subroles in the agreement that are not held by PNC Bank, National Association:

1. Joint Lead Arrangers and Joint Bookrunners

PNC Bank, National Association is listed as a Documentation Agent and does not hold the Joint Lead Arranger and Joint Bookrunner roles.",0.1395348837209302,0.10703363914373087,0.105330622636956
356,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the following roles and subroles in the agreement that are not held by PNC Capital Markets LLC:

1. **Joint Lead Arrangers and Joint Bookrunners**  
   - Both Bank of Montreal and BofA Securities, Inc. are listed as Joint Lead Arrangers and Joint Bookrunners for the credit facilities established under the agreement.  
   - PNC Capital Markets LLC is also a Joint Lead Arranger and Joint Bookrunner, so this role is shared by all three entities.  

2. **Documentation Agents**  
   - Bank of Montreal is listed as a Documentation Agent.  
   - BofA Securities, Inc. is not explicitly listed as a Documentation Agent, but its affiliate, Bank of America, N.A., is a Documentation Agent.  
   - PNC Capital Markets LLC is not listed as a Documentation Agent, but its affiliate, PNC Bank, National Association, is a Documentation Agent.  

Thus, the key distinction is that **Bank of Montreal** (directly) and **Bank of America, N.A.** (affiliate of BofA Securities, Inc.) serve as **Documentation Agents**, while **PNC Capital Markets LLC** does not hold this role (though its affiliate, PNC Bank, National Association, does).  

In summary, the roles **not shared with PNC Capital Markets LLC** are:  
- **Bank of Montreal** as a **Documentation Agent**.  
- **Bank of America, N.A.** (affiliate of BofA Securities, Inc.) as a **Documentation Agent**.  

PNC Capital Markets LLC is only a **Joint Lead Arranger and Joint Bookrunner**, not a Documentation Agent.",0.06593406593406592,0.02059659090909094,0.1031392592544446
357,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by td bank, n.a.","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the following roles and subroles in the agreement that are not held by TD Bank, N.A.:

1. Joint Lead Arrangers and Joint Bookrunners
2. Documentation Agents",0.0588235294117647,0.15736040609137059,0.03615569527156742
358,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by wells fargo bank, national association","bookrunner, book manager, lead arranger",1,3,1,Joint Lead Arrangers and Joint Bookrunners,0.20000000000000004,0.2142857142857143,0.08704446792504217
359,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by jpmorgan chase bank, n.a","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the following roles and subroles in the agreement that are not held by JPMorgan Chase Bank, N.A.:

1. **Joint Lead Arrangers and Joint Bookrunners**  
   - Bank of Montreal  
   - BofA Securities, Inc.  

2. **Documentation Agents**  
   - Bank of Montreal  
   - BofA Securities, Inc.  

JPMorgan Chase Bank, N.A. is listed as a **Joint Lead Arranger and Joint Bookrunner** but does not hold the **Documentation Agent** role.",0.08333333333333333,0.08470588235294119,0.08669787187545049
360,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by regions bank","bookrunner, book manager, lead arranger",1,3,1,"Bank of Montreal and BofA Securities, Inc. share the following roles and subroles in the agreement that are not held by Regions Bank:

1. **Joint Lead Arrangers and Joint Bookrunners**  
   - Bank of Montreal  
   - BofA Securities, Inc.  

2. **Documentation Agents**  
   - Bank of Montreal  
   - BofA Securities, Inc.  

Regions Bank does not hold either of these roles. Instead, Regions Bank is listed as a **Senior Managing Agent**, a role not shared with Bank of Montreal or BofA Securities, Inc.",0.0392156862745098,0.07692307692307687,0.01663565871017969
361,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by mizuho bank, ltd.","bookrunner, book manager, lead arranger",1,3,1,Joint Lead Arrangers and Joint Bookrunners,0.20000000000000004,0.2142857142857143,0.08704446792504217
362,60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by fifth third bank, national association","bookrunner, book manager, lead arranger",1,3,1,"Roles and subroles shared by Bank of Montreal and Citibank, N.A. that are not held by Fifth Third Bank, National Association:
1. Joint Lead Arrangers and Joint Bookrunners (Bank of Montreal and Citibank, N.A. are both listed in this capacity, while Fifth Third Bank is not)
2. Documentation Agents (Bank of Montreal is listed as a Documentation Agent, and Citibank, N.A. is the Administrative Agent, while Fifth Third Bank is not in either role)
3. Syndication Agent (Citibank, N.A. is the Administrative Agent, and MUFG Bank, Ltd. is the Syndication Agent, but Bank of Montreal is not in this role; however, Fifth Third Bank is not in any of these roles)",0.034482758620689655,0.058637083993660855,0.011574719403621437
363,60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by goldman sachs bank usa","bookrunner, book manager, lead arranger",1,3,1,"Roles and subroles shared by Bank of Montreal and Citibank, N.A. in the agreement that are not held by Goldman Sachs Bank USA:

1. Joint Lead Arrangers and Joint Bookrunners
2. Documentation Agents",0.06060606060606061,0.15706806282722519,0.03657852151778796
364,60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by pnc bank, national association","bookrunner, book manager, lead arranger",1,3,1,"Roles and subroles shared by Bank of Montreal and Citibank, N.A. that are not held by PNC Bank, National Association:

1. Joint Lead Arrangers and Joint Bookrunners
2. Documentation Agents",0.06666666666666667,0.15469613259668513,0.0379419495439416
365,60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by pnc capital markets llc","lead arranger, lead bookrunner",1,3,1,"Roles and subroles shared by Bank of Montreal and Citibank, N.A. in the agreement that are not held by PNC Capital Markets LLC:

1. **Joint Lead Arrangers and Joint Bookrunners**  
   - Bank of Montreal and Citibank, N.A. are both listed as Joint Lead Arrangers and Joint Bookrunners.  
   - PNC Capital Markets LLC is also a Joint Lead Arranger and Joint Bookrunner, so this role is not exclusive to Bank of Montreal and Citibank, N.A.  

2. **Documentation Agents**  
   - Bank of Montreal is a Documentation Agent.  
   - Citibank, N.A. is not listed as a Documentation Agent.  

3. **Administrative Agent**  
   - Citibank, N.A. is the Administrative Agent.  
   - Bank of Montreal is not the Administrative Agent.  

4. **Syndication Agent**  
   - MUFG Bank, Ltd. is the Syndication Agent, not Bank of Montreal or Citibank, N.A.  

5. **Senior Managing Agents**  
   - Fifth Third Bank, Goldman Sachs Bank USA, Regions Bank, and TD Bank, N.A. are Senior Managing Agents.  
   - Neither Bank of Montreal nor Citibank, N.A. holds this role.  

### **Exclusive Shared Roles (Not Held by PNC Capital Markets LLC)**  
There are **no roles** that **only** Bank of Montreal and Citibank, N.A. share that PNC Capital Markets LLC does not also hold.  

### **Conclusion**  
- Both Bank of Montreal and Citibank, N.A. are **Joint Lead Arrangers and Joint Bookrunners**, but PNC Capital Markets LLC also holds this role.  
- They do **not** share any other roles exclusively.  
- Citibank, N.A. is the **Administrative Agent**, while Bank of Montreal is a **Documentation Agent**, but these are separate roles.  

Thus, **there are no shared roles between Bank of Montreal and Citibank, N.A. that PNC Capital Markets LLC does not also hold**.",0.05882352941176471,0.01842439644218552,0.07059296323250172
366,60,"what are the roles and subroles that bank of montreal and citibank, n.a. share in the agreement that are not held by td bank, n.a.","bookrunner, book manager, lead arranger",1,3,1,"Joint Lead Arrangers and Joint Bookrunners
Documentation Agents",0.16666666666666666,0.25396825396825395,0.07734781234369076
