document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,"What is the location of ExGen Renewables Holdings, LLC?","10 South Dearborn Street, 49th FloorChicago, IL 60603",1,0,0
17,"What is the location of ExGen Renewables IV, LLC?","1310 Point Street, 12th FloorBaltimore, MD 21231",1,0,0
17,"What is the location of ExGen Renewables IV Holding, LLC?","10 South Dearborn Street, 49th FloorChicago, IL 60603",1,0,0
17,"What is the location of Exelon Generation Company, LLC?","701 Ninth Street NW, 9th FloorWashington, DC 20068",1,0,0
17,"What is the location of Morgan Stanley Senior Funding, Inc.?","1300 Thames Street, 4th FloorThames Street WharfBaltimore, MD 21231",1,0,0
17,What is the location of Simpson Thacher %26 Bartlett LLP?,"425 Lexington Avenue, New York, New York 10017",1,0,0
17,"What is the location of Wilmington Trust, National Association?",1100 North Market StreetWilmington Delaware 19890,1,0,0
102,What is the location of OLSHAN FROME WOLOSKY LLP?,"65 East 55th Street New York, NY 10022",1,0,0
102,What is the location of DIGIRAD CORPORATION?,"1048 Industrial Court, Suite E Suwanee, GA 30024",1,0,0
102,"What is the location of WELLS FARGO BANK, NATIONAL ASSOCIATION?","2450 Colorado Avenue, Suite 3000 WestSanta Monica, CA 90404",1,0,0
102,What is the location of PAUL HASTINGS LLP?,"695 Town Center Drive, 17th Floor Costa Mesa, CA 92626",1,0,0
117,What is the location of Columbia Sportswear Company?,"14375 NW Science Park DrivePortland, OR 97229",1,0,0
103,"What is the location of Botticelli LLCc%2Fo Angelo, Gordon %26 Co., LP?","245 Park Avenue, 26th FloorNew York, New York 10167",1,0,0
103,What is the location of Claire%C2%92s %28Gibraltar%29 Holdings Limited?,"3 SW 129th AvenueSuite 400Pembroke Pines, FL 33027",1,0,0
103,What is the location of Cortland Capital Market Services LLC?,"225 W. Washington Street, 21st FloorChicago, IL 60606",1,0,0
16,What is the location of Crystal Financial LLC?,"Two International Place, 17th Floor%09  %09 %09Boston, MA 02110",1,0,0
28,What is the location of BIOPHARMA CREDIT PLC?,51 New North RoadExeter EX4 4EPUnited Kingdom,1,0,0
28,What is the location of BioPharma Credit PLC?,51 New North Road %09Exeter EX4 4EP %09United Kingdom,1,0,0
28,What is the location of Akin Gump Strauss Hauer %26 Feld LLP?,"One Bryant Park %09New York, NY 10036-6745",1,0,0
28,What is the location of BIOPHARMA CREDIT INVESTMENTS V %28MASTER%29 LP?,"Cayman Corporate Centre, 27 Hospital Road,George Town, Grand Cayman KY1-9008",1,0,0
28,What is the location of Pepper Hamilton LLP?,"3000 Two Logan Square %09Philadelphia, PA 19103",1,0,0
28,What is the location of Pharmakon Advisors LP?,"110 East 59th Street, %233300 %09New York, NY 10022",1,0,0
28,"What is the location of Collegium Pharmaceutical, Inc.?","100 Technology Center Drive, Suite 300 %09Stoughton, MA 02072",1,0,0
129,What is the location of Federal Reserve System?,United States of America,1,0,0
129,What is the location of Graham Corporation?,"20 Florence AvenueBatavia, New York 14020",1,0,0
129,What is the location of Harter Secrest %26 Emery LLP?,"1600 Bausch %26 Lomb PlaceRochester, New York 14606",1,0,0
129,"What is the location of JPMorgan Chase Bank, N.A.?","1 South Clinton Avenue, Floor 7Rochester, NY 14604",1,0,0
100,"What is the location of Wells Fargo Bank, National Association?","400 Hamilton Ave., Suite 110Palo Alto, CA 94301",1,0,0
100,"What is the location of Omnicell, Inc.?","590 E. Middlefield RoadMountain View, CA 94043-4008",1,0,0
100,What is the location of Latham %26 Watkins LLP?,"12670 High Bluff DriveSan Diego, California  92103",1,0,0
114,What is the location of MODUSLINK CORPORATION?,"ModusLink Corporation1601 Trapelo Road, Suite 170Waltham, Massachusetts 02451",1,0,0
114,What is the location of MidCap Financial Services?,"7255 Woodmont Avenue, Suite 200Bethesda, Maryland 20814",1,0,0
128,"What is the location of F5 Networks, Inc.?","801 5th Avenue, Seattle, Washington 98104",1,0,0
128,"What is the location of JPMorgan Chase Bank, N.A.?","JPMorgan Loan Services, 500 Stanton Christiana Road, NCC5, Floor 1, Newark, DE 19713",1,0,0
29,What is the location of AX IV Holding III ApS?,Denmark,1,0,0
29,What is the location of AX IV Holding II ApS?,Denmark,1,0,0
29,What is the location of Advantage Payroll Services Inc.?,Delaware,1,0,0
29,"What is the location of CSM, Inc.?",Tennessee,1,0,0
29,"What is the location of Century II ASO, Inc.?",Tennessee,1,0,0
29,"What is the location of Century II Services, Inc.?",Tennessee,1,0,0
29,"What is the location of Century II Staffing, Inc.?",Tennessee,1,0,0
29,"What is the location of Century II Staffing, USA, Inc.?",Tennessee,1,0,0
29,"What is the location of Century II Staffing TN, Inc.?",Tennessee,1,0,0
29,"What is the location of DHR Insurance Services, LLC?",Delaware,1,0,0
29,"What is the location of DHR Services Holdings, LLC?",Delaware,1,0,0
29,"What is the location of DHR of Florida I, LLC?",Florida,1,0,0
29,What is the location of Danske L%C3%B8nsystemer A%2FS?,Denmark,1,0,0
29,"What is the location of ESG Achievement, Inc.?",Utah,1,0,0
29,"What is the location of ESG Administration, Inc?",Utah,1,0,0
29,"What is the location of ESG Assistance, Inc.?",Utah,1,0,0
29,"What is the location of ESG Consulting, Inc.?",Utah,1,0,0
29,"What is the location of ESG Consulting II, LLC?",Utah,1,0,0
29,"What is the location of ESG Direction, Inc.?",Utah,1,0,0
29,"What is the location of ESG Entities, Inc.?",Utah,1,0,0
29,"What is the location of ESG Entities II, LLC?",Utah,1,0,0
29,"What is the location of ESG Fulfillment, Inc.?",Utah,1,0,0
29,"What is the location of ESG Insurance, Inc.?",Utah,1,0,0
29,"What is the location of ESG Management, Inc.?",Utah,1,0,0
29,"What is the location of ESG Offerings, Inc.?",Utah,1,0,0
29,"What is the location of ESG PEO, Inc.?",Utah,1,0,0
29,"What is the location of ESG Services, Inc.?",Utah,1,0,0
29,"What is the location of ESG Success, Inc.?",Utah,1,0,0
29,"What is the location of ESG Supervision, Inc.?",Utah,1,0,0
29,"What is the location of ESSG, Inc.?",Utah,1,0,0
29,"What is the location of Employer%27s Alliance, LLC?",Florida,1,0,0
29,"What is the location of Employer%27s Alliance III, LLC?",Florida,1,0,0
29,"What is the location of Employer%27s Alliance IV, LLC?",Florida,1,0,0
29,"What is the location of Employer%27s Alliance IX, LLC?",Florida,1,0,0
29,"What is the location of Employer%27s Alliance V, LLC?",Florida,1,0,0
29,"What is the location of Employer%27s Alliance VI, LLC?",Florida,1,0,0
29,"What is the location of Employer%27s Alliance VII, LLC?",Florida,1,0,0
29,"What is the location of Employer%27s Alliance VIII, LLC?",Florida,1,0,0
29,"What is the location of Employer%27s Select, LLC?",Florida,1,0,0
29,"What is the location of Employer Solutions Group, Inc.?",Utah,1,0,0
29,"What is the location of Employer Solutions Group of SLC, Inc.?",Utah,1,0,0
29,"What is the location of Employer Solutions Group of Utah, Inc.?",Utah,1,0,0
29,"What is the location of Employer Solutions Group of Utah II, Inc.?",Utah,1,0,0
29,"What is the location of Employers Insurance Group, LLC?",New Mexico,1,0,0
29,"What is the location of Employers Solutions Group of Idaho, Inc.?",Idaho,1,0,0
29,What is the location of Expense Wire LLC?,Ohio,1,0,0
29,"What is the location of Fast 401k, Inc. d%2Fb%2Fa ePlan Services Inc.?",Delaware,1,0,0
29,"What is the location of Fortune Financial, Inc?",Florida,1,0,0
29,What is the location of Fortune Industries?,Delaware,1,0,0
29,"What is the location of Fortune Insurance Solutions, LLC?",Florida,1,0,0
29,"What is the location of Fortune PEO, LLC?",Florida,1,0,0
29,"What is the location of Fortune PEO Acquisitions, LLC?",Florida,1,0,0
29,"What is the location of Gordian Capital Holdings, Inc.?",Delaware,1,0,0
29,"What is the location of Gordian HR, LLC %28ASO%29?",Delaware,1,0,0
29,"What is the location of HRSmarter I,LLC?",Florida,1,0,0
29,"What is the location of HRSmarter II, LLC?",Florida,1,0,0
29,"What is the location of HRSmarter III,LLC?",Florida,1,0,0
29,"What is the location of HRSmarter IV,LLC?",Florida,1,0,0
29,"What is the location of HRSmarter IX,LLC?",Florida,1,0,0
29,"What is the location of HRSmarter V,LLC?",Florida,1,0,0
29,"What is the location of HRSmarter VI,LLC?",Florida,1,0,0
29,"What is the location of HRSmarter VII,LLC?",Florida,1,0,0
29,"What is the location of HRSmarter VIII,LLC?",Florida,1,0,0
29,"What is the location of HRSmarter X,LLC?",Florida,1,0,0
29,"What is the location of HR Outsourcing, Inc.?",Georgia,1,0,0
29,"What is the location of HR Outsourcing, LLC?",Delaware,1,0,0
29,"What is the location of HR Outsourcing ASO, LLC?",Delaware,1,0,0
29,"What is the location of HR Outsourcing Associates, LLC?",Delaware,1,0,0
29,"What is the location of HR Outsourcing Consultants, LLC?",Delaware,1,0,0
29,"What is the location of HR Outsourcing Development, LLC?",Delaware,1,0,0
29,"What is the location of HR Outsourcing Enterprises, LLC?",Georgia,1,0,0
29,"What is the location of HR Outsourcing Group, LLC?",Delaware,1,0,0
29,"What is the location of HR Outsourcing Processing, LLC?",Nevada,1,0,0
29,"What is the location of HR Outsourcing Services, LLC?",Delaware,1,0,0
29,What is the location of HR Services Inc. d%2Fb%2Fa My Staffing Pro?,Ohio,1,0,0
29,What is the location of Hispanomina %28SP%29?,Spain,1,0,0
29,What is the location of Ipayroll Holding ApS?,Denmark,1,0,0
29,"What is the location of King Employee Services, Inc.?",Florida,1,0,0
29,What is the location of LESSOR A%2FS %28DK%29?,Denmark,1,0,0
29,What is the location of Latweplace sp z.o.o. %28PL%29?,Poland,1,0,0
29,What is the location of Lessor GmbH %28DE%29?,Germany,1,0,0
29,What is the location of Lessor Group ApS?,Denmark,1,0,0
29,What is the location of Lessor Holding ApS?,Denmark,1,0,0
29,"What is the location of Nettime Solutions, L.L.C.?",Arizona,1,0,0
29,What is the location of New Dawn Holding ApS?,Denmark,1,0,0
29,What is the location of Norl%C3%B8nn AS %28NO%29?,Norway,1,0,0
29,"What is the location of Oasis AHR, Inc.?",Iowa,1,0,0
29,"What is the location of Oasis AHR HRC, LLC?",Colorado,1,0,0
29,"What is the location of Oasis AHR Holdings, Inc.?",Delaware,1,0,0
29,"What is the location of Oasis AHR I, Inc.?",Florida,1,0,0
29,"What is the location of Oasis AHR II, Inc.?",Iowa,1,0,0
29,"What is the location of Oasis AHR III, Inc.?",Iowa,1,0,0
29,"What is the location of Oasis AHR PL, LLC?",Colorado,1,0,0
29,"What is the location of Oasis Acquisition, Inc.?",Delaware,1,0,0
29,"What is the location of Oasis Advisory Services, Inc.?",Florida,1,0,0
29,"What is the location of Oasis DEG, Inc.?",Minnesota,1,0,0
29,"What is the location of Oasis DEG ASO, Inc.?",Minnesota,1,0,0
29,"What is the location of Oasis DHR, LLC?",Delaware,1,0,0
29,"What is the location of Oasis Employment Services, Inc.?",Delaware,1,0,0
29,"What is the location of Oasis HR Solutions III, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing, Inc.?",Florida,1,0,0
29,What is the location of Oasis Outsourcing Acquisition Corporation?,Delaware,1,0,0
29,"What is the location of Oasis Outsourcing Admin, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing Admin. II, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing Admin Group, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing Benefits III, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing Contract, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing Contract Group, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing Contract II, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing Contract III, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing Contract IV, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing Contract VII, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing HR, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing Holdings, Inc.?",Delaware,1,0,0
29,"What is the location of Oasis Outsourcing III, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing IX, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing TX, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing V, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Outsourcing VI, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Payroll Services, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Staffing, Inc.?",Florida,1,0,0
29,"What is the location of Oasis Staffing II, Inc.?",Florida,1,0,0
29,"What is the location of PBS of America, LLC?",Florida,1,0,0
29,"What is the location of PBS of Central Florida, LLC?",Florida,1,0,0
