document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
117,Who is both the Chief Financial Officer and Executive Vice President of the company which is the Borrower in the agreement?,Jim A. Swanson,3,1,0
16,Who is both the Chief Executive Officer and President of the company which is the BORROWER in the agreement?,Ian W. Estus,3,1,0
28,Who is both the CEO and Managing Member of the company which is the Lender in the agreement?,Pedro Gonzalez de Cosio,3,1,0
28,Who is both the Chief Executive Officer and President of the company which is the Borrower in the agreement?,Joseph Ciaffoni,3,1,0
28,Who is both the CEO and Managing Member of the company which is the Agent in the agreement?,Pedro Gonzalez de Cosio,3,1,0
100,Who is both the Chief Financial Officer and Executive Vice President of the company which is the Borrower in the agreement?,Peter Kuipers,3,1,0
100,Who is both the Chief Legal and Administrative Officer and Vice President of the company which is the Borrower in the agreement?,Dan Johnston,3,1,0
11,"Who is both the Treasurer and Vice President of the company which is the Borrower, in the agreement?",John J. Tus,3,1,0
139,Who is both the Authorized Signatory and Vice President of the company which is the Lender in the agreement?,Michael King,3,1,0
10,Who is both the Chief Financial Officer and Treasuruer of the company which is the Borrower in the agreement?,Terence F. Sullivan,3,1,0
12,Who is both the Global Treasurer and Senior Vice President of the company which is the Borrower in the agreement?,Aidan Clare,3,1,0
13,"Who is both the Chief Financial Officer and Executive Vice President of the company which is the Borrower, in the agreement?",Tracy D. Jackson,3,1,0
60,Who is both the Senior Vice President and Treasurer of the company which is the Holdings in the agreement?,Marc H. Crown,3,1,0
149,Who is both the Executive Vice President and Secretary of the company which is the Borrower in the agreement?,Seth Burroughs,3,1,0
49,Who is both the Chief Executive and Chief Executive Officer of the company which is the GUARANTORS in the agreement?,Michael Buckley,3,1,0
61,"Who is both the Treasurer and Vice President, Tax %26 Treasury of the company which is the BORROWER in the agreement?",Brian L. Shytle,3,1,0
88,Who is both the Chief Financial Officer and President of the company which is the liability company in the agreement?,R. Scott Turicchi,3,1,0
162,Who is both the Corporate Secretary and President of the company which is the Guarantor in the agreement?,Mark D. Andrews,3,1,0
162,Who is both the President and Secretary of the company which is the Guarantor in the agreement?,Michael J. Niedermaier,3,1,0
62,Who is both the Chief Financial Officer and Senior Vice President of the company which is the Borrower in the agreement?,Gretchen L. Holloway,3,1,0
72,Who is both the Treasurer and Vice President of the company which is the Initial Borrower in the agreement?,Craig A. Douglas,3,1,0
66,Who is both the Director and SVP of the company which is the Lender in the agreement?,Ronnie Glenn,3,1,0
66,Who is both the CFO and Treasurer of the company which is the Borrower in the agreement?,Brian M. Bonnell,3,1,0
99,Who is both the Chief Manager and President of the company which is the Guarantor in the agreement?,Nick Flanagan,3,1,0
99,Who is both the President and Treasurer of the company which is the Guarantor in the agreement?,Doug Couvillion,3,1,0
67,Who is both the CEO and Managing Member of the company which is the Agent in the agreement?,Pedro Gonzalez de Cosio,3,1,0
71,Who is both the Chief Financial Officer and Senior Executive Vice President of the company which is the Borrower in the agreement?,Paul M. Todd,3,1,0
170,Who is both the treasurer and vice president of the company which is the Borrower in the agreement?,Richard Lautch,3,1,0
58,Who is both the Chief Executive Officer and President of the company which is the GUARANTORS in the agreement?,Dennis M. Lanfear,3,1,0
41,Who is both the General Counsel and Senior Vice President of the company which is the Borrower in the agreement?,Martin H. Dodd,3,1,0
55,Who is both the Chief and Executive Vice President of the company which is the Borrower in the agreement?,J. Larry Sorsby,3,1,0
69,Who is both the Chief Executive Officer and Manager of the company which is the SUBSIDIARY GUARANTORS%3A in the agreement?,Michael Shustek,3,1,0
82,Who is both the Treasurer and Vice President of the company which is the Borrower in the agreement?,David C. Francisco,3,1,0
168,Who is both the Treasurer and Vice President of the company which is the Borrower in the agreement?,Robert T. Paternostro,3,1,0
6,Who is both the Deputy Branch Manager and Vice President of the company which is the Lender in the agreement?,Ying Chen,3,1,0
54,Who is both the Managing Director and Senior Vice President of the company which is the Borrower in the agreement?,Jonathan Olsen,3,1,0
56,"Who is both the Executive Vice President, General Counsel and Secretary of the company which is the Borrower in the agreement?",Paul M. Robinson,3,1,0
143,Who is both the Chief Financial Officer and President of the company which is the GUARANTORS in the agreement?,Michael J. Skipworth,3,1,0
142,Who is both the Controller and Principal Financial Officer of the company which is the Borrower in the agreement?,Nathaniel A. Brown,3,1,0
142,"Who is both the Corporate Secretary and Vice-President, Law of the company which is the Guarantor in the agreement?",Christine R. Johnston,3,1,0
142,"Who is both the Treasurer and Vice-President, Finance of the company which is the Guarantor in the agreement?",Joel E. Hunter,3,1,0
156,Who is both the Chief Financial Officer and Vice President of the company which is the BORROWERS in the agreement?,Henk Derksen,3,1,0
80,Who is both the Chief Financial Officer and Executive Vice President of the company which is the BORROWER in the agreement?,Michael E. McDevitt,3,1,0
1,Who is both the Treasurer and Vice President of the company which is the Borrower in the agreement?,Mark Constant,3,1,0
90,Who is both the Treasurer and Vice President of the company which is the Lender in the agreement?,William C. Whitaker,3,1,0
91,Who is both the Chief Executive Officer and President of the company which is the BORROWER in the agreement?,Ray Singleton,3,1,0
46,Who is both the Chief Executive Officer and Manager of the company which is the GUARANTORS%3A in the agreement?,James Pinto,3,1,0
52,Who is both the Treasurer and Vice President of Tax of the company which is the Borrower in the agreement?,Charles R. Conradi,3,1,0
2,Who is both the Chief Financial Officer and Executive Vice President of the company which is the Borrower in the agreement?,Navdeep Gupta,3,1,0
151,"Who is both the Treasurer and Vice President, Tax and Treasury of the company which is the Borrowers in the agreement?",Anthony H. Smith,3,1,0
87,Who is both the Chief Financial Officer and Senior Vice President of the company which is the BORROWER in the agreement?,Ronald D. Ford,3,1,0
87,Who is both the Treasurer and Vice President of the company which is the Lender in the agreement?,Douglas B. Bingham,3,1,0
86,Who is both the CFO and Executive Vice President of the company which is the GUARANTORS in the agreement?,Chris Power,3,1,0
51,"Who is both the Treasurer and Vice President, Finance of the company which is the Borrower in the agreement?",Zamir Rauf,3,1,0
35,Who is both the Chief Financial Officer and Senior Vice President of the company which is the Borrower in the agreement?,John P. Rielly,3,1,0
35,Who is both the General Counsel and Senior Vice President of the company which is the Borrower in the agreement?,Timothy B. Goodell,3,1,0
21,Who is both the Secretary and Treasurer of the company which is the Borrower in the agreement?,Dawn M. Wilson,3,1,0
135,Who is both the Treasurer and Vice President of the company which is the Borrower in the agreement?,Sharon S. Spurlin,3,1,0
34,Who is both the Chief Financial Officer and Executive Vice President of the company which is the Borrower in the agreement?,"Cameron M. Bready,",3,1,0
119,Who is both the Chief Operating Officer and President of the company which is the Borrower in the agreement?,W. Russell Scheirman,3,1,0
31,Who is both the Branch Manager and Vice President of the company which is the Lender in the agreement?,Haiyong Yang,3,1,0
19,Who is both the CEO and President of the company which is the Borrower in the agreement?,Terry W. Handley,3,1,0
132,"Who is both the Executive Vice President, Chief Financial Officer and Treasurer and Vice President and Treasurer of the company which is the Guarantors in the agreement?",Gary G. Zyla,3,1,0
127,Who is both the Treasurer and Vice President of the company which is the BORROWER in the agreement?,Michael Dambach,3,1,0
