Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,sum_values,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
0,139,"who is the senior vice president but not chief financial officer, treasurer of the company where shivani agarwal is employed",jay a. brown,3,2,0,Savo Bozic,5,0.0,0.7272727272727273,0.0,1
1,139,who is the vice president but not authorized signatory of the company where eric ridgway is employed,michael king,3,2,0,Not found,5,0.0,0.9166666666666666,0.0,1
2,139,who is the vice president but not authorized signatory of the company where lennie blakeslee is employed,michael king,3,2,0,Not found,5,0.0,0.9166666666666666,0.0,1
3,139,who is the vice president but not authorized signatory of the company where michael vondriska is employed,michael king,3,2,0,Not found,5,0.0,0.9166666666666666,0.0,1
4,139,who is the vice president but not authorized signatory of the company where ronnie glenn is employed,michael king,3,2,0,Not found,5,0.0,0.9166666666666666,0.0,1
10,166,who is the head of loan syndications of the company which is the bookrunners but not the lead arrangers in the agreement,carl roberts,3,2,0,Not found,5,0.0,0.8333333333333334,0.0,1
11,166,who is the head of loan syndications of the company which is the lender but not the lead arrangers in the agreement,carl roberts,3,2,0,Carl Roberts,5,1.0,0.0,1.0000000000000002,5
12,166,who is the head of loan syndications of the company which is the lender but not the bookrunners in the agreement,carl roberts,3,2,0,Carl Roberts,5,1.0,0.0,1.0000000000000002,5
13,166,who is the assistant vice presiden of the company which is the lender but not the bookrunners in the agreement,mark pope,3,2,0,Mark Pope,5,1.0,0.0,1.0000000000000002,5
14,166,who is the svp credit administration of the company which is the lender but not the bookrunners in the agreement,r. srinivasa sekaran,3,2,0,R. Srinivasa Sekaran,5,1.0,0.0,1.0000000000000002,5
15,166,who is the general manager of the company which is the lender but not the bookrunners in the agreement,suguru hattori,3,2,0,Suguru Hattori,5,1.0,0.0,1.0000000000000002,5
16,166,who is the chief executive of the company which is the lender but not the lead arrangers in the agreement,rachit bhatia,3,2,0,Rachit Bhatia,5,1.0,0.0,1.0000000000000002,5
17,166,who is the head cbo of the company which is the lender but not the lead arrangers in the agreement,sandeep patnaik,3,2,0,Sandeep Patnaik,5,1.0,0.0,1.0000000000000002,5
18,166,who is the chief executive of the company which is the lender but not the bookrunners in the agreement,rachit bhatia,3,2,0,Rachit Bhatia,5,1.0,0.0,1.0000000000000002,5
19,166,who is the head cbo of the company which is the lender but not the bookrunners in the agreement,sandeep patnaik,3,2,0,Sandeep Patnaik,5,1.0,0.0,1.0000000000000002,5
20,166,who is the chief executive of the company which is the bookrunners but not the lead arrangers in the agreement,rachit bhatia,3,2,0,Not found,5,0.0,0.8461538461538461,0.0,1
21,166,who is the head cbo of the company which is the bookrunners but not the lead arrangers in the agreement,sandeep patnaik,3,2,0,Not found,5,0.0,0.8,0.0,1
22,166,who is the chief manager of the company which is the lender but not the lead arrangers in the agreement,sudip kumar ghatak,3,2,0,Sudip Kumar Ghatak,5,1.0,0.0,1.0000000000000002,5
23,166,who is the chief manager of the company which is the lender but not the bookrunners in the agreement,sudip kumar ghatak,3,2,0,Sudip Kumar Ghatak,5,1.0,0.0,1.0000000000000002,5
24,166,who is the chief manager of the company which is the bookrunners but not the lead arrangers in the agreement,sudip kumar ghatak,3,2,0,Not found,5,0.0,0.9444444444444444,0.0,1
48,153,who is the authorized signatory of the company which is the issuing bank but not the administrative agent in the agreement,grace mahood,3,2,0,"Michael J. McWalters, Daniel Russell, Francis Groccia, Renata I. Levine, Kyle Patterson, David A. Wild, Colin Murphy",5,0.0,0.9252336448598131,0.0,1
53,145,who is the director but not vice president of the company where guy major is employed,joseph d. glatt,3,2,0,Guy Major,5,0.0,0.9285714285714286,0.0,1
54,145,who is the director but not vice president of the company where tammy jennissen is employed,joseph d. glatt,3,2,0,Tammy Jennissen,5,0.0,1.0,0.0,1
65,135,who is the vice president but not treasurer of the company where christine aharonian is employed,sharon s. spurlin,3,2,0,Not found,5,0.0,0.8125,0.0,1
66,135,who is the vice president but not treasurer of the company where gabriel juarez is employed,sharon s. spurlin,3,2,0,Not found,5,0.0,0.8125,0.0,1
67,135,who is the vice president but not treasurer of the company where john c. lozano is employed,sharon s. spurlin,3,2,0,Not found,5,0.0,0.8125,0.0,1
68,135,who is the vice president but not treasurer of the company where reginald crichlow is employed,sharon s. spurlin,3,2,0,Joseph ONISCHUK,5,0.0,0.875,0.0,1
69,135,who is the vice president but not treasurer of the company where rosanne parsill is employed,sharon s. spurlin,3,2,0,Not found,5,0.0,0.8125,0.0,1
70,135,who is the vice president but not treasurer of the company where david valentine is employed,sharon s. spurlin,3,2,0,Not found,5,0.0,0.8125,0.0,1
71,135,who is the vice president but not treasurer of the company where les werme is employed,sharon s. spurlin,3,2,0,Not found,5,0.0,0.8125,0.0,1
72,135,who is the vice president but not treasurer of the company where m. colin warman is employed,sharon s. spurlin,3,2,0,Not found,5,0.0,0.8125,0.0,1
73,135,who is the vice president but not treasurer of the company where mark oberreuter is employed,sharon s. spurlin,3,2,0,Not found,5,0.0,0.8125,0.0,1
74,135,who is the vice president but not treasurer of the company where shannon juhan is employed,sharon s. spurlin,3,2,0,Not found,5,0.0,0.8125,0.0,1
75,135,who is the vice president but not treasurer of the company where virginia cosenza is employed,sharon s. spurlin,3,2,0,Andreas Bubenzer-Paim,5,0.0,0.8,0.0,1
76,135,who is the vice president but not treasurer of the company where hans beekmans is employed,sharon s. spurlin,3,2,0,Cheryl LaBelle,5,0.0,0.75,0.0,1
101,61,who is the vice president but not director of the company where amanuel assefa is employed,jim cahow,3,2,0,Amanuel Assefa,5,0.0,0.9285714285714286,0.0,1
102,61,who is the vice president but not director of the company where bridgett j. manduk mowry is employed,jim cahow,3,2,0,Bridgett J. Manduk-Mowry,5,0.0,0.7727272727272727,0.0,1
103,61,who is the vice president but not director of the company where christopher shafto is employed,jim cahow,3,2,0,Christopher Shafto,5,0.0,0.8333333333333334,0.0,1
104,61,who is the vice president but not director of the company where liz cheng is employed,jim cahow,3,2,0,Liz Cheng,5,0.0,0.6666666666666666,0.0,1
105,61,who is the vice president but not director of the company where marko lukin is employed,jim cahow,3,2,0,Marko Lukin,5,0.0,0.9090909090909091,0.0,1
132,83,"who is the senior vice president but not general counsel, secretary of the company where andrew hietala is employed",michael ray,3,2,0,Not found,5,0.0,1.0,0.0,1
133,83,"who is the senior vice president but not general counsel, secretary of the company where michael dixon is employed",michael ray,3,2,0,Not found,5,0.0,1.0,0.0,1
134,83,"who is the senior vice president but not general counsel, secretary of the company where rita e. dillon is employed",michael ray,3,2,0,Not found,5,0.0,1.0,0.0,1
