document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension,llm_response
17,"what is the role in the agreement of the company associated with exgen renewables iv, llc",borrower,2,0,0.0,Borrower
17,"what is the role in the agreement of the company associated with constellation dco albany power holdings, llc",grantor,2,0,0.0,Not found
17,"what is the role in the agreement of the company associated with exgen renewables iv holding, llc",holding,2,0,0.0,Holding
17,"what is the role in the agreement of the company associated with exelon avsr holding, llc",grantor,2,0,0.0,Not found
17,"what is the role in the agreement of the company associated with solgen holding, llc",grantor,2,0,0.0,Not found
17,"what is the role in the agreement of the company associated with wilmington trust, national association","national associationagent, collateralwilmington trust",2,0,0.0,"Depositary Bank, Collateral Agent"
17,"what is the chief executive office office of exgen renewables holdings, llc","il 60603, 49th floorchicago, 10 south dearborn street",2,0,,Not found
17,"what is the chief executive office office of exgen renewables iv holding, llc","il 60603, 49th floorchicago, 10 south dearborn street",2,0,,"10 South Dearborn Street, 49 th Floor Chicago, IL 60603"
102,what position does adam finerman hold,esq.,1,0,,Esq.
102,what position does katherine bell hold,esq.,1,0,,Esq.
102,what position does kathy r. plisko hold,authorized signatory,1,0,,Authorized Signatory
102,who is the chief financial officer of digirad corporation,jeffry r. keyes,2,0,0.0,Jeffry R. Keyes
102,who is the president of digirad corporation,jeffry r. keyes,2,0,0.0,Matthew G. Molchan
102,"who is the authorized signatory of wells fargo bank, national association",kathy r. plisko,2,0,0.0,Kathy R. Plisko
102,"what is the role in the agreement of the company associated with digirad imaging solutions, inc.",borrowers,2,0,0.0,Borrower
102,"what is the role in the agreement of the company associated with dms health technologies, inc.",borrowers,2,0,0.0,Borrower
102,"what is the role in the agreement of the company associated with dms imaging, inc.",borrowers,2,0,0.0,Borrower
102,what is the role in the agreement of the company associated with md office solutions,borrowers,2,0,0.0,Borrower
102,what is the role in the agreement of the company associated with project rendezvous holding corporation,borrowers,2,0,0.0,Borrower
102,"what is the role in the agreement of the company associated with telerhythmics, llc",borrowers,2,0,0.0,Borrower
