document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
115,"Who is the Secretary but not Chief Legal Officer, Vice President of the company where Melanie Housey Hart is employed?",Jennifer M. Neil,3,2,0
115,"Who is the Secretary but not Assistant Secretary, Chief Accounting Officer, President, Treasurer of the company where Jennifer M. Neil is employed?",Melanie Housey Hart,3,2,0
128,Who is the Director but not Market Manager of the company where Gill Skala is employed?,Leni Preciado,3,2,0
128,Who is the Director but not Market Manager of the company where Mario De Luca is employed?,Leni Preciado,3,2,0
11,Who is the Vice President but not Treasurer of the company where Carolyn Kee is employed?,John J. Tus,3,2,0
11,Who is the Vice President but not Treasurer of the company where Virginia Cosenza is employed?,John J. Tus,3,2,0
106,Who is the Vice President but not Director of the company where Michael Getz is employed?,Kirkwood Roland,3,2,0
106,Who is the Vice President but not Director of the company where Vanessa A. Kurbatskiy is employed?,Kirkwood Roland,3,2,0
61,Who is the Vice President but not Director of the company where Amanuel Assefa is employed?,Jim Cahow,3,2,0
61,Who is the Vice President but not Director of the company where Bridgett J. Manduk-Mowry is employed?,Jim Cahow,3,2,0
61,Who is the Vice President but not Director of the company where Christopher Shafto is employed?,Jim Cahow,3,2,0
61,Who is the Vice President but not Director of the company where Liz Cheng is employed?,Jim Cahow,3,2,0
61,Who is the Vice President but not Director of the company where Marko Lukin is employed?,Jim Cahow,3,2,0
89,Who is the Chief Financial Officer but not Managing Director of the company where James B. Pekarek is employed?,Charles P. Holden,3,2,0
99,Who is the President but not Treasurer of the company where S. Victoria Harvey is employed?,Doug Couvillion,3,2,0
9,"Who is the Senior Vice President but not Chief Financial Officer, Treasurer of the company where Eric Searls is employed?",Mark E. Newman,3,2,0
9,"Who is the Senior Vice President but not Chief Financial Officer, Treasurer of the company where Jonathan M. Phillips is employed?",Mark E. Newman,3,2,0
58,Who is the President but not Chief Executive Officer of the company where Michael Fleming is employed?,Dennis M. Lanfear,3,2,0
83,"Who is the Senior Vice President but not General Counsel, Secretary of the company where Andrew Hietala is employed?",Michael Ray,3,2,0
83,"Who is the Senior Vice President but not General Counsel, Secretary of the company where Michael Dixon is employed?",Michael Ray,3,2,0
83,"Who is the Senior Vice President but not General Counsel, Secretary of the company where Rita E. Dillon is employed?",Michael Ray,3,2,0
83,"Who is the Senior Vice President but not General Counsel, Secretary of the company where Steve Levi is employed?",Michael Ray,3,2,0
83,"Who is the Senior Vice President but not General Counsel, Secretary of the company where Steve Ryan is employed?",Michael Ray,3,2,0
54,Who is the Managing Director but not Senior Vice President of the company where Chuckie Reddy is employed?,Jonathan Olsen,3,2,0
42,"Who is the Senior Vice President but not Chief Financial Officer, Chief FinancialOfficer, Treasurer of the company where Alan Garson is employed?",Michael J. Bufano,3,2,0
5,Who is the Senior Vice President but not Vice President of the company where Denise Smyth is employed?,Roy E. Alexander,3,2,0
5,Who is the Senior Vice President but not Vice President of the company where Robert Masters is employed?,Roy E. Alexander,3,2,0
90,Who is the Vice President but not Treasurer of the company where Christopher A. Salek is employed?,William C. Whitaker,3,2,0
90,Who is the Vice President but not Treasurer of the company where Michael Vondriska is employed?,William C. Whitaker,3,2,0
84,Who is the General Manager but not VP of the company where Alexander Wu is employed?,Chwan-Ming Ho,3,2,0
84,Who is the General Manager but not SVP of the company where Chwan-Ming Ho is employed?,Alexander Wu,3,2,0
