document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
100,Who is the vice president but not executive vice president of the company associated with 590 e middlefield road mountain view ca 94043 4008?,dan johnston,3,2,0
100,Who is the vice president but not chief financial officer of the company associated with 590 e middlefield road mountain view ca 94043 4008?,dan johnston,3,2,0
100,Who is the chief legal and administrative officer but not executive vice president of the company associated with 590 e middlefield road mountain view ca 94043 4008?,dan johnston,3,2,0
100,Who is the chief legal and administrative officer but not chief financial officer of the company associated with 590 e middlefield road mountain view ca 94043 4008?,dan johnston,3,2,0
100,Who is the executive vice president but not vice president of the company associated with 590 e middlefield road mountain view ca 94043 4008?,peter kuipers,3,2,0
100,Who is the executive vice president but not chief legal and administrative officer of the company associated with 590 e middlefield road mountain view ca 94043 4008?,peter kuipers,3,2,0
100,Who is the chief financial officer but not vice president of the company associated with 590 e middlefield road mountain view ca 94043 4008?,peter kuipers,3,2,0
100,Who is the chief financial officer but not chief legal and administrative officer of the company associated with 590 e middlefield road mountain view ca 94043 4008?,peter kuipers,3,2,0
12,Who is the global treasurer but not global chief administrative officer of the company associated with 108 wilmot road deerfield il 60015?,aidan clare,3,2,0
12,Who is the global treasurer but not executive vice president of the company associated with 108 wilmot road deerfield il 60015?,aidan clare,3,2,0
12,Who is the global treasurer but not senior managerglobal treasury of the company associated with 108 wilmot road deerfield il 60015?,aidan clare,3,2,0
12,Who is the global treasurer but not vice president global treasury of the company associated with 108 wilmot road deerfield il 60015?,aidan clare,3,2,0
12,Who is the global treasurer but not general counsel of the company associated with 108 wilmot road deerfield il 60015?,aidan clare,3,2,0
12,Who is the senior vice president but not global chief administrative officer of the company associated with 108 wilmot road deerfield il 60015?,aidan clare,3,2,0
12,Who is the senior vice president but not executive vice president of the company associated with 108 wilmot road deerfield il 60015?,aidan clare,3,2,0
12,Who is the senior vice president but not senior managerglobal treasury of the company associated with 108 wilmot road deerfield il 60015?,aidan clare,3,2,0
12,Who is the senior vice president but not vice president global treasury of the company associated with 108 wilmot road deerfield il 60015?,aidan clare,3,2,0
12,Who is the senior vice president but not general counsel of the company associated with 108 wilmot road deerfield il 60015?,aidan clare,3,2,0
