Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,sum_values,multiple_answer_dimension,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
981,60,"who is the senior vice president and treasurer of leidos holdings, inc.",marc h. crown,2,1,0,Marc H. Crown,3,,1.0,0.0,1.0000000000000002,5
982,60,who is the assistant vice president of the company where harry yergey is employed,caroline smith,3,0,0,Caroline Smith,3,,1.0,0.0,1.0000000000000002,5
983,60,who is the assistant vice president of the company where michael maguire is employed,caroline smith,3,0,0,Caroline Smith,3,,1.0,0.0,1.0000000000000002,5
984,60,who is the assistant vice president of the company where patrick hartweger is employed,caroline smith,3,0,0,Not found,3,,0.0,0.8571428571428571,0.0,1
991,60,"what role does bank of montreal have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Documentation Agent,3,,0.0,0.7894736842105263,0.0,1
992,60,"what role does bofa securities, inc. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Joint Lead Arranger and Joint Bookrunner,3,,0.0,0.775,0.0,4
993,60,"what role does citibank, n.a. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Administrative Agent,3,,0.0,0.9,0.0,1
994,60,"what role does jpmorgan chase bank, n.a. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Documentation Agent,3,,0.0,0.7894736842105263,0.0,1
995,60,"what role does mufg bank, ltd. have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Syndication Agent,3,,0.0,0.8823529411764706,0.0,1
996,60,"what role does u.s. bank national association have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Documentation Agent,3,,0.0,0.7894736842105263,0.0,1
997,60,"what role does wells fargo securities llc have in the agreement which is not the role of mizuho bank, ltd.",bookrunners,2,1,0,Joint Lead Arranger and Joint Bookrunner,3,,0.0,0.775,0.0,4
1149,66,"who is the director and svp of bank of america, n.a.",ronnie glenn,2,1,0,Ronnie Glenn: Director; Sebastian Lurie: SVP,3,,0.25,0.7272727272727273,0.4494364165239822,3
1150,66,"who is the cfo and treasurer of icu medical, inc.",brian m. bonnell,2,1,0,Brian M. Bonnell,3,,1.0,0.0,1.0000000000000002,5
1151,66,"who is the cfo and treasurer of exc holding corp.tangent medical technologies, inc.excelsior medical corporationicu world, inc.",brian m. bonnell,2,1,0,Brian M. Bonnell,3,,1.0,0.0,1.0000000000000002,5
1161,66,who is the authorized signer of the company which is the revolver in the agreement,james riley,2,1,0,Not found,3,,0.0,0.9090909090909091,0.0,1
1167,66,"what role does bnp paribas securities corp. have in the agreement which is not the role of keybanc capital markets, inc.",agents,2,1,0,Joint Lead Arranger and Joint Bookrunner for the Tranche B Term Facility,3,,0.0,0.9305555555555556,0.0,1
1168,66,"what role does bnp paribas securities corp. have in the agreement which is not the role of wells fargo securities, llc",agents,2,1,0,Joint Lead Arranger and Joint Bookrunner for the Tranche B Term Facility,3,,0.0,0.9305555555555556,0.0,1
1169,66,"what role does bank of the west have in the agreement which is not the role of keybanc capital markets, inc.",agents,2,1,0,Joint Lead Arranger and Joint Bookrunner for the Tranche A Term Facility and the Revolving Facility,3,,0.0,0.9494949494949495,0.0,1
1170,66,"what role does bank of the west have in the agreement which is not the role of wells fargo securities, llc",agents,2,1,0,Joint Lead Arranger and Joint Bookrunner for the Tranche A Term Facility and the Revolving Facility,3,,0.0,0.9494949494949495,0.0,1
