document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response
107,who is the assistant treasurer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters
107,who is the chief administrative officer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters
107,who is the chief executive officer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters
107,who is the chief financial officer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters
107,who is the president of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters
107,who is the treasurer of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters
107,who is the vice president of the company which is the domestic guarantor but not the grantor in the agreement,paul mcfeeters,3,2,0,Paul McFeeters
37,who is the managing director of the company which is the swing line lender but not the c issuer in the agreement,maria f. maia,3,2,0,Maria F. Maia
107,what are the roles and subroles that barclays bank plc and global markets inc. share in the agreement that are not held by rbc capital markets,"collateral agent, collateral trustee, documentation agent, administrative agent, administrative borrower",1,3,1,Not found
107,what are the roles and subroles that barclays bank plc and global markets inc. share in the agreement that are not held by wilmington trust fsb,"documentation agent, administrative agent, administrative borrower",1,3,1,Not found
107,what are the roles and subroles that barclays bank plc and global markets inc. share in the agreement that are not held by barclays bank plc,"collateral agent, collateral trustee, documentation agent, administrative agent, administrative borrower",1,3,1,Not found
107,"what are the roles and subroles that barclays bank plc and wells fargo foothill, inc share in the agreement that are not held by wilmington trust fsb","documentation agent, administrative agent, administrative borrower",1,3,1,Not found
107,"what are the roles and subroles that barclays bank plc and wells fargo foothill, inc share in the agreement that are not held by barclays bank plc","collateral agent, collateral trustee, documentation agent, administrative agent, administrative borrower",1,3,1,Not found
107,what are the roles and subroles that barclays bank plc and wilmington trust fsb share in the agreement that are not held by barclays bank plc,"collateral agent, collateral trustee",1,3,1,Not found
107,"what are the roles and subroles that global markets inc. and wells fargo foothill, inc share in the agreement that are not held by wilmington trust fsb","documentation agent, administrative agent, administrative borrower",1,3,1,Not found
