document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response,f1_score,edit_distance,cosine_similarity,llm_as_a_judge
29,"what is the role of paychex peo iv, llc in the agreement",guarantors,1,0,0,Guarantor,0.0,0.1,0.0,4
29,"what is the location of hrsmarter v,llc",florida,1,0,0,Florida,1.0,0.0,1.0,5
29,what is the location of advantage payroll services inc.,delaware,1,0,0,Delaware,1.0,0.0,1.0,5
29,which company is associated with norway,norl nn as no,1,0,0,Norlønn AS,0.3333333333333333,0.3076923076923077,0.22028815056182968,4
29,"what is the location of century ii staffing tn, inc.",tennessee,1,0,0,Tennessee,1.0,0.0,1.0,5
29,"what is the role of advantage payroll services, inc. in the agreement",guarantors,1,0,0,Advantage Payroll Services Inc. is listed as a subsidiary in Schedule 3.01. It is a Material Domestic Subsidiary and a Guarantor.,0.0,0.936,0.0,5
29,"what is the location of esg direction, inc.",utah,1,0,0,Utah,1.0,0.0,1.0,5
37,in what organization does philip k. liebscher work,branch banking and trust company,1,0,0,"PNC Bank, National Association",0.0,0.6875,0.0,1
37,"what is the role of evergreen disposal, inc. in the agreement",subsidiaries,1,0,0,"Evergreen Disposal, Inc. is listed as one of the Borrower Subsidiaries and Borrowers in Exhibit B-1, B-2 and B-3",0.10526315789473684,0.8867924528301887,0.1571219540719311,5
37,"what is the role of waste connections of mississippi, inc in the agreement",subsidiaries,1,0,0,Borrower,0.0,0.8333333333333334,0.0,1
37,"what is the role of oklahoma landfill holdings, inc. in the agreement",subsidiaries,1,0,0,"Oklahoma Landfill Holdings, Inc. is listed as one of the Borrowers in the agreement and in Exhibit B-1, Exhibit B-2, and Exhibit B-3.",0.0,0.928,0.0,1
37,"what is the role of waste connections of idaho, inc. in the agreement",subsidiaries,1,0,0,Borrower,0.0,0.8333333333333334,0.0,1
37,in what organization does judith a. huckins work,"n.a, citizens bank",1,0,0,"Citizens Bank, N.A.",1.0,0.375,1.0000000000000002,4
37,in what organization does worthing f. jackman work,"inc., waste connections",1,0,0,"Waste Connections, Inc.",1.0,0.38095238095238093,1.0000000000000002,4
107,what is the location of xpedite systems s.r.l.,italy,1,0,0,Italy,1.0,0.0,1.0,5
107,what is the location of open text software s.l.u.,spain,1,0,0,Spain,1.0,0.0,1.0,5
107,what is the location of cordys hong kong ltd.,hong kong,1,0,0,Hong Kong,1.0,0.0,1.0000000000000002,5
107,what is the location of global 360 spain s.l.u.,spain,1,0,0,Spain,1.0,0.0,1.0,5
107,which company is associated with portugal,open text software s.l.u. portugal branch,1,0,0,Open Text Software S.L.U. - Portugal Branch,1.0,0.0,1.0000000000000002,5
107,what is the role of open text uk limited in the agreement,domestic guarantor,1,0,0,Open Text UK Limited is a Loan Party that has pledged its securities as collateral.,0.0,0.8780487804878049,0.0,1
