document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What is the role in the agreement of the company associated with 1100 North Market Street\nWilmington Delaware 19890?,"CollateralWilmington Trust, National AssociationAgent",2,0,0
103,"What is the role in the agreement of the company associated with 245 Park Avenue, 26th Floor\n\nNew York, New York 10167?",Administrative Agent,2,0,0
103,"What is the role in the agreement of the company associated with 3 SW 129th Avenue\n\nSuite 400\n\nPembroke Pines, FL 33027?",Borrowers,2,0,0
103,"What is the role in the agreement of the company associated with 225 W. Washington Street, 21st Floor\n\nChicago, IL 60606?",Collateral Agent,2,0,0
28,"What is the role in the agreement of the company associated with Cayman Corporate Centre, 27 Hospital Road,\n\nGeorge Town, Grand Cayman KY1-9008?",Lender,2,0,0
28,"What is the role in the agreement of the company associated with 3000 Two Logan Square\n 	Philadelphia, PA 19103?",Borrower,2,0,0
28,"What is the role in the agreement of the company associated with One Bryant Park\n\nNew York, NY 10036-6745?",Lender,2,0,0
28,"What is the role in the agreement of the company associated with One Bryant Park\nNew York, NY 10036-6745?",Lender,2,0,0
28,"What is the role in the agreement of the company associated with 110 East 59th Street, #3300\n\nNew York, NY 10022?",Lender,2,0,0
28,"What is the role in the agreement of the company associated with 110 East 59th Street, #3300\nNew York, NY 10022?",Lender,2,0,0
28,"What is the role in the agreement of the company associated with 100 Technology Center Drive, Suite 300\n 	Stoughton, MA 02072?",Borrower,2,0,0
129,"What is the role in the agreement of the company associated with 20 Florence Avenue\n\nBatavia, New York 14020?",Borrower,2,0,0
100,"What is the role in the agreement of the company associated with 590 E. Middlefield Road\n\nMountain View, CA 94043-4008?",Borrower,2,0,0
29,What is the role in the agreement of the company associated with Colorado?,Guarantors,2,0,0
29,What is the role in the agreement of the company associated with Florida?,Guarantors,2,0,0
29,What is the role in the agreement of the company associated with Delaware?,Guarantors,2,0,0
15,"What is the role in the agreement of the company associated with \n1285 Avenue of the Americas\n\nNew York, New York 10019?",LENDER,2,0,0
104,What is the role in the agreement of the company associated with Arizona?,Material Subsidiaries,2,0,0
111,"What is the role in the agreement of the company associated with MAC D1109-019\n1525 West W.T. Harris Blvd.\nCharlotte, NC 28262?",Administrative Agent,2,0,0
111,"What is the role in the agreement of the company associated with One Wells Fargo Center, 11th Floor\n301 South College Street\nCharlotte, North Carolina 28202?",Administrative Agent,2,0,0
10,"What is the role in the agreement of the company associated with Royal Bank Plaza, 200 Bay Street,\n\n12th Floor South Tower\n\nToronto, Ontario M5J 2W7\n\nCanada?",Administrative Agent,2,0,0
10,"What is the role in the agreement of the company associated with 4900 Tiedeman Road 4th Floor\n\nBrooklyn, OH 44144?",Borrower,2,0,0
38,"What is the role in the agreement of the company associated with 383 Madison Avenue, New York, New York 10179?",Administrative Agent,2,0,0
12,"What is the role in the agreement of the company associated with 108 Wilmot Road\n\nDeerfield, IL 60015?",Borrower,2,0,0
106,What is the role in the agreement of the company associated with CALIFORNIA?,COUNSEL,2,0,0
106,What is the role in the agreement of the company associated with MAINE?,COUNSEL,2,0,0
106,What is the role in the agreement of the company associated with PENNSYLVANIA?,COUNSEL,2,0,0
106,What is the role in the agreement of the company associated with ILLINOIS?,COUNSEL,2,0,0
74,"What is the role in the agreement of the company associated with 100 Northern Avenue\n\nBoston, MA 02110?",legal counsel,2,0,0
74,"What is the role in the agreement of the company associated with 7900 Tysons One Place, Suite 1450, McLean, VA 22102?",Borrower,2,0,0
48,"What is the role in the agreement of the company associated with 1100 Louisiana, Suite 3300\n\nHouston, TX 77002-5217?",Lender,2,0,0
48,"What is the role in the agreement of the company associated with C/O Enbridge Inc.\n\n3000, 425-1st\n\nCalgary, Alberta, Canada?",Lender,2,0,0
48,"What is the role in the agreement of the company associated with 1100 Louisiana, Suite 3300\nHouston, TX 77002-5217?",Borrower,2,0,0
48,"What is the role in the agreement of the company associated with C/O Enbridge Inc.\n3000, 425-1st\nCalgary, Alberta, Canada?",Borrower,2,0,0
49,"What is the role in the agreement of the company associated with 225 W. Washington Street, Suite 2100\n\nChicago, Illinois 60606?",Agent,2,0,0
49,"What is the role in the agreement of the company associated with 200 Clarendon Street, 51st Floor\n\nBoston, Massachusetts  02116?",Agent,2,0,0
75,"What is the role in the agreement of the company associated with 20 Crosby Drive, Bedford, MA 01730?",Borrower,2,0,0
75,"What is the role in the agreement of the company associated with 10 South Dearborn Street, Chicago, Illinois 60603?",Administrative Agent,2,0,0
63,"What is the role in the agreement of the company associated with One South Dearborn, Chicago, Illinois 60603?",legal counsel,2,0,0
88,"What is the role in the agreement of the company associated with 6922 Hollywood Blvd., Suite 500\n\nLos Angeles, CA 90028?",liability company,2,0,0
72,"What is the role in the agreement of the company associated with Building #3\n\n1615 Brett Road\n\nNew Castle, DE 19720?",Administrative Agent,2,0,0
72,"What is the role in the agreement of the company associated with 1000 Stanley Drive\n\nNew Britain, Connecticut 06053?",Initial Borrower,2,0,0
99,"What is the role in the agreement of the company associated with 305 Hartman Drive\n\nP.O. Box 787\n\nLebanon, Tennessee 37088-0787?",Borrower,2,0,0
99,"What is the role in the agreement of the company associated with 1808 Aston Avenue, Suite 250\n\nCarlsbad, CA 92008?",AdministrativeAgent,2,0,0
99,"What is the role in the agreement of the company associated with MAC D1109-019\n\n1525 West W.T. Harris Blvd.\n\nCharlotte, NC 28262?",AdministrativeAgent,2,0,0
98,"What is the role in the agreement of the company associated with 851 West Cypress Creek Road\n\nFort Lauderdale, Florida 33309?",Borrower,2,0,0
98,"What is the role in the agreement of the company associated with 14 Crosby Drive\n\nBedford, MA 01730?",Borrower,2,0,0
98,"What is the role in the agreement of the company associated with One South Dearborn\n\nChicago, IL 60603?",Borrower,2,0,0
166,"What is the role in the agreement of the company associated with 3560 Lenox Road, Suite 2000, Atlanta, GA 30326?",Guarantor,2,0,0
67,"What is the role in the agreement of the company associated with 140 Scott Drive\n\nMenlo Park, CA 94025?",legal counsel,2,0,0
9,"What is the role in the agreement of the company associated with 1011 Warrenville Road	  	\n  	Suite 600	  	\n  	Lisle, IL 60532?",Borrower,2,0,0
9,"What is the role in the agreement of the company associated with 500 Stanton Christiana Road, Ops 2, Floor 3	  	\n  	Newark, Delaware 19713-2107?",Borrower,2,0,0
59,"What is the role in the agreement of the company associated with One South Dearborn, Chicago, Illinois 60603?",legal counsel,2,0,0
59,"What is the role in the agreement of the company associated with 77 W. Wacker Drive, Chicago, Illinois 60601?",legal counsel,2,0,0
165,"What is the role in the agreement of the company associated with Mizuho Bank, Ltd.\n\n1800 Plaza Ten\n\nHarborside Financial Center\n\nJersey City State: NJ 07311?",Lender,2,0,0
165,"What is the role in the agreement of the company associated with Bank of America, N.A.\n\nBank of America Plaza\n\n901 Main St\n\nMail Code: TX1-492-14-11\n\nDallas, TX, 75202-3714?",Administrative Agent,2,0,0
165,"What is the role in the agreement of the company associated with Mail Code: CA5-705-04-09\n\n555 California Street, 4th Floor\n\nSan Francisco, CA 94104?",Administrative Agent,2,0,0
165,"What is the role in the agreement of the company associated with Mail Code: PA6-580-02-30\n\n1 Fleet Way\n\nScranton, PA 18507?",Administrative Agent,2,0,0
70,"What is the role in the agreement of the company associated with 11 East 44th Street, Suite 1200\n\nNew York, NY 10017?",Borrower,2,0,0
168,"What is the role in the agreement of the company associated with Building Ops II, One Penns Way\n\nNew Castle, DE 19720\n\nAttn: Bank Loan Syndications?",Administrative Agent,2,0,0
168,"What is the role in the agreement of the company associated with 1000 Stanley Drive\n\nNew Britain, Connecticut 06053?",Borrower,2,0,0
96,"What is the role in the agreement of the company associated with 414 Silver Ave. SW\nAlbuquerque, NM 87102-3289?",Borrower,2,0,0
96,"What is the role in the agreement of the company associated with CARLSBAD, NEW MEXICO?",LENDERS,2,0,0
96,"What is the role in the agreement of the company associated with Raymond Palmer,\nUS Bank Utilities Division,\n461 Fifth Avenue, 8th Floor,\nNew York, NY 10017?",Administrative Agent,2,0,0
96,"What is the role in the agreement of the company associated with US Bank Utilities Division\n461 Fifth Avenue, 8th Floor\nNew York, NY 10017?",Administrative Agent,2,0,0
