question,answer
What vectors transmit a pathogen which causes a disease which is treated by rifampin and gentamicin?,"body louse,cat flea"
What vectors transmit a pathogen which causes a disease which is treated by rifampin and doxycycline?,"body louse,cat flea"
What vectors transmit a pathogen which causes a disease which is treated by levofloxacin and trimethoprim?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by levofloxacin and moxifloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by levofloxacin and ceftriaxone?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by levofloxacin and azithromycin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by levofloxacin and ciprofloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by trimethoprim and levofloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by trimethoprim and moxifloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by trimethoprim and ceftriaxone?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by trimethoprim and azithromycin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by trimethoprim and ciprofloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by metronidazole and vancomycin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by metronidazole and fidaxomicin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by moxifloxacin and levofloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by moxifloxacin and trimethoprim?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by moxifloxacin and ceftriaxone?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by moxifloxacin and azithromycin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by moxifloxacin and ciprofloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by vancomycin and metronidazole?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by vancomycin and fidaxomicin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by gentamicin and rifampin?,"body louse,cat flea"
What vectors transmit a pathogen which causes a disease which is treated by gentamicin and doxycycline?,"body louse,cat flea"
What vectors transmit a pathogen which causes a disease which is treated by ceftriaxone and levofloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ceftriaxone and trimethoprim?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ceftriaxone and moxifloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ceftriaxone and doxycycline?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ceftriaxone and aminoglycoside?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ceftriaxone and azithromycin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ceftriaxone and ciprofloxacin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ceftriaxone and erythromycin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by doxycycline and rifampin?,"body louse,cat flea"
What vectors transmit a pathogen which causes a disease which is treated by doxycycline and gentamicin?,"body louse,cat flea"
What vectors transmit a pathogen which causes a disease which is treated by doxycycline and ceftriaxone?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by doxycycline and aminoglycoside?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by doxycycline and azithromycin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by doxycycline and ciprofloxacin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by doxycycline and erythromycin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by fidaxomicin and metronidazole?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by fidaxomicin and vancomycin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by aminoglycoside and ceftriaxone?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by aminoglycoside and doxycycline?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by aminoglycoside and azithromycin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by aminoglycoside and ciprofloxacin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by aminoglycoside and erythromycin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by azithromycin and levofloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by azithromycin and trimethoprim?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by azithromycin and moxifloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by azithromycin and ceftriaxone?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by azithromycin and doxycycline?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by azithromycin and aminoglycoside?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by azithromycin and ciprofloxacin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by azithromycin and erythromycin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ciprofloxacin and levofloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ciprofloxacin and trimethoprim?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ciprofloxacin and moxifloxacin?,"contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ciprofloxacin and ceftriaxone?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ciprofloxacin and doxycycline?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ciprofloxacin and aminoglycoside?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
What vectors transmit a pathogen which causes a disease which is treated by ciprofloxacin and azithromycin?,"body louse,cat flea,contaminated food or water,fecal-oral exposure"
