document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,What is the chief executive office office of exgen renewables holdings llc?,10 south dearborn street 49thfloor chicago il 60603,2,0,0
17,What is the chief executive office office of exgen renewables iv holding llc?,10 south dearborn street 49thfloor chicago il 60603,2,0,0
15,What is the branch office office of ubs ag?,1285 avenue of the americas new york new york 10019,2,0,0
39,What is the chief executive office office of north jackson specialty steel llc?,2058 south bailey road north jackson oh 44541,2,0,0
39,What is the chief executive office office of universal stainlessand alloy products inc?,600 mayer street bridgeville pa 15017,2,0,0
39,What is the chief executive office office of dunkirk specialty steel llc?,830 brigham road dunkirk ny 14048,2,0,0
11,What is the loan and agency services group office of jpmorgan chase bank na?,floor 3 ops 2 500 stanton christiana rd newark de 19713,2,0,0
138,What is the business matters office of pnc bank national association?,575 market street floor 28 san francisco ca 94105,2,0,0
138,What is the administrative agents office office of pnc bank national association?,pnc firstside center 500 first avenue fourth floor pittsburgh pa 15219,2,0,0
138,What is the administrative matters office of pnc bank national association?,pnc firstside center 500 first avenue fourth floor pittsburgh pa 15219,2,0,0
106,What is the global ts contractand documentation office of jpmorgan chase bank na?,420 w van buren street 9thfloor suiteil 1 0199 chicagoil 60606 3534,2,0,0
72,What is the uk branch office of citigroup global markets inc?,25 canada square canary wharf london england e14 5lb,2,0,0
166,What is the zonal office office of bank of baroda?,dubai uae,2,0,0
166,What is the corporate office office of av metals inc?,two alliance center 3560 lenox road suite 2000 atlanta ga 30326 usa,2,0,0
166,What is the corporate office office of novelis inc?,two alliance center 3560 lenox road suite 2000 atlanta ga 30326 usa,2,0,0
165,What is the agency management office of bank of america na?,mail code ca5 705 04 09 555 california street 4th floor san francisco ca 94104,2,0,0
154,What is the middle market servicing office of jpmorgan chase bank na?,10 south dearborn floor l2 suite il1 1145 chicago il 60603 2300,2,0,0
154,What is the commercial banking office of jpmorgan chase bank na?,4 new york plaza floor 17 new york ny 10004,2,0,0
141,What is the agency services office of pnc bank national association?,500 first avenue pittsburgh pa 15219,2,0,0
6,What is the branch office of bank of china?,los angeles,2,0,0
4,What is the branch office of credit suisse ag?,cayman islands,2,0,0
95,What is the global corporate debt products office of bank of america na?,100 n tryon street mail code nc1 007 17 11 charlotte nc 28255,2,0,0
95,What is the agency management office of bank of america na?,1455 market street mail code ca5 701 05 19 san francisco california 94103 1399,2,0,0
157,What is the offsite storage office of micropac industries inc?,1137 e walnut st garland tx 75040,2,0,0
157,What is the mexico location contract manufacturing office of micropac industries inc?,480 s honduras cd juraez mexico,2,0,0
157,What is the opto building office of micropac industries inc?,725 e walnut st garland tx 75040,2,0,0
157,What is the front end test building office of micropac industries inc?,903 e walnut st garland tx 75040,2,0,0
157,What is the micro building and corporate office office of micropac industries inc?,905 e walnut st garland tx 75040,2,0,0
157,What is the assembly building office of micropac industries inc?,912 e walnut st garland tx 75040,2,0,0
142,What is the corporate customers operations office of national bank of canada new york branch?,500 place darmes 26th floor,2,0,0
91,What is the address for notices office of earthstone energy inc?,63317th street suite 1900 denver colorado 80202 3619,2,0,0
91,What is the address for notices office of bank of oklahoma?,bank of oklahoma 1625 broadway suite 1100 denver colorado 80202,2,0,0
91,What is the payment processing center office of bank of oklahoma?,po box 248817 oklahoma city oklahoma 73124 8817,2,0,0
44,What is the trade finance office of bank of america?,pa6 580 02 30 1 fleet way scranton pa 18507 attention alfonso malave jr,2,0,0
79,What is the global trade operations office of bank of america?,one fleet way 2nd floor mail code pa6 580 02 30 scranton pa 18507,2,0,0
123,What is the branch office of credit suisse ag?,cayman islands,2,0,0
123,What is the branch office of ing bank nv?,dublin,2,0,0
137,What is the domestic lending office office of bank of america na?,101 n tryon street charlotte nc 28255,2,0,0
137,What is the eurodollar lending office office of bank of america na?,101 n tryon street charlotte nc 28255,2,0,0
137,What is the domestic lending office office of keybank national association?,1200 abernathy rd suite 1550 atlanta ga 30328,2,0,0
137,What is the eurodollar lending office office of keybank national association?,1200 abernathy rd suite 1550 atlanta ga 30328,2,0,0
137,What is the domestic lending office office of us bank national association?,1420 5th avenue pd wa t9in seattle wa 98101,2,0,0
137,What is the eurodollar lending office office of us bank national association?,1420 5th avenue pd wa t9in seattle wa 98101,2,0,0
137,What is the domestic lending office office of regions bank?,1900 5th avenue north 15th flr birmingham al 35203,2,0,0
137,What is the eurodollar lending office office of regions bank?,1900 5th avenue north 15th flr birmingham al 35203,2,0,0
137,What is the domestic lending office office of branch banking and trust company?,200 west second street 16th floor winston salem nc 27101,2,0,0
137,What is the eurodollar lending office office of branch banking and trust company?,200 west second street 16th floor winston salem nc 27101,2,0,0
137,What is the domestic lending office office of pnc bank national association?,500 first ave mailstop p7 pfsc 04 v pittsburgh pa 15219,2,0,0
137,What is the eurodollar lending office office of pnc bank national association?,500 first ave mailstop p7 pfsc 04 v pittsburgh pa 15219,2,0,0
137,What is the domestic lending office office of raymond james bank na?,710 carillon parkway st petersburg fl 33716,2,0,0
137,What is the eurodollar lending office office of raymond james bank na?,710 carillon parkway st petersburg fl 33716,2,0,0
137,What is the domestic lending office office of royal bank of canada?,global loans administration 20 king st west 4th floor toronto ontario canada m5h 1c4,2,0,0
137,What is the eurodollar lending office office of royal bank of canada?,global loans administration 20 king st west 4th floor toronto ontario canada m5h 1c4,2,0,0
137,What is the domestic lending office office of deutsche bank ag new york branch?,hanover street capital llc 48 wall street 14th floor new york ny 10005,2,0,0
137,What is the eurodollar lending office office of deutsche bank ag new york branch?,hanover street capital llc 48 wall street 14th floor new york ny 10005,2,0,0
136,What is the chief executive office office of ahr first borrower llc?,4800 montgomery lane 450 bethesda maryland 20814,2,0,0
122,What is the branch office of bank of montreal?,london,2,0,0
122,What is the branch office of deutsche bank ag?,new york,2,0,0
35,What is the branch office of commerzbank ag?,new york,2,0,0
35,What is the branch office of banco bilbao vizcaya argentaria?,new york,2,0,0
35,What is the branch office of bank of china?,new york,2,0,0
35,What is the branch office of banco bilbao argentaria sa?,new york,2,0,0
121,What is the branch office of bank of east asia limited?,new york,2,0,0
135,What is the agency management office of bank of america na?,135 s lasalle st mail code il4 135 09 61 chicagoil 60603,2,0,0
20,What is the corporate headquarters office of selective insurance group inc?,40 wantage avenue branchville new jersey 07890,2,0,0
118,What is the branch office of credit suisse ag?,cayman islands,2,0,0
32,What is the registered office office of chc helicopter holding sà rl?,13 15 avenue de la liberté l 1931 luxembourg,2,0,0
32,What is the registered office office of 6922767 holding sà rl?,13 15 avenue de la liberté l 1931 luxembourg,2,0,0
32,What is the registered office office of chc helicopter sa?,13 15 avenue de la liberté l 1931 luxembourg,2,0,0
26,What is the office office of morgan stanley senior funding inc?,1300 thames street thames street wharf 4th floor baltimore md 21231,2,0,0
26,What is the branch office of banco bilbao vizcaya argentaria?,new york,2,0,0
26,What is the branch office of commerzbank ag?,new york,2,0,0
26,What is the branch office of deutsche bank?,new york,2,0,0
26,What is the branch office of unicredit bank ag?,new york,2,0,0
