Unnamed: 0,document_number,question,answer,num_hops,num_set_operations,multiple_answers,llm_response
112,66,who is the authorized signer of the company which is the issuing lender but not the revolver in the agreement,james riley,3,2,0,Not found
113,66,who is the authorized signer of the company which is the term loan a lender but not the revolver in the agreement,james riley,3,2,0,James Riley
114,66,who is the authorized signer of the company which is the swingline lender but not the revolver in the agreement,james riley,3,2,0,Darin Mullis
164,47,who is the vice president of the company which is the lender but not the co syndication agents in the agreement,bremmer kneib,3,2,0,"Bremmer Kneib, Brian McNany, Marni McManus, Samuel Coward, Kristie Li, John P. Treadwell Jr., Anthony Galea"
165,47,who is the director of the company which is the co syndication agents but not the bookrunners in the agreement,brian mcnany,3,2,0,Not found
166,47,who is the director of the company which is the lender but not the bookrunners in the agreement,brian mcnany,3,2,0,Brian McNany
167,47,who is the director of the company which is the lender but not the co syndication agents in the agreement,brian mcnany,3,2,0,Brian McNany
168,47,"who is the managing director of the company which is the lender but not the administrative agent, in the agreement",kirk tesch,3,2,0,Kirk Tesch
182,51,who is the vice president of the company which is the collateral agent but not the lead arrangers in the agreement,cody gunsch,3,2,0,Sonia N. Flores
183,51,who is the vice president of the company which is the collateral agent but not the bookrunners in the agreement,cody gunsch,3,2,0,Sonia N. Flores
184,51,who is the vice president of the company which is the collateral agent but not the lender in the agreement,cody gunsch,3,2,0,Sonia N. Flores
185,51,who is the vice president of the company which is the administrative agent but not the lead arrangers in the agreement,cody gunsch,3,2,0,Cody Gunsch
186,51,who is the vice president of the company which is the administrative agent but not the bookrunners in the agreement,cody gunsch,3,2,0,Cody Gunsch
187,51,who is the vice president of the company which is the administrative agent but not the lender in the agreement,cody gunsch,3,2,0,Cody Gunsch
353,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by fifth third bank, national association","bookrunner, book manager, lead arranger",1,3,1,Joint Lead Arrangers and Joint Bookrunners
354,60,"what are the roles and subroles that bank of montreal and bofa securities, inc. share in the agreement that are not held by goldman sachs bank usa","bookrunner, book manager, lead arranger",1,3,1,Joint Lead Arrangers and Joint Bookrunners
