question,answer
What medications treat a disease which is caused by shigella but not bartonella?,"azithromycin,ceftriaxone,ciprofloxacin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by shigella but not escherichia coli?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat a disease which is caused by shigella but not salmonella?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat a disease which is caused by shigella but not campylobacter?,"azithromycin,ceftriaxone,ciprofloxacin,levofloxacin,trimethoprim"
What medications treat a disease which is caused by bartonella but not shigella?,"azithromycin,clarithromycin,doxycycline,erythromycin,gentamicin,rifampin"
What medications treat a disease which is caused by bartonella but not escherichia coli?,"azithromycin,clarithromycin,doxycycline,erythromycin,gentamicin,rifampin"
What medications treat a disease which is caused by bartonella but not salmonella?,"azithromycin,clarithromycin,doxycycline,erythromycin,gentamicin,rifampin"
What medications treat a disease which is caused by bartonella but not campylobacter?,"azithromycin,clarithromycin,doxycycline,erythromycin,gentamicin,rifampin"
What medications treat a disease which is caused by escherichia coli but not bartonella?,"azithromycin,ceftriaxone,ciprofloxacin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by salmonella but not bartonella?,"azithromycin,ceftriaxone,ciprofloxacin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by campylobacter but not shigella?,"azithromycin,ciprofloxacin,levofloxacin"
What medications treat a disease which is caused by campylobacter but not bartonella?,"azithromycin,ceftriaxone,ciprofloxacin,fidaxomicin,levofloxacin,metronidazole,moxifloxacin,trimethoprim,vancomycin"
What medications treat a disease which is caused by campylobacter but not escherichia coli?,"azithromycin,ciprofloxacin,levofloxacin"
What medications treat a disease which is caused by campylobacter but not salmonella?,"azithromycin,ciprofloxacin,levofloxacin"
