document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
102,Who is the chief financial officer of the company which is both the administrative borrower and the borrowers in the agreement?,jeffry r keyes,3,1,0
117,Who is the senior vice president of the company which is both the lender and the syndication agent in the agreement?,michael snook,3,1,0
117,Who is the senior vice president of the company which is both the agent and the lender in the agreement?,dawn mace moore,3,1,0
16,Who is the senior managing director of the company which is both the lender and the term agent in the agreement?,christopher a arnold,3,1,0
28,Who is the managing member of the company which is both the collateral agent and the lender in the agreement?,pedro gonzalez de cosio,3,1,0
28,Who is the ceo of the company which is both the collateral agent and the lender in the agreement?,pedro gonzalez de cosio,3,1,0
129,Who is the authorized officer of the company which is both the administrative agent and the issuing bank in the agreement?,elizabeth a jordan,3,1,0
100,Who is the vice president of the company which is both the agent and the lender in the agreement?,min park,3,1,0
114,Who is the chief financial officer of the company which is both the borrower and the borrowers in the agreement?,peter feret,3,1,0
29,Who is the chief financial officer of the company which is both the parent and the parent borrower in the agreement?,efrain rivera,3,1,0
39,Who is the senior vice president of the company which is both the co collateral agent and the lender in the agreement?,james foley,3,1,0
110,Who is the executive director of the company which is both the arrangers and the bookrunners in the agreement?,dave katz,3,1,0
110,Who is the vice president of the company which is both the arrangers and the bookrunners in the agreement?,traci bankston,3,1,0
110,Who is the vice president of the company which is both the administrative agent and the syndication agent in the agreement?,nathan starr,3,1,0
138,Who is the senior vice president of the company which is both the administrative agent and the lender in the agreement?,nicolas zitelli,3,1,0
139,Who is the executive director of the company which is both the agent and the lender in the agreement?,bruce s borden,3,1,0
139,Who is the senior vice president of the company which is both the borrower and the lenders in the agreement?,jay a brown,3,1,0
139,Who is the chief financial officer of the company which is both the borrower and the lenders in the agreement?,jay a brown,3,1,0
139,Who is the treasurer of the company which is both the borrower and the lenders in the agreement?,jay a brown,3,1,0
111,Who is the chief financial officer of the company which is both the guarantor and the guarantors in the agreement?,jennifer miu,3,1,0
111,Who is the director of the company which is both the guarantor and the guarantors in the agreement?,clive paul thomas,3,1,0
10,Who is the authorized signatory of the company which is both the administrative agent and the lender issuing bank in the agreement?,alex figueroa,3,1,0
10,Who is the manager agency of the company which is both the administrative agent and the lender issuing bank in the agreement?,susan khokher,3,1,0
38,Who is the vice president of the company which is both the co documentation agents and the lender in the agreement?,kenneth phelan,3,1,0
38,Who is the assistant vice president of the company which is both the lender and the syndication agent in the agreement?,borden tennant,3,1,0
38,Who is the executive director of the company which is both the administrative agent and the lender in the agreement?,dave katz,3,1,0
12,Who is the authorized signatory of the company which is both the administrative agent and the lender in the agreement?,tracy rahn,3,1,0
107,Who is the president of the company which is both the domestic guarantor and the grantor in the agreement?,paul mcfeeters,3,1,0
