document_number,question,answer,num_hops,num_set_operations,multiple_answer_dimension
17,"What are the roles of MORGAN STANLEY SENIOR FUNDING, INC. in the agreement?","Arranger, Bookrunner, Documentation Agent, Lead, Syndication Agent,",1,0,1
17,"What are the roles of WILMINGTON TRUST, NATIONAL ASSOCIATION in the agreement?","Collateral Agent, Depositary Bank",1,0,1
17,"What are the roles of ExGen Renewables IV, LLC in the agreement?","Grantor, Pledgor",1,0,1
102,What are the roles of DIGIRAD CORPORATION in the agreement?,"ADMINISTRATIVE, BORROWER, BORROWERS, Borrower",1,0,1
102,"What are the roles of WELLS FARGO BANK, NATIONAL ASSOCIATION in the agreement?","Administrative, Agent, Arranger, Book Runner, Lender, Runner, Sole Book, Sole Lead",1,0,1
116,What are the roles of CIBC BANK USA in the agreement?,"Administrative, Administrative Agent, Agent, Agent,, Arranger, Issuing, Lender",1,0,1
117,"What are the roles of BANK OF AMERICA, N.A. in the agreement?","Administrative, Agent, Lender, Syndication",1,0,1
117,"What are the roles of BOFA SECURITIES, INC. in the agreement?","Bookrunner, Joint",1,0,1
117,"What are the roles of WELLS FARGO BANK, NATIONAL ASSOCIATION in the agreement?","Administrative, Agent, Lender, Syndication",1,0,1
117,"What are the roles of WELLS FARGO SECURITIES, LLC in the agreement?","Arranger, Joint Lead",1,0,1
117,"What are the roles of JPMORGAN CHASE BANK, N.A. in the agreement?","Administrative, Administrative Agent, Agent, Arranger, Bookrunner, Issuing, Joint, Joint Lead, Lender, Swing Line, Syndication",1,0,1
103,What are the roles of BOTTICELLI LLC in the agreement?,"Administrative, Agent, Collateral, Lender",1,0,1
103,What are the roles of CORTLAND CAPITAL MARKET SERVICES LLC in the agreement?,"Administrative, Agent, Collateral",1,0,1
16,What are the roles of CRYSTAL FINANCIAL SPV LLC in the agreement?,"Lender, Term",1,0,1
16,What are the roles of CRYSTAL FINANCIAL LLC in the agreement?,"Lender, Term, Term Agent",1,0,1
28,What are the roles of COLLEGIUM SECURITIES CORPORATION in the agreement?,"Credit Party, additional",1,0,1
28,"What are the roles of Pharmakon Management I, LLC in the agreement?","General, Partner",1,0,1
28,What are the roles of BIOPHARMA CREDIT PLC in the agreement?,"Agent, Collateral, Lender",1,0,1
28,What are the roles of BioPharma Credit PLC in the agreement?,"Agent, Collateral",1,0,1
28,What are the roles of Akin Gump Strauss Hauer %26 Feld LLP in the agreement?,"Agent, Collateral",1,0,1
28,What are the roles of Pharmakon Advisors LP in the agreement?,"Agent, Collateral",1,0,1
129,What are the roles of J.P. MORGAN SECURITIES LLC in the agreement?,"Arranger, Bookrunner, Lead",1,0,1
129,"What are the roles of JPMORGAN CHASE BANK, N.A. in the agreement?","Administrative, Agent, Issuing Bank",1,0,1
101,"What are the roles of FOUNDATION HEALTHCARE, INC. in the agreement?","BORROWER, Borrower",1,0,1
101,"What are the roles of TEXAS CAPITAL BANK, NATIONAL ASSOCIATION in the agreement?","ADMINISTRATIVE, AGENT, Administrative, Agent, Arranger, L%2FC Issuer, LENDER, Runner, Sole Book, Sole Lead",1,0,1
